,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Flow Rate,Fuel Type,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Type,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17
0,P333137,Vaillant Ecotec Plus 2 625 horizontal flue pack,Vaillant,1452.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 625 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 625 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/37/333137_wm.jpg,Ecotec Plus 2,N,333137 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P334462,Vaillant ecoTEC Plus 418 heat only boiler pack with flue,Vaillant,1124.0,"Supplied with a choice of flue to suit your installation, the Vaillant ecoTEC plus 418 high efficiency heat only boiler is an ideal solution in homes where low water pressure problems mean that an open vent system with hot water storage is the only choice. Lightweight and with a compact footprint, this 18kW output unit can be installed easily into a kitchen cupboard for faster fitting while high quality components minimise the risk of costly and inconvenient breakdowns. ErP A-rated, the ecoTec plus offers compatibility with both solar panels and smart controls, helping to create a more eco-friendly heating system.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoTEC Plus 418 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/334460_64 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P333093,Vaillant ecoFIT pure 830 combi boiler with horizontal flue and boiler protection kit,Vaillant,1169.0,"Supplied with a horizontal flue and boiler protection kit, the Vaillant ecoFIT pure 830 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 30kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 830 combi boiler with horizontal flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333091_93 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P333071,Vaillant Ecotec Plus 2 832 horizontal flue pack,Vaillant,1473.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 832 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 832 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/71/333071_wm.jpg,Ecotec Plus 2,N,333071 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P333051,Vaillant Ecotec Plus 2 826 horizontal flue pack,Vaillant,1339.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 826 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 826 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/51/333051_wm.jpg,Ecotec Plus 2,N,333051 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P333102,Vaillant Ecotec Plus 2 826 boiler only pack,Vaillant,1242.0,"Connecting to a wide variety of controls, the updated Vaillant ecoTEC Plus 826 combi boiler can be operated via app meaning you never have to worry about coming home to a chilly house. Easy to install, maintain and service, this 26kW boiler has a smart internal layout with all vital components in easy reach. And because the ecoTEC's footprint and connections haven't changed, retrofitting in the same position as an old, worn boiler is simple. Offering ease of operation and inBUS technology, the ecoTEC Plus gives the homeowner ErP A-rated efficiency and the option to switch to LPG or, at a later date, hydrogen.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 826 boiler only pack,,"Boiler, Connections, Documnets ;manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/87/127377_127387_wm.jpg,Ecotec Plus 2,N,333102 PK,N,Compatible with plug-and-play myVAILLANT connect internet gateway,Connects to most Vaillant controls excluding timeSWITCH 150 and 160,Suitable for app control,,,,,10.6,Natural Gas / LPG,5 Years,38.8kg,A,A,26 kW,352,TBC,Wall Hung,Combi Boiler,Internal layout offers ease of access to major components,Easy installation and servicing,"Same dimensions, footprint, flue position and pipe connections as previous models",Simple semi-touchscreen interface,Guided commissioning and set-up wizard,Offers ease of navigation,Automatic quick conversion to LPG,No additional parts required for LPG,With IoniDETECT technology,Intelligent gas combustion monitoring for modulation range of up to 1:10,InBUS technology for accurate reading of flow rate and pressure differential via pump,Compatible with up to 20% hydrogen mix,Compatible with all Vaillant accessories and technologies,5 year warranty
6,P333082,Vaillant Ecotec Plus 2 940 horizontal flue pack,Vaillant,1953.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 940 boiler and a compatible horizontal flue.,Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 940 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/82/333082_wm.jpg,Ecotec Plus 2,N,333082 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P333086,Vaillant ecoFIT pure 835 combi boiler with horizontal flue and boiler protection kit,Vaillant,1244.0,"Supplied with a horizontal flue and boiler protection kit, the Vaillant ecoFIT pure 835 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 35kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoFIT pure 835 combi boiler with horizontal flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/pk/333086 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P334463,Vaillant ecoTEC Plus 424 heat only boiler pack with flue,Vaillant,1185.0,"Supplied with a choice of flue to suit your installation, the Vaillant ecoTEC plus 424 high efficiency heat only boiler is an ideal solution in homes where low water pressure problems mean that an open vent system with hot water storage is the only choice. Lightweight and with a compact footprint, this 24kW output unit can be installed easily into a kitchen cupboard for faster fitting while high quality components minimise the risk of costly and inconvenient breakdowns. ErP A-rated, the ecoTec plus offers compatibility with both solar panels and smart controls, helping to create a more eco-friendly heating system.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant ecoTEC Plus 424 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/334460_64 PK_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,P333103,Vaillant Ecotec Plus 2 832 boiler only pack,Vaillant,1376.0,"Connecting to a wide variety of controls, the updated Vaillant ecoTEC Plus 832 combi boiler can be operated via app meaning you never have to worry about coming home to a chilly house. Easy to install, maintain and service, this 32kW boiler has a smart internal layout with all vital components in easy reach. And because the ecoTEC's footprint and connections haven't changed, retrofitting in the same position as an old, worn boiler is simple. Offering ease of operation and inBUS technology, the ecoTEC Plus gives the homeowner ErP A-rated efficiency and the option to switch to LPG or, at a later date, hydrogen.",Boilers/Boiler Packs/Vaillant Boilers/Vaillant Boilers.csv -> Vaillant Ecotec Plus 2 832 boiler only pack,,"Boiler, Connections, Documnets ;manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/87/127377_127387_wm.jpg,Ecotec Plus 2,N,333103 PK,N,Compatible with plug-and-play myVAILLANT connect internet gateway,Connects to most Vaillant controls excluding timeSWITCH 150 and 160,Suitable for app control,,,,,13.0,Natural Gas / LPG,5 Years,40.5kg,A,A,32 kW,352,TBC,Wall Hung,Combi Boiler,Internal layout offers ease of access to major components,Easy installation and servicing,"Same dimensions, footprint, flue position and pipe connections as previous models",Simple semi-touchscreen interface,Guided commissioning and set-up wizard,Offers ease of navigation,Automatic quick conversion to LPG,No additional parts required for LPG,With IoniDETECT technology,Intelligent gas combustion monitoring for modulation range of up to 1:10,InBUS technology for accurate reading of flow rate and pressure differential via pump,Compatible with up to 20% hydrogen mix,Compatible with all Vaillant accessories and technologies,5 year warranty
