,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Warranty,Weight,Hazardous,Output,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Type,Attachment 5,Area (m2),Attachment 6
0,P120313,Worcester Bosch Greenskies Solar-Lux fluid LS 20ltr,Worcester Bosch,135.01,This Worcester Bosch Greenskies Solar-Lux fluid is specifically designed for use in the brand's Greenskies solar appliances.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Greenskies Solar-Lux fluid LS 20ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/13/120313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Worcester_Oil-Fired_Solar_Guide_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
1,P439017,Gledhill A-class main control PCB,Gledhill,296.32,"A genuine Gledhill part, this main control PCB is suitable for BoilerMate A-Class and Gulfstream A-Class cylinders. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Gledhill A-class main control PCB",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/17/NW-439017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Benchmark_Parts_List.pdf,,,,,,,,,,,,,,,,,
2,PD64322,Intatec Solar thermostatic mixer valve 22mm,Intatec,142.51,"This Intatec Solar 22mm thermostatic solar rated mixing valve works to reduce the temperature of solar heated domestic hot water to ensure safe, scald-free use. Specifically designed to function with a constant high temperature hot water supply, this valve is ideal for use alongside domestic hot water cylinders.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Intatec Solar thermostatic mixer valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/22/D64322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Solar_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intaeco_5.11MixValve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Intatec_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intaeco_SolarVert_Brochure.pdf,,,,,,,,,,,,,,
3,P117545,Worcester Bosch Greenskies additional collector sensor,Worcester Bosch,42.53,"This Worcester Bosch Greenskies additional collector sensor is a part for the Greenskies standard roof kit, offering compatibility with both the Solar Lifestyle and Solar Lito panels.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Worcester Bosch Greenskies additional collector sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/45/117545_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Worcester_Oil-Fired_Solar_Guide_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,
4,P648498,Solis EH1 Solis 6kW Hybrid 5G Inverter,Solis,1377.05,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis EH1 Solis 6kW Hybrid 5G Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/98/648498_wm.jpg,,,,,1,22,N,6 kW,16114,N,Fan less design IP65,BMS function,,,,,,
5,P648465,"SolarEdge 4,000W Home Wave Inverter - Single Phase",SolarEdge,1112.59,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> SolarEdge 4,000W Home Wave Inverter - Single Phase",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/65/648465_wm.jpg,,,,,1,9,N,4 kW,20984,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,
6,P648497,Solis EH1 Solis 5kW Hybrid 5G Inverter,Solis,1251.14,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis EH1 Solis 5kW Hybrid 5G Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/97/648497_wm.jpg,,,,,1,21.5,N,5 kW,16232,N,Fan less design IP65,BMS function,,,,,,
7,P122886,Grant 2-port high temperature valve 22mm,Grant,103.97,This Grant 22mm two-port high temperature valve is an accessory designed to complement the brand's solar thermal range.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Grant 2-port high temperature valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/86/122886_wm.jpg,,,,,,,N,,GS222014A,N,With 2x ports,For use with Grant solar systems,,,Temperature Valve,,,
8,P648474,Solis S6 Mini 2kW 1MPPT 1Ph Inverter,Solis,406.29,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis S6 Mini 2kW 1MPPT 1Ph Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/74/648474_wm.jpg,,,,,1,7.4,N,2 kW,19537,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,
9,P648473,Solis S6 Mini 1.5kW 1MPPT 1Ph Inverter,Solis,371.46,TBC,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Panels, Battery Storage and Accessories.csv -> Solis S6 Mini 1.5kW 1MPPT 1Ph Inverter",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/73/648473_wm.jpg,,,,,1,7.4,N,15 kW,19536,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,
