,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Warranty,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 6,Attachment 1,Feature 7
0,P610081,Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,Fujitsu,556.58,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 7kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEG24KMTE 7KW Standard Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/81/610081_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG24KMTE,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
1,P610086,Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,Fujitsu,158.67,"Suitable for large living rooms, bedrooms or offices, the Fujitsu Eco 3.6kW wall-mounted indoor air conditioning unit provides the features you'll need for convenient whole-room comfort. A slimline design that fits effortlessly into any space, this smart air con unit is Wi-Fi connected ready for smartphone control, giving you easy access from anywhere in the building. The Eco lives up to its name too, using heat pump inverter technology to reduce energy consumption and improve overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH12KLTA 3.6KW Eco Wall Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/610086_wm.jpg,7.5,1,R-32,N,218,.3/8,1/4,ASEH12KLTA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
2,P700066,Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,Fujitsu,171.59,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH09KNCA 2.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/66/700066_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH09KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
3,P700061,Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,Fujitsu,474.78,"Neatly designed and extremely quiet, the Fujitsu 5kW ASEG-KMTE indoor air conditioning unit minimises its impact on the senses with clever design while also ensuring you feel the climate comfort it's capable of delivering. Suited to any location, from server rooms to living rooms, and from offices to kids' bedrooms, this unit offers a host of helpful features, including air-cleaning filters and automatic operation functions. This air con unit uses heat pump inverter technology for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEG22KMTE 5KW S Wall Indoor Multi,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/61/700061_wm.jpg,12.5,1,R-32,N,240,1/2,1/4,ASEG22KMTE,Split Wall Mount Indoor unit,N,Compatible with outdoor multi-splits only,Quiet operation,Highly efficient,For wall mounting,Includes air cleaning filters,,,,,,,,,,,,,,
4,P700067,Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,Fujitsu,185.73,"Sleekly designed to fit into any space, the Fujitsu Eco+ 3.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/67/700067_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH12KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
5,P700062,Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,Fujitsu,137.15,"Sleekly designed to fit into any space, the Fujitsu Eco+ 1.5kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/62/700062_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH05KNCA,Split Wall Mount Indoor unit,N,Inbuilt Wi-Fi capability,Wall-mounted,Heat pump inverter technology for efficiency,For multi-split outdoor units only,,,,,,,,,,,,,,,
6,P700034,Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,Fujitsu,267.53,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG12KETFB 3.4kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG12KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,3 year warranty,ASYG12KETFB,3 Years,,,,,,,,,,,,
7,P650371,Fujitsu VRF ASYA012GCGH Wall Mounted Indoor Unit 3.6KW,Fujitsu,510.9,"The efficient Fujitsu Airstage VRF ASYA012GCGH 3.6kW wall mounted indoor air conditioning unit is compact and quiet, minimising its impact on an indoor space. Easy to install and maintain and simple to use, the Airstage is ideal for rooms where interior design is key, offering reliable comfort without impacting a room's decor.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu VRF ASYA012GCGH Wall Mounted Indoor Unit 3.6KW,,Indoor unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/71/650371_wm.jpg,8.5 kg,1,R410a,N,203,1/2 in,1/4 in,ASYA012GCGH,Wall mount,N,Compact design,Comfortable airflow,Human sensor saves on energy,Operates quietly,3 year warranty,VRF,3 Years,2.70,4.0,40 dB,2.30,3.6,690 M/min,330 M/min,24 dB,5,,,
8,P619021,Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,Fujitsu,561.99,"Highly efficient, the Fujitsu Airstage 5.6kW wall-mounted indoor unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rf/_1/Vrf_1_wm.jpg,15kg,1 Phase,R410a,N,238,12.70 mm,6.35 mm,ASYA18GBCH,Indoor Unit,N,"Cooling: Indoor temperature of 27CDB / 19CWB, and outdoor temperature of 35CDB / 24CWB","Heating: Indoor temperature of 20CDB / (15CWB), and outdoor temperature of 7CDB / 6CWB",Pipe length: 75 m,Height difference between outdoor unit and indoor unit : 0 m Voltage: 230 [V],,VRF,3 Years (Standard),4.2,6.3,41 dB (A),3.5,5.6,14.00 m³/min,1150 M/min,35 dB (A),5,,,
9,P700064,Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,Fujitsu,155.6,"Sleekly designed to fit into any space, the Fujitsu Eco+ 2kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Fujitsu ASEH07KNCA 2KW Eco Plus Wall Mounted Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/64/700064_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH07KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,
