,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Attachment 1,Attachment 2,Attachment 3
0,P461058,Ideal Spares main burner,Ideal,86.21,An Ideal replacement main burner for selected Ideal boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Ideal Spares main burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/58/NW-461058_wm.jpg,Spares,N,16.6L X 68W X 9H,E58110,"CXS 120,CXD 40,CXA 90,CXS 100,CXD 80,CXS 40/H,CXAP 60/H,CXAP 80/H,CXAP 80,CXA 50/H,CXS 100/H,CXA 110,CX 80,CXAP 40,CX 60,CXA 100/H,CXS 110,CXD 90,CXAP 70/H,CXAP 100/H,CXS 50,CXA 40/H,CXA 100,CXA 120,CXAP 90,CX 90,CXA 60/H,CXS 110/H,CXA 80/H,CXS,CXA 110/H",150151,Main Burner,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,
1,P457057,Riello Riello R40  3747469 oil burner 118mm,Riello,760.1,"Safe and highly efficient, the Riello R40 G20 118mm one stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Riello Riello R40  3747469 oil burner 118mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/58/NW-457057_457058_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40G_Oil_Burner_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G20_Installation.pdf,
2,P486184,Satronic control box module 240v,Satronic,448.08,"The Satronic MMI 813.1 gas burner control box controls and monitors blown gas and combined burners of any nominal thermal load tested and certified according to EN 298. In combination with an air damper motor and two stage burner with two fuel valves, a two stage operation with single fuel valve or a modulating system can be created.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Satronic control box module 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/84/NW-486184_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MMI813-1_Technical.pdf,,
3,P457054,Riello R40 20030780 temperature control oil burner,Riello,487.68,"Safe and highly efficient, the Riello R40 G3B one stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Riello R40 20030780 temperature control oil burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/55/NW-457054_457055_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G3B_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40G_Oil_Burner_Technical.pdf,
4,P457103,Riello Riello R40  oil burner 108mm,Riello,671.83,"Safe and highly efficient, the Riello R40 G3B one stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Riello Riello R40  oil burner 108mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/04/NW-457103_457104_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40G_Oil_Burner_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G10_Installation.pdf,
5,P457055,Riello Riello R40  oil burner 76mm,Riello,585.77,"Safe and highly efficient, the Riello R40 G5 76mm one stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Riello Riello R40  oil burner 76mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/55/NW-457054_457055_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40G_Oil_Burner_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G5_Installation.pdf,
6,P419391,Landis burner control 240v,Landis,364.07,"Suitable for medium-high capacity, this Siemens Landis LFL1.335 burner control box controls and supervises forced draft burners of expanding flame and interrupted pilot construction.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Landis burner control 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/91/NW-419391_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_LFL1_Control_Box_Guide.pdf,,
7,P437404,Eogb X standard oil burner 80mm 14-36kW,Eogb,417.55,"Blending up to B10 as standard, this Eogb X400 oil burner is suitable for use with kerosene, gas oil and FAME-based biofuel blends. Offering performance and reliability, this compact burner will fit to most existing boilers, with its universal mounting flange providing an airtight attachment, secured by just one screw. X400 ensures easy access to all components with no the need to break oil or electrical connections.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Eogb X standard oil burner 80mm 14-36kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/04/NW-437404_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eogb_X_Series_Burners_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Eogb_X_Series_Burners_Instrct_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Eogb_X400_Oil_Burner_Installation.pdf
8,P457104,Riello Riello R40  3748418 oil burner 118mm,Riello,1662.79,"Safe and highly efficient, the Riello R40 G20D two stage light oil burner is just one in a range of Riello burners designed to cover all home heating needs. Easy to install and simple to adjust, this burner operates quietly and has a very compact footprint, allowing it to fit into any current boiler.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Riello Riello R40  3748418 oil burner 118mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/04/NW-457103_457104_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Riello_R40G20D_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Riello_R40GI_Oil_Burner_Technical.pdf,
9,P466569,Ecoflam MAX burner 1-stage 17-41kW,Ecoflam,364.02,"Compact in size, the Ecoflam MAX1 TC burner with 17 - 41kW power supply and Thermowatt control unit fits effortlessly to a wide range of wall hung boilers. The high efficiency fan ventilation system (HPV) allows for easy matching with boilers with high combustion chamber back pressure.",Heating/Burner Parts/Complete Burners/Complete Burners.csv -> Ecoflam MAX burner 1-stage 17-41kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/NW-466569_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ecoflam_Max_1_Burner_17_41kw_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Ecoflam_Technical_Catalogue.pdf,
