,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Type,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Range For Use With,Boiler Section,Boiler Range,Colour,Volume,Physical State / Form,Feature 12,Pack Quantity,Feature 13,Feature 14,Feature 15,Weight,Connection Size,Connection Type
0,P609932,Center CB system filter 22mm Black,Center,58.49,"Highly efficient, the Center CB 22mm system filter provides low maintenance protection from the potentially damaging effects of magnetite and other debris in a heating system. Easy to fit and maintain, this filter has an innovative horizontal design, ideal for tight spaces or installations where the filter may be visible, such as in the kitchen boiler cupboard. Incorporating a unique, single bypass valve, the filter can be serviced quickly and easily without ceasing running of the heating system. Offering an exceptional first pass capture rate, the Center System Filter helps to minimise the risks of debris in both brand new and existing heating systems.",Heating/Water Treatment Products/Water Treatment Products.csv -> Center CB system filter 22mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/32/609932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_609932_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609932_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P609406,Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,Adey,100.56,"The Adey MagnaClean Micro2 filter and chemical pack contains Magnaclean Micro2 with two essential installation chemicals, the MC1 protector and MC3 cleaner make installing a new central heating system simple.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MagnaClean Micro2 Magnaclean Micro 2 & Chemical Box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/06/NW-609406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P609935,Center CB complete magnetic scale reducer 15mm,Center CB,16.75,"Creating a magnetic field, this Center CB 15mm magnetic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in hot water efficiency.",Heating/Water Treatment Products/Water Treatment Products.csv -> Center CB complete magnetic scale reducer 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/35/NW-609935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609935-609936_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P609939,Center Heating system inhibitor 500ml,Center,5.49,"This high performance Center inhibitor is formulated to protect your heating system from both corrosion and limescale deposits. This 500ml supply will be enough to provide ongoing protection for a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Water Treatment Products.csv -> Center Heating system inhibitor 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/39/609939_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609939_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609939 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609939_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/49/492549.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609939_Center_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609939_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/as/609939_Center_NSF_CIAS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P609405,Adey MagnaClean Micro2 Magnaclean Micro 2 Filter,Adey,83.63,"The compact Adey MagnaClean Micro2 filter is designed for installation in the smallest spaces. Though small in size, this filter delivers powerful protection from damaging magnetite and other system debris.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MagnaClean Micro2 Magnaclean Micro 2 Filter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/05/NW-609405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P105287,Worcester Bosch Greenstar  G/Star System Filter Mini 22mm,Worcester Bosch,157.99,"Protecting Greenstar boilers from common pollutants and debris, this Worcester Bosch Greenstar 22mm mini system filter range is effective against debris, magnetite and iron oxide. A filter of this kind limits system damage, minimising the need for expensive repairs and reducing the risk of system failure. For use with sealed or open vented central heating systems with 22mm central heating pipes.",Heating/Water Treatment Products/Water Treatment Products.csv -> Worcester Bosch Greenstar  G/Star System Filter Mini 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/87/105287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_Gas_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/87/105287.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Greenstar_System_Filter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P604000,Fernox F1 F1 C/Heating Protector 500ml,Fernox,16.26,"Preventing corrosion and limescale in central heating systems, this Fernox F1 Express protector offers high levels of protection through a unique combination of three inhibitors of organic particles. These inhibitors work by simply binding to the metal used in the heating system, protecting from debris while anodic inhibitors react with those surfaces to create a protective layer. Additionally, cathodic inhibitors combine with hard water salts to form an insoluble layer.",Heating/Water Treatment Products/Water Treatment Products.csv -> Fernox F1 F1 C/Heating Protector 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/00/NW-604000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56599_ProtectorF1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_ConcentrateCH_ProtectorF1_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56599_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/sd/s9/Alpha_SDS9.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P100303,Worcester Bosch Greenstar Greenstar System Filter 22mm,Worcester Bosch,133.49,"Protecting against the damage that can be caused by system debris and pollutants, the Worcester Bosch Greenstar 22mm system filter helps homeowners to avoid costly maintenance. Extensively tested in systems, this filter is proven effective in removing iron oxide, magnetite and non-magnetic metal flakes as well as other system pollutants.",Heating/Water Treatment Products/Water Treatment Products.csv -> Worcester Bosch Greenstar Greenstar System Filter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/04/NW-100303_100304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Systemfilter_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P609940,Center Chemical Cleaner heating system cleaner 500ml,Center,7.49,"A highly concentrated chemical cleaner, Center heating system cleaner is formulated to help remove central heating system debris without negatively affecting the metals commonly found in central heating systems. This 500ml supply will be enough to clean a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Water Treatment Products.csv -> Center Chemical Cleaner heating system cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/40/609940_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/50/492550.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609940 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609940_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609940_Center_ MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609940_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609940_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P608071,Adey MC1+ central heating protector 500ml,Adey,11.25,"Wave goodbye to the damaging effects of magnetite and other unwelcome deposits with Adey MC1+ protector, supplied in a 500ml bottle. Formulated to prevent wear and tear and the debris that gathers in central heating systems, MC1+ helps to extend your system's lifetime and keep your boiler working at maximum efficiency.",Heating/Water Treatment Products/Water Treatment Products.csv -> Adey MC1+ central heating protector 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-608071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC1+MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
