,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Depth (mm),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 7,Feature 8,Attachment 5,Pack Quantity,Capacity Litre,Refrigerant Suitability
0,P619028,Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,Mitsubishi,673.81,"Smart-Grid ready, the Mitsubishi Ecodan FTC6 main controller is fitted with an inbuilt quiet mode interface. This controller helps to improve the commissioning process with a step-by-step installation wizard while intelligent room temperature control ensures comfort with minimal interaction. The FTC6 also provides detailed information for energy monitoring, displaying both consumed and produced energy on demand.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/619028_wm.jpg,Ecodan,230,3 Years,4 kg,N,406,Wall Mounted,498007,Main Controller,N,Smart grid ready,Step-by-step installation wizard for ease of commissioning,Built-in quiet mode interface,Smart device ready (MELCloud),Advanced maintenance,3 year warranty,,,,,,,,,,
1,P117981,Vaillant aroTHERM air to water heat pump hose 750mm,Vaillant,124.1,"This pre-insulated 750mm Vaillant aroTHERM flexi hose is intended for use with air-to-water heat pump systems. Quick to install, this kink-free hose has a right-angled fixing and copper compression fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Vaillant aroTHERM air to water heat pump hose 750mm,,Flexi hose complete,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/81/117981_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTherm_Heat-P_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTherm_Val0040_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTherm_User_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTherm_5-15kw_Install.pdf,,,,,,
2,P170126,Ideal Halo Lite RF Thermostat (boxed),Ideal,85.63,"Offering intuitive operation for all users, the Ideal Heating Halo Lite RF thermostat is an OpenTherm wireless programmable room thermostat, or PRT, with a wall-mounted receiver. This stat is suitable for installation with all current Ideal Heating combi boiler models.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Ideal Halo Lite RF Thermostat (boxed),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/26/170126_wm.jpg,,,,,N,,,237423,,N,With large colour screen,Simple dial and button interface for ease of use,Easily adjustable schedule with override options,Child lock function prevents unwanted adjustment,,,,,,,,,,,,
3,P118868,Vaillant 0020250226 rubber feet ground socket set,Vaillant,83.9,"This pair of large, rubber Vaillant aroTHERM anti-vibration feet are used to dampen noise caused by vibration during heat pump operation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Vaillant 0020250226 rubber feet ground socket set,,2 x  anti-vibration feet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/68/118868_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroTHERM_Plus_AW_HP_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/23/44/Vaillant_aroTHERM_Heat_Pump_1522344.pdf,,,,,,
4,P119693,Vaillant aroTHERM plus connection kit - straight pipe,Vaillant,79.44,"Designed for use with air-to-water heat pumps, this Vaillant aroTHERM Plus straight pipe connection kit has a plain-type connection and comes complete with insulation for a neat finish.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Vaillant aroTHERM plus connection kit - straight pipe,,Striaght pipe complete with insulation and fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/93/NW-119693_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/119693_Pipe_ConnectionKit_QuickGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,,,,,,,
5,P506183,Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,Inta,97.73,"A unique design, this Intatec Zero28 130mm anti-freeze valve has been engineered to protect heat pumps operating in water. This valve prevents ice from forming in the heat pump circuit, reducing the risk of expensive and inconvenient damage or breakdowns.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/83/506183_wm.jpg,Anti-Freeze Valves,N/A,2 years,500 g,N,130,PipeCompression,ZERO28,Heat Pump Accessory,N,Wax element situated in water flow,Opening temperature 3°C,Closing temperature 4°C,Compression connections,2 year warranty,,,,,,,,,,,
6,P612245,Pump House TR-FB-140-B ASHP trunking - 90deg flat bend 140mm Black,Pump House,24.56,"Supplying a neat professional finish, this Pump House ASHP trunking 90° flat bend is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Pump House TR-FB-140-B ASHP trunking - 90deg flat bend 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/45/NW-612245_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_140mm_Trunking_Tech.pdf,,,,,,,,
7,P131046,Joule HZK0C0000020 concentrate heat pump fluid 20ltr,Joule,81.6,"This Glycol-based product with organic corrosion inhibitors is designed to protect against freezing, corrosion, scale and bacteria build-up for heat pump installations. Not recommended for use when anti-freeze valves are being installed.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Joule HZK0C0000020 concentrate heat pump fluid 20ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/131046_wm.jpg,,,,20 kg,N,450,,HZK0C0000020,ASHP Parts and Accessories,N,"Corrosion, Scaling & Bacteriological Protection",Biodegradable,pH Stable,Exempt from Potentially Harmful Additives,,,,,,,,,,,,
8,P619030,Mitsubishi ECODAN PAC-FS01-E flow sensor assembly FTC6,Mitsubishi,106.45,"This Mitsubishi Ecodan PAC-FS01E FTC6 flow sensor assembly is an accessory suitable for use with the Ecodan range of air source heat pumps. Accessories of this type may help to provide complete system protection, minimise operational noise or provide improved control.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Mitsubishi ECODAN PAC-FS01-E flow sensor assembly FTC6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/21/605735_613825_619029_619030_613821_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,
9,P131048,Joule HZK0K000000 anti vibration fix IT foot HP kit,Joule,52.68,"This Joule anti-vibration fix-it foot kit provides a solution for mounting outdoor Samsung heat pumps. The feet have bonded channel, which is recessed into the top face allowing use of standard channel fixings to secure the heat pump to the feet.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pump Parts & Accessories/Air Source Heat Pump Parts & Accessories.csv -> Joule HZK0K000000 anti vibration fix IT foot HP kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/131048_wm.jpg,,,,13kg,N,200,,HZK0K000000,,N,Rubber Construction,Max. Load 645kg,For use on Samsung Air-Source Heat Pumps,Pack of 2,,,,,,,,,,,,
