,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Colour,Feature 3,Feature 4,Feature 5,Range,Length (M),Dimensions mm (H x W x D),Application,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Part Gas Council number,Model For Use With,By Model Number,Diameter,Range For Use With,Weight
0,P147203,Viessmann standard concentric flue extension pipe 60/100mm dia 1mtr,Viessmann,37.67,"Extend the length of a flue by up to 1M, inside or out, with this Viessmann 60/100mm balanced standard concentric flue extension pipe.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann standard concentric flue extension pipe 60/100mm dia 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/03/147203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Gas_Boiler_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Viessmann_Domestic_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P175622,Parts universal painted firestop plate and fixing,Parts,14.57,This Parts firestop plate with fixings is suitable for use in a vertical 60/100 flue system.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Parts universal painted firestop plate and fixing,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/22/175622_wm.jpg,,,N,Flue,Universal,WOL175622,Firestop Plate and Fixing,N,Universal fitting,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P333880,Viessmann standard horizontal flue,Viessmann,84.0,"The standard 1 metre horizontal flue Kit has a diameter of 60/100mm, 1000mm terminal and 87 degree bend.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann standard horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/80/333880_wm.jpg,,,N,Flue,Vitodens,333880 PK,Flue Pack,N,Simple basic horizontal flue kit,60/100mm diameter,White,1000mm terminal,87° bend,Part of the Viessmann Vitodens range,,,,,,,,,,,,,,,,,,,,,,,,
3,P147037,Viessmann Vitodens 7946889 plume management kit,Viessmann,96.35,"Redirecting a nuisance boiler plume, this Viessmann plume management kit is suitable for reduced height horizontal flues. Supplied complete with fittings, the kit includes two 1M long 60mm plume pipes and two 90° elbows, one for connection to the horizontal flue kit and one for the plume exhaust.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann Vitodens 7946889 plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/37/NW-147037_wm.jpg,,,N,,,7946889,,N,Includes 2x pipes and 2x elbows,Fittings supplied for ease of installation,,Suitable for reduced height horizontal flues,Compatible with Viessmann boiler systems,,Vitodens,,,,,,,,,,,,,,,,,,,,,,,
4,P333870,Intergas standard vertical flue,Intergas,98.0,The Intergas HRE & EcoRF Boiler Range utilise a concentric flue arrangement consisting of a 60mm diameter inner flue (exhaust) and a 100mm diameter outer (air inlet) duct as standard.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas standard vertical flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/70/333870_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P571976,Center CB flue brush kit 9 Piece,Center CB,30.92,This Center CB flue brush set is a handy bit of maintenance kit for industrial and commercial boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Center CB flue brush kit 9 Piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/76/NW-571976_wm.jpg,,,N,,,1047,Flue Brush Set,N,"Flue brush kit 9 piece - each set comprises of:1 x 12"" handle","1x 5"" handle",,"1x 12"" extension rod","1x 12"" piece of iron",1x brush elliptical head,,0.09m,240 x 270 x,IndustrialCommercial,Nylon,"85mm diameter x 12"" long",1x brush head,Nylon,"85mm diameter x 12"" long",1x brush head,Nylon,"65mm diameter x 95"" long",1x brush head,Stainless,"50mm diameter x 95"" long",1x brush head,Nylon,"25mm diameter x 8"" long",,,,,,
6,P106427,MAGNATECH BOOSTABOILER,Magnatech,112.77,"Designed to save up to 20% on heating and energy costs, BoostaBoiler is quickly and easily fitted to existing pipework and is supplied complete with cable ties and fitting instructions. Fitted in minutes;Provides savings that last a lifetime;Suitable for all domestic gas, oil or LPG boilers;Retrofit with no system downtime;No external power required;No ongoing maintenance",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> MAGNATECH BOOSTABOILER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/27/106427_wm.jpg,,,N,,,GM143144-2,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P147209,Viessmann plume management kit,Viessmann,96.35,"Redirecting a nuisance boiler plume, this Viessmann plume management kit is compatible with 60/100mm horizontal balanced flues. Supplied complete with fittings, the kit includes a 60mm connection elbow, a pair of 60 x 100mm pipes and a 90° plume terminal with integrated guard.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Viessmann plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/09/147209_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Viessmann_PMK_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Viessmann_PMK_Installation_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P106445,Intergas horizontal flue 1000mm,Intergas,84.84,Intergas Horizontal Flue Kit fits both Intergas HRE & ECO RF Models. The Intergas 1m Horizontal flue Kit is ideal for thick walls.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Intergas horizontal flue 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/45/106445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P798968,Regin Analyser Test Point Plug,Regin,6.71,"Easy to install, this Regin coaxial flue analyser test point plug is designed for permanent analyser probe access.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Regin Analyser Test Point Plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/68/798968_wm.jpg,,,N,Flue,Any,REGX39,Test Point Plug,N,For coaxial flues,Offers permanent analyser probe access,,,,,,,,,,,,,,,,,,,,,,,n/a,,,,,
10,P438891,Ferroli terminal - flue 110mm / 70mm,Ferroli,24.64,"A Ferroli terminal for the flue of Optima, Combi, Xignal and Roma units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Other Boiler Flues/Other Boiler Flues.csv -> Ferroli terminal - flue 110mm / 70mm,,flue terminal,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/91/438891_wm.jpg,,,N,Flue,"Optima, Combi, Xignal, Roma",32113460,Terminal,N,Flue Terminal used on 823204,,,,,,,,,,,,,,,,,,,,,,,,E06447,"1000, 800, 76 FF, 100 FF, CE, 77 FF, 2000, 2001, 900, 55 FF, 77 FF/Popular, 700","77 FF,76 FF,CE,55 FF,700,100 FF,800,1000,2001,900,2000,77 FF/Popular",,,
