,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Range,Weight,Phase,Refrigerant Suitability,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Type
0,P652790,Daikin Perfera FTXM35R R32 Wall Mount 3.5KW,Daikin,236.3,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM35R R32 Wall Mount 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,P602970,Daikin FTXM35A R32 Wall M Pefera 3.5 KW,Daikin,236.0,"Attractive designed to blend into its surroundings, the Daikin 3.5kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin FTXM35A R32 Wall M Pefera 3.5 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/70/602970_wm.jpg,,,,,N,FTXM35A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,
2,P652788,Daikin Perfera FTXM20R R32 Wall Mount 2.0KW,Daikin,192.05,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM20R R32 Wall Mount 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,P652789,Daikin Perfera FTXM25R R32 Wall Mount 2.5KW,Daikin,207.09,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM25R R32 Wall Mount 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,P652792,Daikin Perfera FTXM50R R32 Wall Mount 5.0KW,Daikin,366.39,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM50R R32 Wall Mount 5.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
5,P602972,Daikin FTXM50A R32 Wall M Pefera 5.0 KW,Daikin,365.93,"Attractive designed to blend into its surroundings, the Daikin 5kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin FTXM50A R32 Wall M Pefera 5.0 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/72/602972_wm.jpg,,,,,N,FTXM50A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,
6,P652793,Daikin Perfera FTXM60R R32 Wall Mount 6.0KW,Daikin,372.59,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM60R R32 Wall Mount 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,P652794,Daikin Perfera FTXM71R R32 Wall Mount 7.1KW,Daikin,496.49,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM71R R32 Wall Mount 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,P652791,Daikin Perfera FTXM42R R32 Wall Mount 4.2KW,Daikin,265.5,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FTXM42R R32 Wall Mount 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
9,P602969,Daikin FTXM25A R32 Wall M Pefera 2.5 KW,Daikin,206.83,"Attractive designed to blend into its surroundings, the Daikin 2.5kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin FTXM25A R32 Wall M Pefera 2.5 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/69/602969_wm.jpg,,,,,N,FTXM25A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,
10,P602968,Daikin FTXM20A R32 Wall M Pefera 2.0 KW,Daikin,191.8,"Attractive designed to blend into its surroundings, the Daikin 2kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin FTXM20A R32 Wall M Pefera 2.0 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/602968_wm.jpg,,,,,N,FTXM20A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,
11,P602971,Daikin FTXM42A R32 Wall M Pefera 4.2 KW,Daikin,265.16,"Attractive designed to blend into its surroundings, the Daikin 4.2kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin FTXM42A R32 Wall M Pefera 4.2 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/71/602971_wm.jpg,,,,,N,FTXM42A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,
12,P652805,Daikin Perfera FVXM50A9 Floor Mounted Unit 5KW,Daikin,856.7,"Offering optimised heating and maximised convenience, the Daikin Perfera FVXMA9 5kW floor-mounted heating unit operates with a range of clever features ensuring that you enjoy personalised comfort whatever the situation. Reaching temperature quickly and efficiently, this clever unit offers functions such as floor warming and radiant-simulating Heat Plus to provide heat exactly as needed and all while operating surprisingly quietly. Using Flash Streamer technology to trigger chemical reactions in airborne particles, the Perfera delivers clean and healthy air free from pollen, fungal allergens and unpleasant odours.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FVXM50A9 Floor Mounted Unit 5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/05/652805_wm.jpg,,,,,N,FVXM50A9,N,Modern design,Seasonal efficiency up to A++ in heating,Reduces running costs compared to gas or heating,Can be combined with up to 5-port multi outdoor units,Heat boost (pair only) reaches temperature 14% faster than regular air conditioner,Floor warming function distributes hot air from bottom of unit,Heat plus function simulates radiant heat for 30 minutes of cosiness,Dual air discharge flow for improved air distribution,Flash Streamer breaks down allergens and removes odours,Quiet operation down to 19dBA,Uses Onecta for control via app or internet connection,,,Perfera,1.7,1,R-32,238,9.50,6.40,Floor Mounted Unit
13,P652804,Daikin Perfera FVXM35A9 Floor Mounted Unit 3.5KW,Daikin,784.13,"Offering optimised heating and maximised convenience, the Daikin Perfera FVXMA9 3.5kW floor-mounted heating unit operates with a range of clever features ensuring that you enjoy personalised comfort whatever the situation. Reaching temperature quickly and efficiently, this clever unit offers functions such as floor warming and radiant-simulating Heat Plus to provide heat exactly as needed and all while operating surprisingly quietly. Using Flash Streamer technology to trigger chemical reactions in airborne particles, the Perfera delivers clean and healthy air free from pollen, fungal allergens and unpleasant odours.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FVXM35A9 Floor Mounted Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/04/652804_wm.jpg,,,,,N,FVXM35A9,N,Modern design,Seasonal efficiency up to A++ in heating,Reduces running costs compared to gas or heating,Can be combined with up to 5-port multi outdoor units,Heat boost (pair only) reaches temperature 14% faster than regular air conditioner,Floor warming function distributes hot air from bottom of unit,Heat plus function simulates radiant heat for 30 minutes of cosiness,Dual air discharge flow for improved air distribution,Flash Streamer breaks down allergens and removes odours,Quiet operation down to 19dBA,Uses Onecta for control via app or internet connection,,,Perfera,1.7,1,R-32,238,9.50,6.40,Floor Mounted Unit
14,P652803,Daikin Perfera FVXM25A9 Floor Mounted Unit 2.5KW,Daikin,726.6,"Offering optimised heating and maximised convenience, the Daikin Perfera FVXM25A9 2.5kW floor-mounted heating unit operates with a range of clever features ensuring that you enjoy personalised comfort whatever the situation. Reaching temperature quickly and efficiently, this clever unit offers functions such as floor warming and radiant-simulating Heat Plus to provide heat exactly as needed and all while operating surprisingly quietly. Using Flash Streamer technology to trigger chemical reactions in airborne particles, the Perfera delivers clean and healthy air free from pollen, fungal allergens and unpleasant odours.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Standard Wall Mounted/Standard Wall Mounted.csv -> Daikin Perfera FVXM25A9 Floor Mounted Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/03/652803_wm.jpg,,,,,N,FVXM25A9,N,Modern design,Seasonal efficiency up to A++ in heating,Reduces running costs compared to gas or heating,Can be combined with up to 5-port multi outdoor units,Heat boost (pair only) reaches temperature 14% faster than regular air conditioner,Floor warming function distributes hot air from bottom of unit,Heat plus function simulates radiant heat for 30 minutes of cosiness,Dual air discharge flow for improved air distribution,Flash Streamer breaks down allergens and removes odours,Quiet operation down to 19dBA,Uses Onecta for control via app or internet connection,,,Perfera,1.7,1,R-32,238,9.50,6.40,Floor Mounted Unit
