,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Operating Temperature Range (C),Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2
0,PF50805,"Georg Fischer Aquasystem male adaptor union 1.1/2"" x 50mm",Georg Fischer,126.02,"This Georg Fischer Aquasystem 1 1/2"" x 50mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem male adaptor union 1.1/2"" x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,1-1/2 x 50 mm,1.1/2 x 50,Aquasystem,N,WRAS,Unequal,1-1/2 inch,50 mm,PP-R,0 to 90,1 1/2'' x 50mm,Socket Fusion,4302905030121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
1,PF50802,"Georg Fischer Aquasystem male adaptor union 3/4"" x 25mm",Georg Fischer,79.08,"This Georg Fischer Aquasystem 3/4"" x 25mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem male adaptor union 3/4"" x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,3/4 x 25mm,3/4 x 25,Aquasystem,N,WRAS,Unequal,3/4 inch,25 mm,PP-R,0 to 90,3/4'' x 25mm,Socket Fusion,4302702530121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
2,PF50803,"Georg Fischer Aquasystem male adaptor union 1"" x 32mm",Georg Fischer,97.35,"This Georg Fischer Aquasystem 1"" x 32mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem male adaptor union 1"" x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,1 x 32 mm,1 x 32,Aquasystem,N,WRAS,Unequal,1 inch,32 mm,PP-R,0 to 90,1¼ x 32mm,Socket Fusion,4302703230121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
3,PF50806,"Georg Fischer Aquasystem male adaptor union 2"" x 63mm",Georg Fischer,273.68,"This Georg Fischer Aquasystem 2"" x 63mm male adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem male adaptor union 2"" x 63mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/00/F50800_wm.jpg,2 x 63 mm,2 x 63,Aquasystem,N,WRAS,Unequal,2 inch,63 mm,PP-R,0 to 90,2 x 63mm,Socket Fusion,4302906330121,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
4,PF50812,"Georg Fischer Aquasystem female adaptor union 1.1/2"" x 50mm",Georg Fischer,194.65,"This Georg Fischer Aquasystem 1 1/2"" x 50mm female adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem female adaptor union 1.1/2"" x 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/08/F50808_wm.jpg,1-1/2 x 50 mm,1.1/2 x 50,Aquasystem,N,WRAS,Unequal,1-1/2 inch,50 mm,PP-R,0 to 90,1 1/2'' x 50mm,Socket Fusion,4302905030021,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
5,PF50809,"Georg Fischer Aquasystem female adaptor union 3/4"" x 25mm",Georg Fischer,57.76,"Made to connect metal with plastic pipes, this Georg Fischer Aquasystem 25mm x 3/4"" G-type union socket is made from PP-R copolymer material. The entire range of Aquasystem adapters and transitions ensures always reliable connecting while allowing for flexible installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem female adaptor union 3/4"" x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/09/NW-F50809_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf
6,PP96092,"TP RV0.BOL upvc union with O ring 3/4""",TP,9.99,"This TP 3/4 x 3/4"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> TP RV0.BOL upvc union with O ring 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,
7,PP96095,"TP RV0.BOL upvc union with O ring 1.1/2""",TP,22.11,"This TP 1 1/2 x 1 1/2"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> TP RV0.BOL upvc union with O ring 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,
8,PP41248,"Georg Fischer UPVC plain union 1""",Georg Fischer,23.44,"This Georg Fischer 1 x 1"" union in PVC-U is suitable for solvent cement jointing and offer suitability for use in chemical processing, microelectronics, shipbuilding and water treatment.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer UPVC plain union 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/51/NW-P41245_P41251_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Georg_Fischer_Piping_Systems_Brcr.pdf,
9,PF50813,"Georg Fischer Aquasystem female adaptor union 2"" x 63mm",Georg Fischer,243.24,"This Georg Fischer Aquasystem 2"" x 63mm female adapter union is part of the lightweight polypropylene-random Aquasystem piping system. Corrosion-resistant and highly flexible, Aquasystem is ideal for commercial use and can be used in the riser and distribution runs necessary in space heating, DHW, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Unions/Unions.csv -> Georg Fischer Aquasystem female adaptor union 2"" x 63mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/08/F50808_wm.jpg,2 x 63 mm,2 x 63,Aquasystem,N,WRAS,Unequal,2 inch,63 mm,PP-R,0 to 90,2 x 63mm,Socket Fusion,4302906330021,Adaptor,N,Fibreglass reinforced,Reduced expansion design,Corrosion-resistant,Suitable for temperatures of 0° to 90°C,Socket fusion connection,WRAS approved,,
