,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Finish,Feature 11,Feature 12,Feature 13
0,PA05032,Nabis Swish two tap hole bath filler tap Chrome,Nabis,65.0,"Nabis Swish bath filler with 3/4 inch ceramic disc valve, suit the styling of different bathroom designs depending on user requirement along with high level of quality.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Swish two tap hole bath filler tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/32/NW-A05032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SwishTapRange_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05402,Nabis Alia deck mounted 3/4-turn bath filler mixer tap with ceramic disc,Nabis,49.75,"Manufactured in robust brass, the Nabis Alia deck-mounted bath filler is finished in bright, shiny chrome. This smart fixed spout tap, suitable for installation in both low and high pressure systems, has a neat modern design to suit most contemporary bathrooms.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Alia deck mounted 3/4-turn bath filler mixer tap with ceramic disc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/02/NW-A05402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Alia_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05402_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA05413,Nabis Circo bath filler tap,Nabis,52.0,"A smart and simple modern tap, the Nabis Circo bath filler is ideal for contemporary bathrooms. Made of reliably tough brass with a zinc handle and high shine chrome finish, this robust fixed spout bath tap is suitable for use in pressure systems.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Circo bath filler tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/13/NW-A05413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05413_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/13/ds/A05413DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Circo_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA05417,Nabis Sweep bath filler tap,Nabis,69.5,"Made of tough brass with a zinc handle and chrome body, the Nabis Sweep bath filler has a modern, curvaceous design. Suitable for even the most contemporary bathroom, this tap can be installed in both high and low pressure systems.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis Sweep bath filler tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/17/A05417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares List_May 2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Sweep_Tap_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05417_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PC22711,Bristan Frenzy cool touch bar valve shower multi-mode kit,Bristan,69.0,"Suitable for all plumbing systems but performing best in a balanced system, the Bristan Frenzy thermostatic surface-mounted bar shower valve is supplied with an adjustable riser kit. Ensuring safe showering for the whole family, this valve incorporates a thermostatic cartridge which will maintain the temperature to ±1°C, reacting to changes in incoming temperature or pressure to ensure an always stable outlet temperature.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Frenzy cool touch bar valve shower multi-mode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/11/NW-C22711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22711_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Frenzy_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22711_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PA05040,Nabis thermostatic bath shower mixer,Nabis,112.65,"A simple choice for hassle-free bathroom re-designs, this Nabis shower kit includes everything you'll need for fast, easy fitting. This kit includes a shower handset, hose and wall bracket as well as a thermostatic bath/shower mixer for safe, scald-free showering.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Nabis thermostatic bath shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/40/NW-A05040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_A05040_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nabis Shower Spare Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC51558,Bristan Java bath filler tap and thermostatic shower Chrome Plated,Bristan,677.1,"With a looped handle, the Bristan Java bath filler offers tactile, effortless control and elegant looks. This smart deck-mounted filler is made of tough brass with a chrome finish and is suitable for installation in any plumbing system.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Java bath filler tap and thermostatic shower Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/58/NW-C51558_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C51558_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C51558_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C51558_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD10033,Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,Bristan,48.0,"Uniquely designed for a modern bathroom, the Bristan Orta basin mixer with clicker waste offers a dynamic forward slant combined with a classic chrome finish. Suitable for all plumbing systems, this contemporary deck-mounted tap is constructed in long lasting brass.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Orta basin mixer tap and clicker waste Chrome Plated pack,,Basin mixer;Clicker waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/33/NW-D10033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Collection_2011_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D10033_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Orta_Tap_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD38206,Ideal Standard Cerabase single lever bath filler,Ideal Standard,116.47,"Finished in robust chrome, the long lasting Ideal Standard Cerabase bath filler is designed to look great in any bathroom. Fitted using Easyfix, for quick installation, this deck-mounted bath tap incorporates numerous clever technologies, including FirmaFlow ceramic disc cartridges, Click technology to reduce water waste and LightMove for effortless, precise operation.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Ideal Standard Cerabase single lever bath filler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/06/D38206_wm.jpg,,,,,,Chrome,20L,50,N/A,106,Contemporary,5 Years,N,142,Med,N/A,Yes,Yes,Fixed,Deck,Lever,Brass,0,BD055AA,Lever handle,N,LightMove operation for precision control,SmartShine chrome finish for durable shine,"Easyfix for easy, quick installation",Lever handle,5 year warranty,,,,,,,,,,
9,PD10027,Bristan Cobalt bath filler tap pack,Bristan,129.99,"The bold, geometric lines of the Bristan Cobalt bath filler are an ideal addition to a contemporary bathroom. Made of long lasting brass and finished in chrome, this deck-mounted filler is compatible with all plumbing systems.",Bathrooms and Kitchens/Bathroom Taps/Bathroom Filler Taps/Bathroom Filler Taps.csv -> Bristan Cobalt bath filler tap pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-D77276_wm.jpg,,,,,,Chrome/Gloss,5.7 l/min,0.3,65,104,Modern,5 Years,N,165,Low,No,No,Yes,Fixed,Deck,Lever,Brass,2,D10027 PK,Bath Filler,N,Precise glide,Chrome finish,Matching taps and showers available,Secure fix,Long life 1/4 turn ceramic disc valves,Cobalt,Metal back nuts for durability,Easy to use lever handles,Chrome-plated to BS EN 248,Flow rate 5.7LPM,5 year warranty,,,,
