,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 3,Attachment 4,Attachment 5,Length (M),Double Sided,Diameter,Range,Weight,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Attachment 6,Attachment 7,Attachment 8,Application,Feature 9,Pack Quantity
0,PE68094,Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,Geocel,8.49,"Bacteria-resistant, Dowsil 785 white sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/94/E68094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P571983,Center CB Standard PTFE Tape 12mtr x 12mm x 0.075mm (1),Center CB,0.32,"Center CB thread-sealing PTFE tape is designed specifically to aid the sealing of a joint where threaded or compression fittings are used. This versatile tape is compatible with a wide array of liquids including potable water and is suitable for use on multiple types of materials including plastic, brass, copper, aluminium, steel, galvanised steel and iron. This WRAS approved tape benefits from being resistant to enzymatic and micro-biological attack whilst also being non-toxic and non-flammable making in the perfect choice for professional installers. It is used in the applications of plumbing, heating, automotive, mechanical and hydraulic systems.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB Standard PTFE Tape 12mtr x 12mm x 0.075mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/83/571983_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_571983-571984_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_571983_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PT16508,Henkel Loctite pipe thread sealant 50ml,Henkel,25.49,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Henkel Loctite pipe thread sealant 50ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16508_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN37664,Center CB Shower and Sanitaryware Silicone White 300ml,Center CB,4.93,"A single component sealant based on silicones, this Center CB shower and sanitary sealant offers an elastic finish for joints in bathrooms and kitchens, top sealing in glazing, refrigerator sealing, container construction and air-conditioning systems.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB Shower and Sanitaryware Silicone White 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/N37664-FRONT_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PS87228,WD-40 smart straw multi purpose penetrant spray 450ml,WD-40,6.57,"A classic multi-purpose product, WD-40 Multi-Use Smart Straw spray does it all, from stopping that hinge's irritating squeak to loosening jammed components and lubricating gears, chains and mechanisms. Smart Straw technology makes reaching hard to get into spots simpler than ever, directing the WD-40 liquid straight into tight spaces for targeted lubrication exactly where it's required. If wider coverage is needed Spray2Ways technology means all you need do is flip the Smart Straw down to rest against the can and press to dispense WD-40 via the can's standard nozzle.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> WD-40 smart straw multi purpose penetrant spray 450ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/28/S87228_wm.jpg,,,Light Brown,450 ml,N,Single,Liquid,44137/156,Penetrant Spray,N,450ml can,Smart Straw technology for easy use,Spray2Ways technology for flexibility,Multi-purpose use,For squeaking hinges,Loosens rusted parts,Loosens stuck parts,Displaces moisture for protection,,,,,,,,,,,,,,,,,,,,,,
5,PN44062,CT1 Adhesive and Sealant White or Clear,CT1,11.25,"CT1 sealant and construction clear adhesive harnesses revolutionary Tribrid technology to bond to all metals, including lead, as well as to glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles, concrete, most stones, most synthetic materials and plastics (excluding PP, PE and PTFE). A huge 360% stronger than a traditional hybrid polymer, CT1 won't stain stone and has scientifically proven colour retention.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> CT1 Adhesive and Sealant White or Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/62/N44062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_SealantAdhesive_ClearSilver_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ce/CT1_DOP_Clear_Silver_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Clear_Silver_Licence.pdf,,,,,,,,,,,,,,,,,,,,
6,PN37660,Center CB universal silicone 300ml Clear,Center CB,4.71,"A single component sealant based on silicones, this Center CB clear universal silicone sealant is ideal for making connection joints between walls and bathtubs or shower bases, for sealing joints in sanitary and other often damp rooms, including bathrooms, toilets and wet rooms.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB universal silicone 300ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/60/NW-N37660_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Universal_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PN44057,CT1 Adhesive and Sealant White or Clear,CT1,9.75,"Using innovative Tribrid technology, CT1 sealant and construction adhesive effectively bonds to all metals, lead, glass, mirrors, wood, MDF, polystyrene, fibreglass, tiles and concrete. It will also adhere to most stone types, most synthetic materials and many plastics, excluding PP, PE and PTFE. UV-resistant and stain-free, CT1 retains its white colour well and is proven to be a massive 360% stronger than traditional hybrid polymers, supplying reliable adhesion, even underwater.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> CT1 Adhesive and Sealant White or Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/57/N44057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Sealant_Adhesive_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Sealant_Adhesive_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/en/ce/CT1_GEV_EMICODE_Licence.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/ce/CT1_Declaration_of_Performance_CE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/CT1_Certificate_of_Compliance.pdf,,,,,,,,,,,,,,,,,,,
8,PE68095,Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,Geocel,8.49,"Bacteria-resistant, Dowsil 785 clear sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/E68095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF15215,Center CB silicone lubricant spray 400ml,Center CB,4.94,This Center CB all purpose silicone spray is a dry silicone lubricant and mould release agent designed to ease friction between two surfaces.,Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB silicone lubricant spray 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/15/F15215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15215_MSDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15215_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
10,PN61356,Center CB N61356* silver waterproof duct tape 50mm x 50mtr (1),Center CB,7.75,"A must-have for general maintenance, this Center CB 50mm silver waterproof duct tape is a vinyl cloth reinforced tape with adhesive backing, ideal for temporary repair work. It is suitable for a wide range of tasks, from sealing and insulating to hole closure, repairs, masking, packaging, holding and bundling, and for both interior and exterior use.",Trade Essentials/Sealants and Adhesives/Sealants and Adhesives.csv -> Center CB N61356* silver waterproof duct tape 50mm x 50mtr (1),,x1 duct tape,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/56/N61356_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Duct_Tape_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
