,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3
0,PT41779,Scudo bi-fold door 760 x 1850mm - 6mm glass,Scudo,203.96,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 760mm semi-frameless bi-fold shower door is finished with a simple chrome frame. 1850mm in height, this shower door opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo bi-fold door 760 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/81/T41779_T41781_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,710-750,Chrome,Aluminium,S6-GLASS022,Bifold,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
1,PT41772,Scudo sliding door 1200 x 1850mm - 6mm glass,Scudo,184.13,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 1200mm sliding shower door is finished with a simple chrome frame. 1850mm in height, this shower door opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo sliding door 1200 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/73/T41770_T41773_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,1150-1190,Chrome,Aluminium,S6-GLASS015,Sliding Door,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
2,PD28383,Mira Leap pentagon panels only 900 x 900mm,Mira,323.04,"The Mira Leap 900 x 900mm pentagon panel is installed with a bi-fold or pivot door to create a complete shower enclosure. Built with 6mm safety glass and CleanCoat glass coating technology this robust, easy to clean panel is built to last.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Mira Leap pentagon panels only 900 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/83/UP-D28383_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Leap_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_LeapQuadrantEnclosure_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Leap_Pentagon_Drawing.pdf
3,PT41790,Scudo sliding shower door 6 x 17000 mm,,338.39,"The Scudo 1700mm sliding shower door offers universal fitting for left- or right-handed opening to suit your bathroom design. This 1850mm height shower door with smart chrome frame is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning and resistance to limescale, soap scum and bacterial build-up.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo sliding shower door 6 x 17000 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/90/T41790_wm.jpg,Clear,,,N,,,,S6-GLASS033,,N,Up to 6mm thick toughened safety glass,Universal design for left or right-hand openings,With Acqua Shield glass treatment,Large adjustment for out of true walls and easy installation,High quality pivot mechanism,Lifetime warranty,,,
4,PT41759,Scudo quadrant double door 900 x 1850mm - 6mm glass,Scudo,252.48,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 900mm quadrant double shower door is finished with a simple chrome frame. 1850mm in height, this shower door with 550mm radius opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo quadrant double door 900 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/T41758_T41763_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,870-890,Chrome,Aluminium,S6-GLASS002,Double door quadrant,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
5,PT41771,Scudo S6 sliding shower door 1100,Scudo,247.17,"The Scudo S6 1100mm sliding shower door offers universal fitting for left- or right-handed opening to suit your bathroom design. This 1850mm height shower door with smart chrome frame is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo S6 sliding shower door 1100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/71/T41771_wm.jpg,Clear,6mm,Lifetime,N,45,Chrome,Glass,S6-GLASS014,Sliding Door,N,Up to 6mm thick toughened safety glass,Universal design for left or right-hand openings,Aqua-Shield glass treatment for easy cleaning,Smooth sliding action,Large adjustment for out of true walls,Lifetime warranty,,,
6,PT41773,Scudo sliding door 1400 x 1850mm - 6mm glass,Scudo,192.95,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 1400mm sliding shower door is finished with a simple chrome frame. 1850mm in height, this shower door opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo sliding door 1400 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/73/T41770_T41773_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,1350-1390,Chrome,Aluminium,S6-GLASS016,Sliding Door,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
7,PT41816,Scudo S8 sliding shower door 1200mm,Scudo,393.71,"The Scudo S8 1200mm sliding shower door offers universal fitting for left- or right-handed opening to suit your bathroom design. This 1900mm height shower door with smart chrome frame is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo S8 sliding shower door 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/16/T41816_wm.jpg,Clear,8mm,Lifetime,N,45,Chrome,Glass,SCUD12SLID,Sliding Door,N,Up to 8mm thick toughened safety glass,Universal design for left or right-hand openings,Aquashield glass treatment for easy cleaning,Smooth sliding action,Large adjustment for out of true walls,Lifetime warranty,,,
8,PT41780,Scudo bi-fold door 800 x 1850mm - 6mm glass,Scudo,212.79,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 800mm semi-frameless bi-fold shower door is finished with a simple chrome frame. 1850mm in height, this shower door opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo bi-fold door 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/81/T41779_T41781_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,750-790,Chrome,Aluminium,S6-GLASS023,Bifold,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
9,PT41758,Scudo quadrant double door 800 x 1850mm - 6mm glass,Scudo,219.4,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 800mm quadrant double shower door is finished with a simple chrome frame. 1850mm in height, this shower door with 550mm radius opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo quadrant double door 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/T41758_T41763_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,770-790,Chrome,Aluminium,S6-GLASS001,Double door quadrant,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
10,PT41761,Scudo quadrant double door 1000 x 800 x 1850mm - 6mm glass,Scudo,270.11,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 1000 x 800mm quadrant double shower door is finished with a simple chrome frame. 1850mm in height, this shower door with 550mm radius opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo quadrant double door 1000 x 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/T41758_T41763_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,970-990 / 770-790,Chrome,Aluminium,S6-GLASS004,Double door quadrant,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
11,PT41781,Scudo bi-fold door 900 x 1850mm - 6mm glass,Scudo,219.4,"Made of a thick safety glass treated with Aquashield for a longer like-new shine, the Scudo S6 900mm semi-framless bi-fold shower door is finished with a simple chrome frame. 1850mm in height, this shower door opens and closes smoothly.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Scudo bi-fold door 900 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/81/T41779_T41781_wm.jpg,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,850-890,Chrome,Aluminium,S6-GLASS024,Bifold,N,AquaShield glass treatment for ease of cleaning,Smooth sliding action,With 6mm thick toughened safety glass,Generous adjustment for out-of-true walls,Lifetime warranty on fixed parts,2 year warranty on seals and moving parts,,,
12,PD15700,Kinedo Consort CA10GB shower cubicle 810 x 810mm,Kinedo,529.13,"Take it easy with the Kinedo Consort 2020 x 810mm shower cubicle, fitted with no need for tiles, grout or silicone sealant. Suitable for thermo and hydro massage showers, this cubicle is ideal for corner fitting.",Showering/Shower Doors and Enclosures/Other Shower Enclosures/Other Shower Enclosures.csv -> Kinedo Consort CA10GB shower cubicle 810 x 810mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/00/NW-D15700_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Delta_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Consort_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Saniflo_Kinedo_Brochure.pdf
