,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Range,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 6,Colour,Volume,Physical State / Form,Feature 11,Feature 12
0,P604003,Fernox F4 central heating leak sealer 500ml (1),Fernox,14.75,"Sealing small and inaccessible leaks and weeping in central heating systems, Fernox F4 Express internal leak sealer helps to reduce the risk of pressure loss and boiler breakdown. Once dispersed the product cleverly seeks out oxygen ingress, forming a polymer formulated to seal the offending pinhole. Fast and simple, F4 can show results anywhere between one and 24 hours after application, helping to prevent blockages and restrictions in boilers, pumps and other components and safety devices and saving on inconvenient and costly complete system drain downs.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Fernox F4 central heating leak sealer 500ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/03/NW-604003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_EBenefits_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56603_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/12/Alpha_SDS12.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56603-LeakSealer_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,P603022,Fernox LS-X leak sealer external 50 gm (1),Fernox,5.75,"Fast-acting Fernox LS-X external leak sealer is a silicone paste which works as an effective external leak sealer and jointing compound. Convenient and simple, this 50g tube is suitable for use on hot and cold water services and is safe for use in potable water.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Fernox LS-X leak sealer external 50 gm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/22/NW-603022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/38/Alpha_SDS38.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_EBenefits_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_61016_LeakSealer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_61016_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,P608081,Adey MC4+ Rapide MC4 Mc4+ Leak Sealer Rapide 300Ml (1),Adey,17.49,"Quick and powerful, Adey MC4+ Rapide leak sealer is highly concentrated for a strong, reliable seal. Flowing around the entire system, this fast-working sealer finds even the most hard to reach and smallest leaks, helping to restore pressure without expensive maintenance. Adey's 300ml quick-dose bottle design means dosing can take as little as 20 seconds.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Adey MC4+ Rapide MC4 Mc4+ Leak Sealer Rapide 300Ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/81/NW-608081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_RapideLeakSealer_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC4+_Rapide_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P602999,Fernox F4 Express F4 central heating leak sealer 400ml (1),Fernox,18.99,"Sealing small and inaccessible leaks and weeping in central heating systems, Fernox F4 Express internal leak sealer helps to reduce the risk of pressure loss and boiler breakdown. Once dispersed the product cleverly seeks out oxygen ingress, forming a polymer formulated to seal the offending pinhole. Fast and simple, F4 can show results anywhere between one and 24 hours after application, helping to prevent blockages and restrictions in boilers, pumps and other components and safety devices and saving on inconvenient and costly complete system drain downs. Using barrier pressure pack technology and compressed air propellent, this 400ml aerosol can is non-flammable. Because the propellent is not mixed with the active product it poses no risk of air ingress into the system, negating the risk of corrosion.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Fernox F4 Express F4 central heating leak sealer 400ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/99/NW-602999_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62422_LeakSealer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_62422_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P605687,Adey MCXS external leak sealer (1 x 50ml tube),Adey,6.1,"Stopping leaking joints at speed and with minimal effort, Adey MCXS external leak sealer jointing compound won't set hard, making it easy to readjust and remove later on. Suitable for use in a wide variety of  situations, MCXS is compatible with both hot and cold water and can be used on both compression and screw fittings.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Adey MCXS external leak sealer (1 x 50ml tube),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/87/605687_wm.jpg,,,,,,1 x 50ml tube,MCXS,N,50ml Tube,CH1-03-05833,Chemical Leak Sealer,N,Compression or screw fittingsHot or cold waterSafe to use with drinking water,50ml tube,Seals low pressure leaks,Suitable for use on weeping joints,Suitable for compression and screw fittings,For use on wet or dry surfaces,For hot or cold water use,Ready to use compound,Cures in 2 hours,Resealable tube,WRAS approved,,,,,,
5,P608112,Sentinel Chemical Water Treatment Internal Leak Sealer 1Ltr (1),Sentinel,14.99,"A simple solution for small leaks and weeping joints, Sentinel leak sealer is compatible with all types of indirect central heating systems. Easy to use, this leak sealer seeks out and blocks pinhole leaks without causing blockages in the system. It is compatible with other Sentinel products.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Sentinel Chemical Water Treatment Internal Leak Sealer 1Ltr (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/12/NW-608112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_LeakSealer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_LeakSealerRapidDose_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_Internal_Leak_Sealer_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_InternalLeakSealer_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_Leaksealer_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_Internal_Leak_Sealer_SDS.pdf,,,,,
6,P606693,Sentinel Leak Sealer internal leak sealer pack 1ltr (1 x 1L Bottle),Sentinel,15.0,"Suitable for those small leaks and weeping joints that don't require emergency repair, this Sentinel Leak Sealer, supplied in a 1L bottle, is suitable for use in all domestic heating systems.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Sentinel Leak Sealer internal leak sealer pack 1ltr (1 x 1L Bottle),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/12/608112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_LeakSealer_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_LeakSealerRapidDose_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_Internal_Leak_Sealer_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_InternalLeakSealer_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,P609286,Adey MC4 central heating leak sealer 500ml (1),Adey,17.8,"Deal effectively with small leaks using Adey MC4 500ml leak sealer. Easy to use, this sealer protects and seals from the inside, getting into the hardest to reach areas and saving your system from potentially costly repairs. In many cases one it takes only dose to fix a leak and restore full pressure.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Adey MC4 central heating leak sealer 500ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/86/NW-609286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_MC4_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P608055,Adey MC4 Mc4 C/Heating Leak Sealer   500Ml (1),Adey,28.76,"Deal effectively with small leaks using Adey MC4 500ml leak sealer. Easy to use, this sealer protects and seals from the inside, getting into the hardest to reach areas and saving your system from potentially costly repairs. In many cases one it takes only dose to fix a leak and restore full pressure.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Adey MC4 Mc4 C/Heating Leak Sealer   500Ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/55/NW-608055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_MC4_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P609294,Adey MC4+ Rapide MC4+ central heating leak sealer 300ml (1),Adey,17.5,"A fast, powerful solution for leaks and weeping joints, Adey MC4+ Rapide is a high concentration formula for a stronger seal. Added in just twenty seconds using the quick-dose bottle, MC4+ Rapide moves around the entire central heating system, working efficiently in even the hardest to reach areas.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Adey MC4+ Rapide MC4+ central heating leak sealer 300ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/81/608081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_RapideLeakSealer_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P606119,Fernox F1 protector F1 265ml,Fernox,33.6,"Supplying long term protection against corrosion and limescale, the Fernox F1 protector can help to extend the life of a central heating system. Safe for use on all of the materials commonly used in central heating installations, including aluminium, F1 is compatible with all types of boilers, radiators and pipework and can be used in underfloor heating systems.",Heating/Water Treatment Products/Leak Sealer/Leak Sealer.csv -> Fernox F1 protector F1 265ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/75/NW-609275_wm.jpg,,,,,,,,N,Bottle,606119 PK,Protector,N,BoilerRadiatorPipework System,265ml bottle,Yellow liquid,Prevents corrosion and scale,Helps to extend system life and efficiency,For use in mixed metal heating systems,pH buffering for optimum system pH control,Prevents radiator cold spots,Prevents sticking pumps and boiler noise,"Treats up to 100L, 12 radiators or 190M² of underfloor heating",Less packaging waste,,Yellow,265ml,Liquid,Lower environmental impact,Can be dosed via any Fernox TF1 Filter
