,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pack Quantity,Paintable,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,P697061,"Aspen Pumps Xtra equal tee 3/4"" Black (Pack of 5)",Aspen Pumps,6.72,"Made of uPVC, these Aspen Pumps Xtra 15mm equal tees have a smooth internal finish for a low coefficient of flow friction, helping to prevent build-up of debris, bacteria and blockages.","Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Aspen Pumps Xtra equal tee 3/4"" Black (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/61/NW-697061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF16320,Center CB tee 40mm White,Center CB,4.33,"Made of polypropylene (PP), this Center CB 40mm swept tee with push-fit connections is part of a range designed to incorporate simple but effective ring seal jointing for fast, convenient installation. This cost-effective system is completely demountable, making it suitable for both new installations and modifications.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Center CB tee 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/20/NW-F16320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/CenterCB_Drainage_Prod_Guide_Feb2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF49924,"McAlpine multifit in-line non-return valve 1 1/4""",McAlpine,14.06,"A McAlpine 1 1/4 x 1 1/4 x 1 1/4"" multifit in-line non-return valve with top access for cleaning.","Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> McAlpine multifit in-line non-return valve 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/NW-F49924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F49924_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF66006,Polypipe Push-fit Waste WP21G 91.25deg swept tee 32mm Grey,Polypipe,4.52,"Suitable for domestic use, this Polypipe swept tee with 32mm push-fit connections is made of grey polypropylene (PP).",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Polypipe Push-fit Waste WP21G 91.25deg swept tee 32mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/06/F66006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_TerrainS&W_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P514551,Wavin Tigris K5 90deg elbow 25mm,Wavin,9.55,"Non-demountable, this Wavin Tigris K5 25mm 90° elbow is part of a cutting edge press-fit system. Offering quick, easy and safe jointing with no need for a hot works permit, Tigris K5 has a unique acoustic leak alert, making it possible to test with air instead of water.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Wavin Tigris K5 90deg elbow 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/51/514551_wm.jpg,,,,Metallic,25mm,Not Demountable,25 mm,Tigris,25 Years,58 g,N,Elbow,PPSU,-10,n/a,2.5,70,WRAS,3079770,N,Wavin Tigris K5 is a pioneering Pressfit system available in diameters of 16mm to 40mm,Acoustic leak alert whistles if unpressed,PPSU construction,Metal finish,WRAS approved,25 year warranty,,,,,,,,,,
5,PF16319,Center CB tee 32mm White,Center CB,4.33,"Made of polypropylene (PP), this Center CB 32mm swept tee with push-fit connections is part of a range designed to incorporate simple but effective ring seal jointing for fast, convenient installation. This cost-effective system is completely demountable, making it suitable for both new installations and modifications.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Center CB tee 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/19/NW-F16319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/CenterCB_Drainage_Prod_Guide_Feb2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P514627,Wavin Tigris M5 DRL coupler metal 16 x 15mm (Single),Wavin,11.16,"Suitable for use in potable water, the press-fit Wavin Tigris 16 x 15mm DRL coupler can also be employed in sanitary and heating systems. It is part of a comprehensive piping system ideal for large commercial projects.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Wavin Tigris M5 DRL coupler metal 16 x 15mm (Single),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/27/514627_wm.jpg,,,,Metallic,16 mm,Push Fit,16 mm,Tigris,1 year,0.045 kg,N,Coupler,PPSU,-10,Corrosion Resistant,N/A,70,N/A,4065978,N,Water Heating,Metal layer for resistance to oxygen diffusion,PPSU construction,Metallic finish,Corrosion-resistant,1 year warranty,Single,No,,,,,,,,
7,P514569,Wavin Tigris K5 reducing tee 25 x 16 x 25mm (Single),Wavin,13.19,"Suitable for use in potable water, the press-fit Wavin Tigris 25 x 16 x 25mm reducing tee can also be employed in sanitary and heating systems. It is part of a comprehensive piping system ideal for large commercial projects.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Wavin Tigris K5 reducing tee 25 x 16 x 25mm (Single),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/69/514569_wm.jpg,,,,Black,25mm,Push Fit,25 mm,Tigris,1 year,0.068 kg,N,Tee,PPSU,-10,Corrosion Resistant,N/A,70,N/A,3079827,N,Water Heating,Metal layer for resistance to oxygen diffusion,PPSU construction,Black finish,Corrosion-resistant,1 year warranty,Single,No,,,,,,,,
8,P514597,Wavin Tigris K5 90deg elbow 16mm x 1/2in (Single),Wavin,10.32,"Suitable for use in potable water, the press-fit Wavin Tigris 16mm x 1/2"" 90° elbow can also be employed in sanitary and heating systems. It is part of a comprehensive piping system ideal for large commercial projects.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Wavin Tigris K5 90deg elbow 16mm x 1/2in (Single),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/97/514597_wm.jpg,,,,Black,16 mm,Push Fit,16 mm,Tigris,1 year,0.062 kg,N,Elbow,PPSU,-10,Corrosion Resistant,N/A,70,N/A,3079782,N,Water Heating,Metal layer for resistance to oxygen diffusion,PPSU construction,Black finish,Corrosion-resistant,1 year warranty,Single,No,,,,,,,,
9,PQ40541,Wavin HDPE 3003792 89deg swept tee 110mm,Wavin,8.4,"Part of a universal system suitable for DIN 19535 and DIN EN 1519 pipe installation, this Wavin HDPE 110mm 89° swept tee in black is fitted using 100mm welded x welded connections. A complete soil, waste and vent system, Wavin HDPE is resistant to chemicals and offers high levels of flexibility and resistance to impacts meaning it can be used in seismic zones and across expansion joints. Suitable for use in negative pressure installations, Wavin HDPE is compatible with the brand's own QuickStream siphonic roof drainage system.",Drainage/Waste Pipe and Fittings/Waste Tees/Waste Tees.csv -> Wavin HDPE 3003792 89deg swept tee 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/41/Q40541_wm.jpg,,,,Black,110mm,Weld,110mm,HDPE,1 year,0.525 kg,N,Waste tee,PE-HD,-40,High and low temperatureHigh level of chemical resistanceImpactUV,4.3,90,DIN 19535DIN EN 1519DIN EN 12056DIN 1986-100,3003792,N,Domestic wasteRainwaterIndustrial waste,Resistant to temperatures up to 90°C continuous temperature and 100°C short term,"Ideal for assemblies subject to vibration, e.g., in seismic zones and across expansion joints",UV-stabilised with the addition of carbon black for outdoor use,Can be butt or electrofusion welded for a perfectly sealed system,Lightweight for easy transportation and handling,,No,Offers high resistance to chemical agents,Cannot be jointed with adhesives,Elasticity allows pipes to withstand freezing of internal water,High impact strength at temperatures as low as -40°C,Smooth surface for optimum flow of any waste material and self-cleaning of pipes,Will not issue toxic gases during combustion,"Quick-fit coupling and expansion joint seals are resistant to waste water from household appliances, laboratories and hospitals","Elastomer seals guarantee sealing and durability, even in extreme conditions"
