,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Anti Slip,Colour,Grip Holes,Hazardous,Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Finish,Range,Thickness,Warranty,Material,Feature 7,Feature 8
0,PA03230,Nabis Panel bath front panel 1700x510mm white,Nabis,22.49,Nabis front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Panel bath front panel 1700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/33/A03230_33_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MonroeDoubleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
1,PA03211,Nabis Taylor shower bath P-shape front panel 1700x510mm white,Nabis,57.97,Nabis Taylor P shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Taylor shower bath P-shape front panel 1700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/15/A03211_15_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_TaylorPShapeBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_TaylorPShapeBathPanel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TaylorPShapeBath_Installation.pdf,,,,,,,,,,,,,,,,,,,,,
2,PA71100,Ideal Standard Uniline super strength front bath panel 1700mm White,Ideal Standard,125.79,"Complementing almost any bathroom design, this Ideal Standard Uniline 510 x 1700mm bath front panel is made of acrylic with a smart white gloss finish. Robustly made, this 35mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Uniline super strength front bath panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/NW-A71100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PA64300,Ideal Standard Nisa flat bath front panel 1700mm White,Ideal Standard,63.22,"Suitable for use with steel baths, the Ideal Standard Nisa 1700mm flat bath front panel has a simple design to fit most bathroom decors. It is made of tough acrylic with a white gloss finish.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Nisa flat bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/00/NW-A64300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Nisa_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PA00240,Twyford David Wilson bath front panel White,Twyford,140.29,"With a modern, minimal design that won’t look out of place in the traditionally styled or contemporary bathroom and suitable for most baths, this Twyford 1700 x 510mm twin skin bath front panel is trimmable to fit your needs.  Made of double-skinned polystyrene with an outer skin of 3mm and a 2mm inner skin, this tough panel has a bonded, deep-ribbed backing for additional rigidity.  Simple to install, the bath panel is secured under the bath rim using clips provided, making it easy to remove should access to plumbing work be required and creating a sleek, tidy finish in all styles of bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Twyford David Wilson bath front panel White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/A00240_Primary_Image_wm.jpg,,,,,N,White,N,N,None,PP8170WH,Bath Front Panel,N,Deep ribbing for strength and rigidity,Universal panel,Can be trimmed to fit,Acrylic construction,Exact colour match to Twyford baths,2 year warranty,,,,,,,
5,PD01724,Roca Gap reinforced standard bath front panel 1700mm White,Roca,198.68,This Roca Gap 515 x 1700mm reinforced front bath panel in white is suitable for acrylic baths.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Roca Gap reinforced standard bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/25/NW-D01724_D01725_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01724_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
6,PA03218,Nabis Garland shower bath L-shape front panel 1700x510mm white,Nabis,72.51,Nabis Garland L shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Garland shower bath L-shape front panel 1700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/22/A03218_22_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PA17825,Ideal Standard Unilux front bath panel 1700mm White,Ideal Standard,112.55,"Complementing almost any bathroom design, this Ideal Standard Unilux 510 x 1700mm bath front panel is made of acrylic with a smart white gloss finish. Robustly made, this 16mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Unilux front bath panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/25/NW-A17825_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,PB03313,Ideal Standard Unilux front panel 1700 x 3.4mm White,Ideal Standard,125.37,"The unfussy, modern design of the Ideal Standard Unilux 1700mm bath front panel, along with its white finish and tough build, make it suitable for almost any bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Unilux front panel 1700 x 3.4mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/13/NW-B03313_wm.jpg,,,,,N,White/Gloss,,N,,E320201,Bath Front Panel,N,High impact polystyrene construction,Contemporary design,,,,,Gloss,Unilux,16mm,5 Years,Acrylic,,
9,PD03943,TEMPO E2606 CUBE 1800MM FRONT PANEL  WHT,Ideal Standard,186.85,"The Ideal Standard Tempo Cube shower bath front panel measures 510 x 1800mm and incorporates a luxurious, softly cubic back rest. Elegantly designed, this white bath panel complements the full Tempo range of bathroom fittings and furniture.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> TEMPO E2606 CUBE 1800MM FRONT PANEL  WHT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/43/NW-D03943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,
10,PA03240,Nabis Super Strong bath front panel 1700mm,Nabis,51.37,Nabis super strong front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Super Strong bath front panel 1700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/40/A03238_40_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_Bath_Panel_Matrix_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
11,PA03232,Nabis Panel bath front panel 1500x510mm white,Nabis,26.09,Nabis front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Panel bath front panel 1500x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/33/A03230_33_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
12,PA03228,Nabis Minelli bath space saver front panel 1690x510mm white,Nabis,78.07,Nabis Minelli front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Minelli bath space saver front panel 1690x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/29/A03228_29_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MinelliSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
13,PD00620,Roca Roca Standard standard bath panel 1700 x 510mm White,Roca,29.76,"Reinforced with GRP, this Roca standard 510 x 1700mm white gloss bath panel offers excellent rigidity for long lasting, flex-free use. Easy to install, this panel can be cut to size and requires no clips for fixing.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Roca Roca Standard standard bath panel 1700 x 510mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/20/NW-D00620_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/00/INS_035170000.pdf,,,,,,,,,,,,,,,,,,,,,,,,
14,PA60100,Twyford Omnifit bath front panel 1700mm White,Twyford,50.69,"Compatible with most baths, the Twyford Omnifit bath front panel in white measures 518 x 1700mm.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Twyford Omnifit bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/00/NW-A60100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Omnifit_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,
15,PA03239,Nabis Super Strong bath front panel 1600mm,Nabis,51.37,Nabis super strong front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Super Strong bath front panel 1600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/40/A03238_40_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_Bath_Panel_Matrix_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,PA63300,Ideal Standard Universal universal bath front panel 1700mm White,Ideal Standard,30.7,"Designed to fit perfectly with the Sandringham range of bathroom furniture, this Ideal Standard Universal 1700mm bath front panel is made of a high impact polystyrene with a white gloss finish to suit most bathrooms.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Universal universal bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/00/NW-A63300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shank_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,
17,PD09660,Ideal Standard Sandringham 21 bath front panel 1700mm White,Ideal Standard,27.58,"Reliably tough, the Ideal Standard Sandringham 21 1700mm bath front panel is made of 35mm thick acrylic with a smart white gloss finish. Simply designed, this panel is conceived to blend in with the Sandringham range of bathroom fittings.",Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Ideal Standard Sandringham 21 bath front panel 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/60/D09660_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Bathroom_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
18,PA03231,Nabis Panel bath front panel 1600x510mm white,Nabis,26.09,Nabis front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath Front Panels/Bath Front Panels.csv -> Nabis Panel bath front panel 1600x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/33/A03230_33_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
