,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Material,Size,Application,Feature 4
0,PN20123,"Rothenberger traditional force cup 5""",Rothenberger,5.96,"The Rothenberger 5"" traditional force cup is easy to use and highly effective. It employs water pressure to reliably clear blockages from drains and pipes.","Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Rothenberger traditional force cup 5""",,1x Force Cup,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/23/N20123_wm.jpg,N,465 x 135 x 135 mm,130052,Plunger,N,For effective blockage removal,For drain or pipe unblocking,Uses water pressure,,,,,,,,,,,,
1,P430779,Viessmann Flow & Return Isolation Valve (Single),Viessmann,67.8,"A Viessmann brand replacement single flow and return isolation valve.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Viessmann Flow & Return Isolation Valve (Single),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/79/NW-430779_wm.jpg,N,,7838087,Flow & Return Isolation Valve (Single),N,Single valve for flow and return,Genuine Viessmann spare,,,,,,,,,,,,,
2,P430780,Viessmann Spares 7858492 Pressure Gauge,Viessmann,47.58,"A Viessmann brand replacement pressure gauge.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Viessmann Spares 7858492 Pressure Gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/80/NW-430780_wm.jpg,N,,7858492,Pressure Gauge,N,For Vitodens boilers,Genuine Viessmann spare,,Spares,,,,,,,,,,,
3,P529091,Pegler VSH Tectite DT/305 disconnecting tool 22mm,Pegler,2.86,"This Pegler Yorkshire DT/305 22mm push-fit disconnecting tool is suitable for use on Tectite Classic, Tectite Pro and Tectite 316 fittings.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Pegler VSH Tectite DT/305 disconnecting tool 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/91/NW-529091_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PYorkshire_DTool_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/PYorkshire_Tectite_Brochure.pdf,,,,,,,,,
4,P512998,Pegler Yorkshire 131 traditional flux tub 500g,Pegler,44.23,This Yorkshire 131 Traditional Craftsman's flux is a grease-based flux designed for use with Yorkshire range solder fittings.,Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Pegler Yorkshire 131 traditional flux tub 500g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/98/NW-512998_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Solder_Ring_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Yorkshire_Craft_Flux_2016_WRAS_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_TradFlux_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/y_/ds/Pegler_SDS3_Safety_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_Yorkshire_Installation.pdf,,,,,
5,PT81719,Rothenberger 4 piece multi tool accessory kit,Rothenberger,13.57,"This four-piece accessory pack is suitable for the Rothenberger 300W Multitool. It includes both a small and a large plunge saw blade for plunge cutting in wood, plastic and soft metal and a scraper blade for the removal of dry paint, caulk and adhesives. A semi-circular saw blade is also included for making straight cuts in wood or plastic and for trimming nails.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Rothenberger 4 piece multi tool accessory kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/19/T81719_wm.jpg,N,,99299,Accessory Kit,N,Large Plunge saw blade: 95 x 32 x 10mm,Scraper blade: 52 x 79mm,Small Plunge saw blade: 78 x 20 x 10mm,,,,,,,,Black,Steel,L160xW20xH250 mm,Accessories for the Rothenberger 300W Multitool,Semi - Circular saw blade: 0 87.5mm
6,PM03566,Geberit Mapress FKM seal ring 54mm Blue,Geberit,4.72,"This Geberit Mapress 54mm blue FKM seal ring is suitable for use in a wide range of applications. Mapress Stainless Steel is an extremely effective supply system with a high molybdenum content, ensuring high corrosion resistance for robust reliability.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Geberit Mapress FKM seal ring 54mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/66/NW-M03566_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,
7,PM03562,Geberit Mapress FKM seal ring 22mm Blue,Geberit,1.34,"This Geberit Mapress 22mm blue FKM seal ring is suitable for use in a wide range of applications. Mapress Stainless Steel is an extremely effective supply system with a high molybdenum content, ensuring high corrosion resistance for robust reliability.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Geberit Mapress FKM seal ring 22mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/63/NW-M03562_M03563_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,
8,PT86860,Rothenberger Rocal Pro 2 61197R rocal pro 2 flushing pump,Rothenberger,1219.82,"Designed to work with systems of up to 40 radiators over three storeys, the Rothenberger Rocal Pro 2 power flusher has an ultra-high flow rate and instant flow reverse. Flushing out and cleaning central heating systems, this flusher helps you to achieve higher levels of efficiency while protecting from electrolytic corrosion, scale and oxidation. This makes it possible to meet the criteria that guarantees a warranty before replacing a boiler and also ensures an optimised heat output and flow rate.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Rothenberger Rocal Pro 2 61197R rocal pro 2 flushing pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/60/NW-T86860_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Rothenberger_Rocal_Pro_2_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Roclean_Restorer_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Roclean_inhibitor_SDS.pdf,,,,,,,
9,PN20122,Rothenberger Force Cup 130051 traditional force cup 4,Rothenberger,4.22,"The powerful Rothenberger 4"" force cup plunger employs water pressure for the effective removal of plumbing blockages.",Trade Essentials/Hand Tools/Hand Tool Parts and Accessories/Hand Tool Parts and Accessories.csv -> Rothenberger Force Cup 130051 traditional force cup 4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/22/N20122_wm.jpg,N,L270xW95xD95,130051,Force Cup,N,Traditional force cup (plunger) design,"4""",,Force Cup,,,,,,,,,,,
