,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Fuel Type,Mugs (250ml) per Tank,Antimicrobial Protection,Body Material,Frequency,Min Bar Pressure,Feature 14,Feature 15,Flow Rate,Watts,Projection,Tap Holes,Safety Lock,Water Options,Cartridge Type,Spout Type,Handle Type,Feature 16,Feature 17,Feature 18,Feature 19,Pack Quantity,Attachment 7,Attachment 8
0,PD69950,Ariston Europrisma Expansion Vessel,Ariston,46.75,An Ariston expansion vessel and non-return valve for optional use with Europrisma water heaters.,Water Heating and Storage/Water Heaters/Water Heaters.csv -> Ariston Europrisma Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/50/D69950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_WaterHeater_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_1/Ariston_600_Europrisma_Manual_V2.1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD70400,Heatrae Sadia Multipoint 10 water heater 10ltr 3kw,Heatrae Sadia,723.96,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 10L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia Multipoint 10 water heater 10ltr 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/00/D70400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD70627,Heatrae Sadia FBM Eco 70 electric vented water heater 70ltr,Heatrae Sadia,2011.0,"Designed to service multiple outlets, the Heatrae Sadia FBM Eco 70L is a vented cistern-type water heater suitable for first time installation and as a retrofit unit. An ideal choice for handwashing in customer or office washrooms with more than one sink or for pot filling in commercial kitchens with space to install the heater above an outlet point, the 3kW FBM Eco offers high levels of performance and easy to use controls.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia FBM Eco 70 electric vented water heater 70ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5e/co/HS_FBM25Eco_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_FBM_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_FBM_Eco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P138884,Andrews MAXXflo EVO Lite SC35/201 condensing water heater,Andrews,6592.0,"Highly efficient, the Andrews MAXXflo EVO Lite SC35/201 gas-fired condensing water heater provides a generous storage capacity of 200L for on-demand hot water throughout busy premises. ErP A-rated, this commercial water heater with integral pump helps to minimise waste and offers ease of operation via smart Siemens controls with a seven-day timer and three on/off periods each day.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Andrews MAXXflo EVO Lite SC35/201 condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2-/88/138882-88_wm.jpg,,,,,,,White,BSP,Max 65,MAXXflo EVO Lite,2 Year,"Empty: 120.3 kg, Full: 324 kg",N,XL,58 dB(A),35 kW,928,22,Yes,3.5,60,Multi Point,Electronic,Yes,A,IP20,Stainless Steel,85,17,Floor Mount,1 1/2 in,7802491,Water Heater,N,200 l,ErP A rated,Integral high efficiency pump,Siemens controls with LCD display,Integral 7-day time clock with 3 time zones per day plus temperature set back function,Factory fitted 95 deg C + 7 bar Temperature and Pressure relief valve,6.5 bar maximum pressure (vented),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD70680,Heatrae Sadia Streamline 7 under sink water heater 7ltr 3kw pack,Heatrae Sadia,239.99,"The contemporary, slimline 3kW Heatrae Sadia Streamline 7L undersink vented water heater is designed for mounting beneath a basin for convenient handwashing and cup filling in washrooms or office breakrooms. Quick and straightforward to install, the Streamline requires only a cold water supply and mains electricity and with a range of safety features and requiring minimal maintenance it's an ideal choice for spots where small amounts of water are regularly required.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia Streamline 7 under sink water heater 7ltr 3kw pack,,Water heater;Wall mounting bracket;Fixing plugs ;screws;2x plumbing connections;Thermostat knob;Flow restrictor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/20/D70520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Streamline_Undersink_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Streamline_Taps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P178574,Heatrae Sadia Multipoint Eco 30V vertical water heater 30ltr 3kW pack,Heatrae Sadia,1038.99,"Designed for light commercial use, the safe, practical and hardwearing 30L capacity Heatrae Sadia Multipoint Eco 30V vertical unvented water heater is ideal for restaurant kitchens, office washrooms or canteens, providing on-demand hot water for handwashing and pot filling. Incorporating smart function controllability to recognise and manage demand levels throughout the day, the 3kW Multipoint Eco helps to make cost-effective energy savings, even when using off peak tariffs.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia Multipoint Eco 30V vertical water heater 30ltr 3kW pack,,Water heater;Wall mounting brackets;Literature pack;Expansion vessel (including bracket);Tundish;Pressure reducing valve (PRV);Expansion (pressure) relief valve;Check valve;Compression nuts,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/at/er/MultiEco_WaterHeater_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multi_Eco_Ver_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multi_Eco_Ver_QuickFit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Eco_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD49997,"Ariston Andris Lux 15 oversink electric water heater 3kw 30ltr plus kits a, b and c pack",Ariston,355.0,"Built to last, the Ariston Andris Lux 30L electric storage water heater is made up of a titanium-enamel tank with eco-friendly insulation. Resistant to pressure and corrosion, thanks to smart shell technology, this 3kW storage water heater is extremely robust, and it looks great in-situ too. Carefully built to meet the world's strictest safety standard, the Andris Lux is equipped with multiple safety devices working in harmony to ensure safe comfort for all users.","Water Heating and Storage/Water Heaters/Water Heaters.csv -> Ariston Andris Lux 15 oversink electric water heater 3kw 30ltr plus kits a, b and c pack",,Unvented water heater (with factory-fitted T&P model 30L);Wall bracket;Pressure relief valve set at 6 bar;2x dielectric junctions;Check valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/97/NW-D49997_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/AristonHT_WHeater_UcylinderCatalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_Andris_Lux_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Ariston_Andris_Lux_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD70461,Heatrae Sadia Multipoint 15 water heater 15ltr 3kw pack,Heatrae Sadia,665.26,"Built for longevity, the ErP A-rated Heatrae Sadia Multipoint 15L unvented water heater includes a corrosion-resistant copper inner vessel, long life element and an outer casing of tough thermoplastic and painted steel. Simply connected to the cold water mains, the practical and user-friendly 3kW Multipoint is simple to install and requires minimal maintenance, providing reliable and safe handwash hot water without effort.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia Multipoint 15 water heater 15ltr 3kw pack,,Water heater;Fixing bracket;Screw pack;Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/02/D70402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Multipoint_10_15_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Multipoint_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Multipoint_10_15_Pack_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD70625,Heatrae Sadia FBM Eco 25 electric vented water heater 25ltr,Heatrae Sadia,1364.86,"Designed to service multiple outlets, the Heatrae Sadia FBM Eco 25L is a vented cistern-type water heater suitable for first time installation and as a retrofit unit. An ideal choice for handwashing in customer or office washrooms with more than one sink or for pot filling in commercial kitchens with space to install the heater above an outlet point, the 3kW FBM Eco offers high levels of performance and easy to use controls.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Heatrae Sadia FBM Eco 25 electric vented water heater 25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5e/co/HS_FBM25Eco_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_FBM_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/HS_VentedPoUHotWater_Brochure_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_FBM_Eco_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD69521,Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,Zip,1220.18,"The technologically advanced Zip HydroBoil Plus 3L instant water heater is designed to minimise energy consumption without compromising on convenience. Its integral state-of-the-art technology maintains boiling water to within 0.5°C of the user-set temperature, while energy-saving Power-Pulse technology, inactivity and low-light sleep modes and timer settings help to ensure best-ever efficiency. Additionally, the cool-touch  two-way safety tap enhances insulation of the boiler. Located to the right of the tap, a safety lock makes restricting the use of boiling water simple, ensuring safety for curious fingers.",Water Heating and Storage/Water Heaters/Water Heaters.csv -> Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_5/23/D69521_523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Zip_Autoboil_Hydroboil_Plus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_A5_AW_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
