,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Weight,Connection Type 1,Connection Type 2,Diameter,Length (M),Pack Quantity,Attachment 4,Attachment 5
0,P517514,JG Speedfit White PEX barrier pipe barrier pipe length 22mm x 3mtr,JG Speedfit,9.26,"JG Speedfit 22mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 3M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit White PEX barrier pipe barrier pipe length 22mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/17/NW-517514_517517_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PP82448,Gps Pe Pipe Systems BLU 80 51558307 25mmx25M Coil Mdpe Blu Sdr11,Gps Pe Pipe Systems,29.76,"This GPS PE Pipe Systems Excel SDR11 25M light blue pipe coil with 25mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems BLU 80 51558307 25mmx25M Coil Mdpe Blu Sdr11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,P517511,JG Speedfit White PEX barrier pipe barrier pipe length 15mm x 3mtr,JG Speedfit,4.98,"JG Speedfit 15mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 3M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit White PEX barrier pipe barrier pipe length 15mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/12/NW-517511_517512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
3,PP82459,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 100mtr Blue,Gps Pe Pipe Systems,291.24,"This GPS PE Pipe Systems Excel SDR11 100M light blue pipe coil with 32mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 100mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,P517506,JG Speedfit barrier pipe coil 22mm x 50mtr,JG Speedfit,190.63,"This JG Speedfit 22mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 50M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 22mm x 50mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
5,P517504,JG Speedfit barrier pipe coil 15mm x 100mtr,JG Speedfit,182.16,"Made up of five layers, this JG Speedfit 15mm barrier pipe has a central blue-coloured oxygen barrier, keeping air from entering the system, ensuring improved corrosion resistance. Supplied in a 100M length, JG Speedfit PE-X pipe is designed for low thermal conductivity meaning it won't become hot to the touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 15mm x 100mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
6,PP82453,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 50mtr Blue,Gps Pe Pipe Systems,86.38,"This GPS PE Pipe Systems Excel SDR11 50M light blue pipe coil with 25mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 25mm x 50mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,P517502,JG Speedfit barrier pipe coil 15mm x 25mtr,JG Speedfit,48.61,"This JG Speedfit 15mm barrier pipe incorporates five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, ensuring excellent levels of corrosion resistance. Supplied in a 25M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe coil 15mm x 25mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/06/NW-517499_517506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,
8,P517512,JG Speedfit barrier pipe length 15mm x 6mtr,JG Speedfit,11.66,"JG Speedfit 15mm barrier pipe is ideal for use in those short runs where a harder pipe material provides an advantage. Incorporating five layers, with a blue-coloured oxygen barrier in the centre to keep air from entering the system, this pipe offers excellent levels of corrosion resistance. Supplied in a 6M length, JG Speedfit pipe promises low thermal conductivity, making it safe to touch when carrying hot water.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> JG Speedfit barrier pipe length 15mm x 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/12/NW-517511_517512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_SystmConnections_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JG_Speedfit_Plumbing_Heating_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
9,PP82449,Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 25mtr Blue,Gps Pe Pipe Systems,72.81,"This GPS PE Pipe Systems Excel SDR11 25M light blue pipe coil with 32mm welded connections is made of medium density polyethylene (MDPE), which offers a higher long term stress crack resistance than the usual HDPE PE80.","Pipe, Valves and Fittings/Plastic Pipe/PE Pipe/PE Pipe.csv -> Gps Pe Pipe Systems Excel SDR11 MDPE pipe coil SDR11 32mm x 25mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/66/NW-P82447_P82466_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
