,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PD69950,Ariston Europrisma Expansion Vessel,Ariston,46.75,An Ariston expansion vessel and non-return valve for optional use with Europrisma water heaters.,Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Ariston Europrisma Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/50/D69950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_WaterHeater_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_1/Ariston_600_Europrisma_Manual_V2.1.pdf,,,,,,,,,,,
1,PD70291,Heatrae Sadia Multipoint multipoint kit pack (U2),Heatrae Sadia,239.02,"The Heatrae Sadia Multipoint expansion vessel and check valve is a useful safety device for 10 and 15L unvented water heaters, preventing backflow of hot water and cross-contamination between hot and cold water.",Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Heatrae Sadia Multipoint multipoint kit pack (U2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/91/D70291_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,
2,PD69951,Ariston Europrisma Pressure Reducing Valve,Ariston,43.64,This Ariston 3.5 bar pressure reducing valve is for optional use with Europrisma water heaters.,Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Ariston Europrisma Pressure Reducing Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/51/D69951_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_WaterHeater_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_1/Ariston_600_Europrisma_Manual_V2.1.pdf,,,,,,,,,,,
3,PD69952,Ariston Europrisma Discharge Tundish,Ariston,11.28,This Ariston brand tundish is for optional use with Europrisma water heaters.,Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Ariston Europrisma Discharge Tundish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/52/D69952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_1/Ariston_600_Europrisma_Manual_V2.1.pdf,,,,,,,,,,,,
4,PD68099,Santon Aquaheat ALK06 pressure and temperature relief valve,Santon,134.41,"This Santon Aquaheat pressure and temperature relief valve is suitable for on-site fitting to heaters. Recommended for an additional level of safety, this relief valve is connected to the outlet of the heater.",Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Santon Aquaheat ALK06 pressure and temperature relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/99/D68099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquaheat_Brochure.pdf,,,,,,,,,,,,
5,PD68071,Santon Aquarius TXH01 vented hot basin tap,Santon,148.75,"This Santon Aquarius vented basin hot tap is ideal for use with the Aquarius range of water heaters. It is manufactured from tough brass and plated in chrome for a clean, modern finish.",Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Santon Aquarius TXH01 vented hot basin tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/D68071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aquarius_Brochure.pdf,,,,,,,,,,,,
6,PD70290,Heatrae Sadia Multipoint pack 'u1' multipoint/hotflo kit,Heatrae Sadia,124.71,The Heatrae Sadia pack U1 combined pressure reducing valve and strainer is a useful safety device for unvented water heaters.,Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Heatrae Sadia Multipoint pack 'u1' multipoint/hotflo kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/90/D70290_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Multipoint_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Unvented_PoU_Hot_Water_Brochure.pdf,,,,,,,,,,,
7,P419881,Reliance Water Controls 520-388-1106 multibloc 28mm 3.5 / 6bar,Reliance Water Controls,210.79,"Ideal for large installations requiring a high flow rate, the Reliance Water Controls 28mm 3.5/6 bar multibloc inlet control valve is a convenient one-piece fitting for reduced maintenance. Conveniently blending a pressure reducing valve, single check valve and pressure relief valve into a single unit, the valve minimises the risk of leakage. With two dedicated connections for an expansion vessel and balanced water take-off, this RWC valve is compatible with any unvented water system type, satisfying even very high flow demand.",Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Reliance Water Controls 520-388-1106 multibloc 28mm 3.5 / 6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/81/419881_wm.jpg,,,N,90,520-388-1106,Multibloc,N,One-piece Multibloc design minimises risk of leaks,Combined pressure relief and pressure reducing valve,With adjustable dial,Includes single check valve and integral strainer,Suitable for large domestic and commercial installations,Check valve provides backflow prevention up to category 2
8,P419868,"Advanced Water 518-632-0902 expansion vessel flowjet valve 3/4""",Advanced Water,145.32,"The Advanced Water Flowjet 3/4"" flow through valve is designed for use with Reflex Anti-Legionella vessels. It is compatible with drinking water.","Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Advanced Water 518-632-0902 expansion vessel flowjet valve 3/4""",,Anti Legionella Valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/68/419868_wm.jpg,,,N,50,518-632-0902,Potable,N,For Reflex Anti-Legionella vessels only,Allows for isolation during maintenance,Maximum working pressure of 10 bar,,,
9,PD68041,Santon Aqualine ALK02 expansion kit,Santon,236.55,"This Santon Aqualine expansion kit is for use in situations where expanded water cannot be accommodated in pipework, where mains pressure is guaranteed not to exceed 4.1 bar. When fully charged, the expansion vessel will absorb all expanded water produced by a heater. The non-return valve, meanwhile, stops back-flow of hot water, preventing cross-contamination.",Water Heating and Storage/Water Heaters/Kits and Accessories/Kits and Accessories.csv -> Santon Aqualine ALK02 expansion kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/D68041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Aqualine_Aqualine-Brochure.pdf,,,,,,,,,,,,
