,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Range,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Sector,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Depth (mm),Dimensions (L x W x D),Finish,Feature 8,Feature 9,Feature 10
0,PC90167,Ideal Standard Contour 21 straight grab rail 450mm Stainless Steel,Ideal Standard,83.54,"The Ideal Standard Contour 21 45cm aluminium straight grab rail is ideal for installation in hot, leisure and healthcare facilities, providing additional security and peace of mind for disabled or elderly bathroom users.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 straight grab rail 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/67/NW-C90167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Contour21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6452_Grab_Rail_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PC90169,Ideal Standard Contour 21 straight grab rail 600mm Stainless Steel,Ideal Standard,62.66,"The Ideal Standard Contour 21 60cm gloss aluminium straight grab rail is ideal for installation in hot, leisure and healthcare facilities, providing additional security and peace of mind for disabled or elderly bathroom users.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Contour 21 straight grab rail 600mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/69/NW-C90169_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Contour21_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6454_Grab_Rail_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,PD02628,Saracen steel hinged rail 850mm White,Saracen,138.29,The range of fold-up support rails provide confidence and stability when getting in or out of the bath and shower. They are available in a variety of colours.,Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel hinged rail 850mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/28/D02628_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02628_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02628-D02630_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02628_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02628_D02630_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
3,PD02581,Nabis Elixir grab'n'grip rail 380mm,Nabis,28.54,"Nabis Elixir grab and grip rail provides additional comfort and support that prevents wet hands slipping on the rail. Bathroom is special, to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space. Nabis offers a complete range of desire bathroom products to enable to design complete bathroom to the style and specification.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Nabis Elixir grab'n'grip rail 380mm,,GrabGrip rail,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/81/D02581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D02581_Nabis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02581_Nabis_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PD02617,Saracen ABS grab rail 450mm Blue,Saracen,9.16,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen ABS grab rail 450mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/17/D02617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02615_D02619_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02615-D02619_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PD02618,Saracen ABS grab rail 600mm White,Saracen,10.27,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen ABS grab rail 600mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/18/D02618_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02615_D02619_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02615-D02619_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PD02621,Saracen steel grab rail 300mm Chrome,Saracen,24.06,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen steel grab rail 300mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/21/D02621_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_Grab_Rail_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02621_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02620_D02627_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D02621_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PD02615,Saracen ABS grab rail 300mm White,Saracen,7.67,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen ABS grab rail 300mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/16/D02616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02615_D02619_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02615-D02619_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
8,PD02619,Saracen ABS grab rail 600mm Blue,Saracen,10.72,"The Saracen range of Grab Rails provide confidence and stability when getting in or out of the bath or shower, and are availble in stainless steel or ABS, as well as in a variety of sizes.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Saracen ABS grab rail 600mm Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/19/D02619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_D02615_D02619_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D02615-D02619_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PC98055,Ideal Standard Sensorflow 21 right hand Doc-M wall hung rails Chrome,Ideal Standard,2960.04,"This Ideal Standard Doc M Sensorflow 21 wall hung pack includes a range of accessible bathroom fittings including a toilet, wash basin, grab rails and back support. Specifically designed to meet recommendations for a tap to be positioned on the side of the basin closest to the seated user, the basin has a left hand or right hand single taphole basin choice while taps have with copper tails for preferred fitting. The TMV3 approved basin mixer helps to prevent scalding and reduce the risk of legionella with an integral thermostat.",Commercial Plumbing/Grab Bar and Rails/Grab Bar and Rails.csv -> Ideal Standard Sensorflow 21 right hand Doc-M wall hung rails Chrome,,"Rimless wall mounted pan 75cm projection;Support bracket, for wall hung raised height pans;4 or 4.5L conceal cist, delay fill ;panel sensor;Constructed flushpipe extension for 21 toilet pans;Seat no cover, top fix hinges ;retaining buffers;37cm handrinse",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/55/NW-C98055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6987AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
