,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Pack Quantity,Range,Hazardous,Pack Type,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Volume,Physical State / Form,Feature 9,Feature 10,Feature 11,Feature 12
0,P608072,Adey MC3+ Mc3+ Central Heatng Cleanr 500Ml,Adey,11.99,"Supplied in a 500ml bottle, Adey MC3+ cleaner is formulated to keep heating systems free of potentially damaging debris. Working fast, once administered MC3+ begins breaking down magnetite and other sludge found in central heating systems in as little as an hour.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC3+ Mc3+ Central Heatng Cleanr 500Ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/72/NW-608072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC3+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC3+ MSDS_V2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P609940,Center Chemical Cleaner heating system cleaner 500ml,Center,7.49,"A highly concentrated chemical cleaner, Center heating system cleaner is formulated to help remove central heating system debris without negatively affecting the metals commonly found in central heating systems. This 500ml supply will be enough to clean a typical 100L system, the equivalent of 10 radiators.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center Chemical Cleaner heating system cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/40/609940_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/50/492550.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/609940 Safety_Data_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_609940_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609940_Center_ MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Center_609940_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_609940_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,P604001,Fernox F3 F3 C/Heating Cleaner 500ml,Fernox,15.49,"Universal and pH neutral, Fernox F3 cleaner is an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Supplied in a 500ml bottle, F3 can be used during power flushing to accelerate the cleaning process. A non-hazardous product, this cleaner is safe for use with all metals used in normal heating systems, including aluminium.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox F3 F3 C/Heating Cleaner 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/01/NW-604001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56600_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/10/Alpha_SDS10.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56600-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_CentralHeatingCleanerF3_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,P608119,Sentinel X800 X800 Jetflo Ultimate Clean 1L,Sentinel,16.48,"Sentinel X800 cleaner works fast, removing corrosion deposits and scale in just an hour. This effective cleaner can help to restore the efficiency of older heating systems.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X800 X800 Jetflo Ultimate Clean 1L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/19/NW-608119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X800Jetflo_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X800_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_X800_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X800_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X800_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,P609945,Center heating system cleaner and inhibitor 500ml (1),Center,10.5,"A handy all-in-one formulation, this Center 500ml cleaner and inhibitor pack is highly concentrated for the effective removal of harmful debris from a central heating system. Eco-friendly, to minimise environmental damage, this reliable cleaner is formulated for safe use with all metals commonly used inside a boiler.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center heating system cleaner and inhibitor 500ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/pk/609945 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/50/492550.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609940_Center_ MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/609939_Center_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/49/492549.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ci/as/609939_Center_NSF_CIAS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
5,P600698,Center filter and chemical pack,Center,53.0,"Featuring a 500ml inhibitor and 500ml of cleaner, this Center CB filter and chemical pack makes the dosing of heating systems, easier, faster and cleaner.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Center filter and chemical pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/pk/600698 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Wolseley_Plumbing-Heating_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P608106,Sentinel X400 X400 Sludge Remover 1Ltr,Sentinel,34.34,"Formulated for the cleaning of older central heating systems, Sentinel X400 cleaner is an acid-free treatment that helps to restore circulation in radiators and pipes. Eliminating cold spots and removing built-up magnetite sludge, this cleaner helps to restore radiators to their best efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Sentinel X400 X400 Sludge Remover 1Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/06/NW-608106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Sentinel_X400_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X400_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Sentinel_X400_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_X400_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sentinel_X400_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sentinel_X400Liquid_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,P608058,Adey MC1+ central heating protector 5ltr,Adey,164.58,"Wave goodbye to the damaging effects of magnetite and other unwelcome deposits with Adey MC1+ protector, supplied in a 5L can. Formulated to prevent wear and tear and the debris that gathers in central heating systems, MC1+ helps to extend your system's lifetime and keep your boiler working at maximum efficiency.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Adey MC1+ central heating protector 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/58/NW-608058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC1+_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/v2/Adey_MC1+MSDS_V2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P503900,Fernox HP-EG Heat Transfer Fluid 20L (1),Fernox,185.61,"Formulated using ethylene glycol, this Fernox HP-EG heat transfer fluid is for use in air and ground source heat pumps. More efficient than traditional glycol-based products, this concentrated fluid has a lower viscosity meaning it requires less energy to pump it around a system. Offering high levels of performance, HP-EG protects against both corrosion and limescale while also supplying frost protection in temperatures between -10 and -33°C.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Fernox HP-EG Heat Transfer Fluid 20L (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/00/503900_wm.jpg,,,,,,,1,HP-EG,N,Drum,62595,Heat Transfer Fluid,N,Domestic,20L supply,Protects against corrosion and scale,Helps to improve system longevity,Better efficiency compared to propylene glycol,Lower viscosity formula requires less pump energy,Maintains optimum system pH for mixed-metal system,Cost effective solution where thermal efficiency is required,Compatible with all materials used in heat pump systems,,,,,,,
9,P292266,Scalemaster CondenseMaster condensate neutraliser 22mm,Scalemaster,37.9,"Simple yet effective, the Scalemaster CondenseMaster 22mm condensate neutraliser neutralises the acidic flue gas condensate that is discharged by high efficiency domestic condensing boilers. Providing environmental protection from possibly harmful acidic waste, the CondenseMaster is simply fitted to the boiler drain pipe, ensuring neutralisation before waste goes down the drain.",Heating/Water Treatment Products/Central Heating Cleaner/Central Heating Cleaner.csv -> Scalemaster CondenseMaster condensate neutraliser 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/66/NW-292266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Scalemaster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Scalemaster_CondenseMaster_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
