,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Boiler Section,Boiler Range,Feature 4,Setting Range,Dimensions mm (H x W x D),Application,Range,Feature 5,Feature 6,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Installation Type,Number of Channels,Pack Quantity,Voltage (V),Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Attachment 6,Operating Temperature Range (C),Connection,Thread Standard,Max Set Pressure,Connection Gender,Material,Thread Size,Maximum Operating Temperature,Feature 11,Feature 12,Feature 13,Feature 14,Connection Size,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Weight,Attachment 7,Attachment 8,Connection Type,Working Pressure,Number of Ports,Operator Type,Seal Material,Size,Feature 15,Feature 16,Colour,Standards,Operating Temperature,Attachment Type,Pipe Diameter,Pressure Rating,Diameter,Range For Use With,Material Type,Min Outlet Pressure,Max Outlet Pressure
0,P340022,Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,Center,47.01,"This Center CB RF wireless 7-day programmable room thermostat is designed for efficient heating control. While adaptive control technology maintains home temperatures by matching the heating system output to demand, optimum start/stop learns the system's warm-up/cool-down response times, calculating the best possible time to switch on and off. These features not only improve heating comfort in the home but improve energy use for potential cost savings.",Heating/Central Heating Controls/Central Heating Controls.csv -> Center Heating Controls EHE0200322 RF wireless 7-day programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/_a/340022_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340022_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_340022_340023_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340022_Startguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/340022_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P310820,Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,Honeywell Home,80.99,"This V4043H motorised two port zone valve with 22mm compression connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/310820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P310709,Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,Honeywell Home,71.76,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P310701,Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,Honeywell Home,120.0,"Suitable for domestic or light commercial use, the Lyric T4R modern wireless 7 day programmable room thermostat offers automatic time and temperature control and compatibility with 24 - 230V on/off appliances such as gas boilers, combi boilers and zone valves. This thermostat can be used as a temperature sensing device in an S or Y Plan system and can control combination boiler installations or additional zones in an S Plan Plus system.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/01/310701_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P310824,Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,Honeywell Home,106.75,"This V4073A motorised diverter valve with 22mm compression connections controls the flow of water in domestic central heating systems, where both radiator and hot water cylinder circuits are pumped. Suitable for small-to-medium sized installations, this mid-position diverter valve should be used in conjunction with a room thermostat and cylinder thermostat for full temperature control of a conventional, fully pumped central heating installation. This type of control system is known as Sundial Y Plan and components can be connected using the Sundial Plan Wiring Centre, including dedicated terminations with no need for a wiring diagram.",Heating/Central Heating Controls/Central Heating Controls.csv -> Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/24/310824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P353111,Eph Controls CP4 Cp4 Room Thermostat Rf Programable,Eph Controls,86.66,"Digital Rf Programmable Room Thermostat And Receiver Suitable For Controlling 1 Heating Zone. It Features Opentherm®, Optimum Start, Tpi And On/Off Control Modes. Boiler Plus Compliant.",Heating/Central Heating Controls/Central Heating Controls.csv -> Eph Controls CP4 Cp4 Room Thermostat Rf Programable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/11/353111_wm.jpg,,,,,N,CP4,Room Thermostat,N,Wireless,Opentherm,NTC10K Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P340080,Center CB 3 port motorised valve 22mm,Center CB,55.25,Center motorised valve controls the flow of water in a domestic central heating system.,Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB 3 port motorised valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/NW-340080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340080_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P340009,Center CB EHE0200364 wireless non-programmable room thermostat,Center CB,49.75,"Suitable for many different heating installations, this modern Center CB thermostat is easy to use and highly flexible. The room unit communicates with the relay box on an 868MHz radio frequency (RF), controlling one heating system component such as a boiler, pump or zone valve. This ensures it will not communicate with other RF products connected to different frequencies or communication protocols.",Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB EHE0200364 wireless non-programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/09/NW-340009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340009_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/CenterCB_340009_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340009_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340009_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P340023,Center CB EHE0200123 wired 7-day programmable room thermostat,Center CB,32.5,"This Center CB RF wired 7-day programmable room thermostat offers reliable technology designed for efficient heating. While adaptive control technology maintains home temperature by matching the heating system output to demand, optimum start/stop learns the system's warm-up/cool-down response times, calculating the best possible time to switch on and off. These features not only improve heating comfort in the home but improve energy use for potential cost savings.",Heating/Central Heating Controls/Central Heating Controls.csv -> Center CB EHE0200123 wired 7-day programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/23/NW-340023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/340023_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_340022_340023_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/340022_Startguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/340023_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P336334,Hive Active Heating Thermostat V3,Hive,128.32,"Intuitive and easy to use, this Hive thermostat can be installed with an existing home heating system. Using Hive's Active Heating System and the iOS and Android compatible Hive app, users have complete control of their comfort via smartphone, tablet or even computer. Plugging into a broadband router, the Hive hub allows remote control of a thermostat while the receiver provides direct communication between the stat and boiler.",Heating/Central Heating Controls/Central Heating Controls.csv -> Hive Active Heating Thermostat V3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/34/336334_wm.jpg,,,,,N,851814,Thermostat,N,Controllable via smartphone or device,"Compatible with Alexa, Google Assistant and Siri",Controls boilers with a separate hot water tank,Control Panel,Compatible with all boilers,Professional installation required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
