,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Range,Attachment 1,Connection Size,Connection Type,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range For Use With,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,For Use With,Weight,Dimensions mm (H x W x D),Pack Quantity,Colour,Flow Rate,Warranty,Output,Depth (mm)
0,P489926,Worcester Bosch 87161064420 Return Manifold Sub Assembly,Worcester Bosch,144.0,"A Worcester Bosch return unit for the pump of Greenstar boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161064420 Return Manifold Sub Assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/26/489926_wm.jpg,N,"27 CDi, 30 CDi Classic System LPG, 37 CDi, 38 CDi, 25 CDi LPG, 29 CDi Classic, 30 Si, 42 CDi LPG, 430/i, 532/i LPG, 24 i Junior, 24 i Junior LPG, 24 i Junior Mk5, 27 CDi LPG, 35 CDi LPG, 38 CDi Classic, 40 CDi, 40 CDi LPG, 430/i LPG, 537/i, 542/i, 12 i L",Hydraulics,Greenstar,H08855,"29 CDi Classic,27 CDi LPG,25 CDi LPG,30 Si LPG,29 CDi,25 Si LPG,24 i Junior LPG,29 CDi LPG,24 i Junior,34 C,34 CDi Classic,24 i Junior Mk5 LPG,30 CDi LPG,29 CDi Classic LPG,24 i Junior Mk5,18 i LPG,30 CDi System LPG,24 i,30 Si,12 i,28 i Junior LPG,30 CDi",87161064420,Return Unit,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P796503,Worcester 8716118443 Boiler Fan Replacement,Worcester,169.0,"This replacement fan is a genuine Worcester Bosch spare for use in Greenstar, Greenstar ErP and CDi Series boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester 8716118443 Boiler Fan Replacement,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/03/796503_wm.jpg,N,"29 CDi LPG, 30 CDi, 30 CDi Classic Regular LPG, 30 CDi Conventional LPG, 30 Si, 34 CDi Classic LPG, 35 CDi Classic System LPG, 532/i LPG, 537/i LPG, 542/i LPG, 12Ri LPG, 15Ri, 15Ri ErP+ NG, 18Ri, 24Ri ErP+ LPG, 9Ri ErP+ NG, FS 42 LPG, 15 Ri LPG, 24 Ri, 2",Fan Combustion Chamber,"Greenstar, Greenstar ErP, CDi Series",J42493,"29 CDi Classic,27 CDi LPG,30 CDi System,27 CDi,25 CDi LPG,15 i LPG,25 Si,24 Ri,12 i LPG,30 CDi Classic System,24 i Junior,28 i Junior Mk5,15 Ri LPG,30 CDi LPG,24 i Junior Mk5 LPG,12 Ri LPG,12 i,24 Ri LPG,30 CDi Conventional,12 Ri,FS 42 LPG",8716118443,Fan,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P489921,Worcester Bosch 87161055450 Expansion Vessel,Worcester Bosch,70.26,Worcester Bosch Expansion Vessel 87161055450 is suitable for Greenstar & i Junior Series boilers. Order from Wolseley today. Free delivery for trade accounts.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161055450 Expansion Vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/21/489921_wm.jpg,N,"15 i, 24 i Junior LPG, 24 i Junior Mk5, 28 i Junior, 12 i LPG, 18 i LPG, 24 i Junior Mk5 LPG, 24 i LPG, 28 i Junior, 28 i Junior Mk5 LPG, 24 i, 25 Si LPG, 30 Si LPG, 24 i Junior LPG, 25 Si, 28 i Junior Mk5, 30 Si, 12 i, 18 i, 28 i Junior LPG, 24 i Junior",Expansion Vessel,"Greenstar, i Junior Series",H05206,"28 i Junior Mk5 LPG,15 i LPG,18 i,30 Si LP,25 Si,25 Si LPG,28 i Junior,24 i Junior LPG,12 i LPG,24 i Junior,28 i Junior Mk5,24 i Junior Mk5 LPG,24 i Junior Mk5,15 i,18 i LPG,24 i,30 Si,12 i,28 i Junior LPG,24 i LPG",87161055450,Expansion Vessel,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P489949,Worcester Greenstar 28i 87161160670 Junior Fan,Worcester,168.01,"A replacement fan assembly for Worcester Bosch Greenstar boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Greenstar 28i 87161160670 Junior Fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/49/489949_wm.jpg,N,"24 i Junior Mk5, 28 i Junior Mk5 LPG, 28 i Junior Mk5, 24 i Junior Mk5 LPG",Fan Combustion Chamber,Greenstar,H81416,"28 i Junior Mk5,28 i Junior Mk5 LPG,24 i Junior Mk5 LPG,24 i Junior Mk5",87161160670,Fan Assembly,N,Greenstar 28i,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P403302,Worcester 8716121817 Electrode Set,Worcester,42.99,Need Worcester Bosch boiler electrodes? Order the 8716121817 variant set of Worcester ignition electrodes from Wolseley today. Free delivery for trade accounts.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester 8716121817 Electrode Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/403302_wm.jpg,N,RD542I Nat GasRD 532I Nat GasRD5371 Nat GasRD 532 Nat GasRD 430I Nat GasGreenstar 35 HE PlusRD 428430I GreenstarGreenstar ErP Highflow 440 CDiHighflow 440 CDi LPGHighflow 550 CDiHighflow 550 CDi LPGGreenstar 25 CDi25HE27CDi25 CDi LPG27 CDi LPG28 HE Syste,Gas Assembly,GreenstarGreenstar ErP HighflowGreenstar HE PlusGreenstar CDi,,,8716121817,Electrode Set,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P489954,Worcester Bosch 87161163810 Electrode,Worcester Bosch,28.99,"If you need the 87161163810 variant Worcester Bosch electrodes for your boiler, order today from Wolseley and get free delivery for trade account holders.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161163810 Electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/54/489954_wm.jpg,N,"15 Ri LPG, 24 i Junior Mk5, 24 i Junior Mk5 LPG, 12Ri ErP+ NG, 15Ri LPG, 18i System, 21i System LPG, 24i System, 30i Combi, 12 Ri LPG, 21Ri ErP+ NG, 24i System LPG, 24Ri ErP+ NG, 9i System LPG, 12Ri LPG, 15Ri, 18Ri, 25i Combi LPG, 12Ri ErP+ LPG, 15i Syst",Gas Assembly,"Greenstar, Greenstar ErP",H95569,"28 i Junior Mk5 LPG,18i System,24i System,21i System LPG,24 Ri,25i Combi LPG,12i Sy,28 i Junior Mk5,15 Ri LPG,24 i Junior Mk5 LPG,15 Ri,12 Ri LPG,24 i Junior Mk5,18Ri LPG,18 Ri,30i Combi,24 Ri LPG,15i System LPG",87161163810,Electrode,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P489924,Worcester Bosch 87161064310 Pressure Relief Valve (PRV),Worcester Bosch,20.99,Need a Worcester PRV variant 87161064310 for your boiler? Order this Worcester Bosch pressure relief valve from Wolseley. Free delivery for trade accounts.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161064310 Pressure Relief Valve (PRV),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/24/489924_wm.jpg,N,"24 i Junior, 25 CDi, 38 CDi Classic LPG, 12 i LPG, 24 i LPG, 25 CDi LPG, 25 Si, 29 CDi Classic LPG, 30 CDi Classic System, 30 CDi LPG, 30 CDi System, 30 CDi System LPG, 30 Si, 35 CDi LPG, 38 CDi Classic, 25i Combi LPG, 9i System, 18 i LPG, 25 Si LPG, 30",Gas Assembly,"Greenstar, Greenstar ErP",H09750,"27 CDi LPG,30 CDi System,25 CDi LPG,27 CDi,15 i LPG,30 Si LPG,25 Si LPG,25 Si,35 CDi,35 CDi Classic System,28 i Junior,30 CDi Classic System,12 i LPG,28 i Junior Mk5,30 CDi LPG,29 CDi Classic LPG,30 CDi System LPG,18 i LPG,34 CDi LPG,30 Si,12 i,24 i LPG",87161064310,Pressure Relief Valve,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P489928,Worcester Bosch 87161066850 Plate Heat Exchanger (16 Plate),Worcester Bosch,180.04,"This Worcester Bosch heat exchanger is a genuine replacement part for Greenstar, Greenstar 8000 Life, Greenstar 8000 Style and Greenstar ErP appliances.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161066850 Plate Heat Exchanger (16 Plate),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/28/489928_wm.jpg,N,"27 CDi, 29 CDi LPG, 30 C LPG, 35 C LPG, 45 C NG, 30i Combi LPG, 28 i Junior, 29 CDi Classic, 30 Si LPG, 35 CB LPG, 35 CB NG, 45 CB LPG, 25 CDi LPG, 30 CDi, 30 CDi LPG, 30 C NG, 40 CB LPG, 50 C LPG, 40 C LPG, 45 C LPG, 50 CB LPG, 50 CB NG, 25 CDi, 30 CB L",Heat Exchanger,"Greenstar, Greenstar 8000 Life, Greenstar 8000 Style, Greenstar ErP",H02531,"29 CDi Classic,28 i Junior Mk5 LPG,27 CDi LPG,25 CDi LPG,27 CDi,30 Si LPG,25 CDi,29 CDi,28 i Junior,29 CDi LPG,28 i Junior Mk5,30 CDi LPG,29 CDi Classic LPG,30 Si,30i Combi,28 i Junior LPG,30i Combi LPG,30 CDi",87161066850,Heat Exchanger,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P489929,Worcester Bosch 87161066860 Heat Exchanger 12 Plate,Worcester Bosch,114.25,Need the 87161066860 variant 12 plate Worcester heat exchanger for your boiler? Order from Wolseley today and get free delivery for trade accounts.,Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Bosch 87161066860 Heat Exchanger 12 Plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/29/489929_wm.jpg,N,"25 Si LPG, 18 i, 24 i Junior, 25 Si, 15 i, 24 i Junior Mk5, 24 i LPG, 18 i LPG, 25i Combi LPG, 12 i, 12 i LPG, 24 i, 24 i Junior LPG, 24 i Junior Mk5 LPG, 25i Combi, 15 i LPG",Heat Exchanger,"Greenstar, Greenstar ErP",H02530,"15 i LPG,18 i,25i Combi,25 Si,25 Si LPG,24 i Junior LPG,12 i LPG,24 i Junior,25i Combi LPG,24 i Junior Mk5 LPG,24 i Junior Mk5,15 i,18 i LPG,24 i,12 i,24 i LPG",87161066860,Heat Exchanger,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P793151,Worcester Greenstar 87161113250 Gas Valve,Worcester,192.24,"A replacement gas valve for Worcester Bosch Greenstar and Greenstar ErP appliances.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Worcester Boiler Parts/Worcester Boiler Parts.csv -> Worcester Greenstar 87161113250 Gas Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/51/793151_wm.jpg,N,"15 Ri LPG, 12Ri, 15Ri, 21Ri ErP+ LPG, 18 Ri, 24 Ri LPG, 28 i Junior Mk5 LPG, 18Ri, 18Ri ErP+ LPG, 21Ri ErP+ NG, 24Ri ErP+ LPG, 9Ri ErP+ NG, 12 Ri LPG, 18 Ri LPG, 28 i Junior, 28 i Junior LPG, 12Ri ErP+ NG, 24Ri LPG, 9Ri ErP+ LPG, 24 i Junior, 24 i Junior",Gas Assembly,"Greenstar, Greenstar ErP",H44427,"28 i Junior Mk5 LPG,28 i Junior,24 Ri,24 i Junior LPG,24 i Junior,28 i Junior Mk5,15 Ri LPG,24 i Junior Mk5 LPG,15 Ri,24 i Junior Mk5,12 Ri LPG,18Ri LPG,18 Ri,24 Ri LPG,28 i Junior LPG,12 Ri",87161113250,Gas Valve,N,Greenstar,,,,,,,,,,,,,,,,,,,,,,,,,,
