,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Range,Warranty,Hazardous,Depth (mm),Cistern Size,Soft Close Seat,Design Type,Material,Shape,Fittings Included,Supplier Product Code,Toilet Pack Contents,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 2,Attachment 3,Type,Finish,Anti Slip,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Grips/Handles,Attachment 4,Attachment 5,Feature 9,Position,Thickness,Anti Slip Surface,Grips or Handles,Capacity Litre
0,PT41935,Tradefix complete toilet set,Tradefix,65.0,"Helping to make bathroom refits simple, the Tradefix complete toilet set includes a full toilet with matching soft-close seat. The pack is built around a classic close-coupled cistern, supplied complete with all fittings for quick, hassle-free installation.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Tradefix complete toilet set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/T41935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41935_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PT41933,Scudo Pronto Complete Toilet in a box with soft close seat.,Scudo,65.11,"Ready to install, the Scudo Pronto toilet set has a modern oval design and is supplied complete with 6/3L dual flush and a soft-close seat for slam-free use.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Scudo Pronto Complete Toilet in a box with soft close seat.,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/33/T41933_wm.jpg,,White,Pronto,Lifetime,N,650,6/3L,Yes,Contempory oval,Ceramic,Oval,No,COMPLETE-TOILETSET,Yes,N,Fittings included,Pan fixing kit sold separately,Soft-close seat action,Oval-shaped seat,6/3L dual flush action,Ceramic construction,White finish,Lifetime warranty,,,,,,,,,,,,,,,,
2,PT41934,Tradefix complete basin and pedestal 1th,Tradefix,52.51,"A sensible economy buy, the Tradefix 440mm complete basin and pedestal is a ready-to-install pairing designed for ease of specification. Wall-mounted, this sink is supplied with a single taphole for one mixer tap and a pedestal for a neat finish.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Tradefix complete basin and pedestal 1th,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/34/T41934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T41934_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB45278,Nabis 4-piece pack and soft close toilet seat White,Nabis,211.05,"This Nabis Pride bathroom pack includes a choice of basin and a Nabis Pride close coupled toilet with soft close seat and dual flush push button cistern. Coolly modern, this sanitaryware set is designed for a light, simple bathroom look.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis 4-piece pack and soft close toilet seat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/78/NW-B45278_wm.jpg,,,,,N,,,,,,,,B45278 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,
4,PB61081,Center CB Centresuite B61081 One box full toilet solution,Center CB,73.08,"Helping to make fitting a new toilet easy, this Center CB Centersuite toilet pack includes a modern close-coupled WC pan, cistern and seat along with all necessary fittings in a single box.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Center CB Centresuite B61081 One box full toilet solution,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/81/NW-B61081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Center_CB_8282560002431_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/CenterCB_B61021-B61022_Pan_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,
5,PB61710,Nabis Lamone Closed coupled WC pack,Nabis,99.0,"An easy way to furnish a bathroom, this Nabis Lamone bathroom pack includes a close-coupled toilet with horizontal outlet, a water-saving push button cistern and a premium Lamone soft close seat and cover.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Lamone Closed coupled WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-B61710_wm.jpg,,White,Lamone,,N,,,,,,,,B61710 PK,,N,White vitreous china,Soft close seat,Includes toilet fixings,10 year warranty on ceramics,5 year warranty on cistern fittings and toilet seats,,,,,,WC Pack,,,,,,,,,,,,,
6,PB01092,Nabis Pride WC pack,Nabis,121.65,"This handy Nabis Pride bathroom pack includes the Nabis Pride close-coupled washdown toilet pan with horizontal outlet and open flushing rim and a 6/3L dual flush cistern. Modern and streamlined, the Pride range has a simple contemporary design that will suit the majority of bathrooms.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Pride WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/B01092 PK_wm.jpg,,White,Pride,,N,,,,,,,,B01092 PK,,N,Toilet seat with antibacterial coating,6/3L dual flush,Retaining buffer,Top fix seat,White vitreous china,To comply with UK Water Regulation 4 (1) (a) and the Interim Agreement regarding the prevention of backflow this product should be installed with a double check valve,Lifetime warranty,,,,WC Pack,,,,,,,,,,,,,
7,PD16320,Ideal Standard Sandringham 21 toilet boxed pack White,Ideal Standard,194.74,The Ideal Standard Sandringham 21 toilet boxed pack includes a close coupled washdown horizontal outlet toilet pan with open flushing rim with water saving 6/4L dual flush.,Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Ideal Standard Sandringham 21 toilet boxed pack White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/20/NW-D16320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Sandringham21_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD03460,Twyford Option round WC pan and cistern in a box,Twyford,147.16,"A quick, convenient option for simple bathroom installations, this Twyford Option toilet pan and cistern pack incorporates a 6/4L dual flush close coupled toilet with metal hinged seat and cover plus all required fixings.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Twyford Option round WC pan and cistern in a box,,Pan;Cistern;Seat and cover;Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/60/D03460_wm.jpg,,White,Option,5 Years,N,680,350mm,No,Close Coupled,Vitreous China,Round,Yes,GGOT03WH,Yes,N,Toilet pan with horizontal outlet,6/4L dual flush cistern,Seat and cover with metal hinges,Fixings included,5 year warranty,,,,,,WC Pan and Cistern Pack,Matt,,,,,,,,,,,,
9,PB61644,Nabis Vector II 4-piece pack,Nabis,179.0,The Nabis Vector II four piece bathroom pack with toilet and basin combines sleek modernooks with high performance at an economy price.,Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Vector II 4-piece pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/44/NW-B61644_wm.jpg,,,Vector II,,N,,,,,,,,B61644 PK,,N,Includes single tap hole basin,Includes close coupled toilet,Horizontal outlet pan,Soft close seat,Lifetime warranty on ceramics,1 year warranty on toilet seat,,,,,Bath Pack,,Yes,Yes,No,No,,,,,,,,
10,PB01084,Nabis Vector WC pack,Nabis,130.0,"Ideal for modern bathroom installations and re-designs, this Nabis Vector toilet pack includes a Vector II close-coupled horizontal outlet toilet pan with push button cistern and a soft-close toilet seat and cover. A contemporary design, the Vector II WC brings a touch of luxury to your loo.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Vector WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/B01084 PK_wm.jpg,,White,Vector,,N,,,,,,,,B01084 PK,,N,White vitreous china,Soft close seat,Lifetime warranty on ceramics,1 year warranty on toilet seat,,,,,,,WC Pack,,,,,,,,,,,,,
11,PB61714,Nabis Alia back to wall pack,Nabis,150.89,TBC,Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Alia back to wall pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-B61714_wm.jpg,,,Alia,,N,,,,,,,,B61714 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,
12,PB45273,Center CB 4-piece pack White,Center CB,109.2,"Making it easy to create a complete bathroom for any home, this Center CB complete bathroom pack includes a pedestal basin and close-coupled toilet with 6/3L water saving dual flush.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Center CB 4-piece pack White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/73/NW-B45273_wm.jpg,,,,,N,,,,,,,,B45273 PK,,N,4-piece pack,With single tap hole basin,Close-coupled toilet,6/3L dual flush,,,,,,,Bathroom Pack,,Yes,Yes,No,No,,,,,,,,
13,PB00187,Armitage Shanks Sandringham21 cloakroom toilet pack,Armitage Shanks,173.0,"A handy all-in-one package, this Armitage Shanks Sandringham21 cloakroom toilet pack includes a close-coupled WC pan, cistern and toilet seat and cover. Manufactured in the UK by a British company, the Sandringham21 collection is designed to meet the needs of the local market, offering compatibility with UK water pressure and standard UK fittings while meeting all relevant national water regs. Simply designed to suit most bathroom schemes, these coordinated fittings have a timeless look that won't date.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Armitage Shanks Sandringham21 cloakroom toilet pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/pk/B00187 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E8221_E8999_E1316_S9101_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E899901_Technical.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02402_Technical.pdf,,,,,,,
14,PB00191,Ideal Standard Tesi cloakroom toilet pack,Ideal Standard,300.0,"Making bathroom design easy, this Ideal Standard Tesi cloakroom WC pack with AquaBlade flush technology includes a back-to-wall toilet pan, close-coupled cistern and a thin toilet seat and cover. Slimline and elegant, the Tesi range is effortlessly modern with a classic feel that will stand the test of time, helping to ensure your bathroom will be loved for longer.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Ideal Standard Tesi cloakroom toilet pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/pk/B00191 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T02635_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T355701_WC_Pan_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Tesi_CC_Toilet_Tech.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/IS_s_Tesi_Spare_Parts.pdf,,,,,,
15,PB61706,Nabis Arno 3 piece suare WC pack,Nabis,204.36,"The Nabis Arno three piece square WC pack includes the complete Nabis Arno compact toilet. Ideal for smaller bathrooms, this stylish toilet with close coupled pan, Livi Arno cistern and premium soft close seat is part of a range designed to optimise floor space.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Arno 3 piece suare WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/06/NW-B61706_wm.jpg,,,Arno,,N,,,,,,,,B61706 PK,,N,600mm short projection toilet pan,White vitreous china,Premium high gloss glaze finish,All fixings included,Meets the requirement of EN 997-CL1-6A,Space saving,Easy to clean and maintain,Soft close toilet seat,,,WC Pack,,,,,,,,5 year warranty,,,,,
16,PC24468,Ideal Standard Concept Freedom DOC-M pack,Ideal Standard,2939.31,"Meeting Part M requirements, this Ideal Standard luxury wheelchair accessible en suite bathroom pack includes a full extended toilet with back rest and support arm, dual flush cistern and soft close seat, a 600mm accessible basin, tap and fittings, thermostat and grab rails. Part of the Concept range, this set is ideal for hotels and care homes.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Ideal Standard Concept Freedom DOC-M pack,,"Wall mounted elongated rimless WC Bowl and support brackets;Water saving dual flush Conceala 2 cistern with Karisma flush plate;Grab rails;Back rest;Hinged support arm;Holder, seat no cover;60cm accessible basin;Concept Blue mixer tap;Click waste;15mm TM",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/68/NW-C24468_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6402AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PB61722,Nabis Lamone WC basin bath tap,Nabis,428.81,"An easy revamp for a tired bathroom, this Nabis Lamone basin pack includes a single tap hole china basin and matching full pedestal. The stylish Lamone bathroom range is designed with water-saving in mind, helping home owners to reduce their environmental impact.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Lamone WC basin bath tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/28/B61628_wm.jpg,,White,Lamone,,N,,,,,,,,B61722 PK,,N,White vitreous china,Toilet fixings included,10 year warranty,,,,,,,,Basin Pack,,,,,,,,,,,,,
18,PT26371,Essentials Ivy close coupled back to wall rimless pan+cistern+seat pack with soft close seat,Essentials,307.3,"A complete toilet pack for ease of specification and fitting, the Essentials Ivy back-to-wall pack includes a rimless pan, WC cistern and soft-close toilet seat. Offering a height of 790mm and a 600mm projection, this toilet has a smart contemporary design suited to modern bathrooms.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Essentials Ivy close coupled back to wall rimless pan+cistern+seat pack with soft close seat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/71/T26371_wm.jpg,,White,,25 Years,N,60,,Yes,Close Coupled,Vitreous China,D Shaped Seat,N/A,EC7022,Yes,N,Includes back-to-wall pan and close-coupled cistern,With D-shaped seat,Soft-close seat action,Rimless pan for hygiene,Vitreous china pan construction,White finish,25 year warranty,,,,Toilet Pack,,,,,,,,,,,,,
19,PB01085,Nabis Vector basin pack,Nabis,68.25,"The modern Nabis Vector basin pack incorporates a ceramic single tap hole washbasin and pedestal, designed to bring a touch of luxury to a bathroom without breaking the bank.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Nabis Vector basin pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/85/NW-B01085_wm.jpg,,,Vector,,N,,,,,,,,B01085 PK,,N,White ceramic,With 1x tap hole and overflow,Includes pedestal,,,,,,,,Basin Pack,,,,,,,,,,,,,
20,PT26376,Essentials Ivy comfort close coupled pan rimless + cistern + seat pack with soft close seat,Essentials,425.25,"An all-in-one pack for ease of design and fitting, the Essentials Ivy Comfort close-coupled toilet pack includes a toilet pan, cistern and a soft-close seat. A modern, practical design that will suit contemporary bathroom refits, the Ivy toilet has an overall height of 850mm and a 665mm projection. Push button operated, this toilet has a dual flush mechanism to help households to minimise water waste.",Bathrooms and Kitchens/Toilets/Toilet Packs/Toilet Packs.csv -> Essentials Ivy comfort close coupled pan rimless + cistern + seat pack with soft close seat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/76/T26376_wm.jpg,,White,,25 Years,N,665,,Yes,Close Coupled,Vitreous China,D Shaped Seat,N/A,EC7027,Yes,N,"With pan and cistern,",Includes soft-close seat,Rimless cistern for hygienic use,For close-coupled installation,Vitreous china construction,White colour,With dual flush,Push button flush operation,,,Toilet Pack,,,,,,,,25 year warranty,,,,,
