,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Hazardous,Boiler Bundles,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,P333156,Heatrae Sadia Amptec C1200 electric boiler only pack 12kW,Heatrae Sadia,959.0,"Helping homeowners to minimise waste, the Heatrae Sadia Amptec C1200 electric flow boiler is a reliable electric alternative to gas or oil-fired home heating. Ideal for use in challenging locations, like a loft room, conservatory or workshop, this 12kW boiler is suitable for connection to pressurised or open-vented systems and can be installed with existing radiators, thermostats and valves for easy conversion to electric. With no flue outlet or fuel tank to work with, the Amptec simplifies installation and makes siting easier compared to conventional heating solutions.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C1200 electric boiler only pack 12kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/pk/333154_56 PK_wm.jpg,Electric,Amptec,N,333156,333156 PK,Electric Flow Boiler - Standard Pack,N,"Compatible with standard radiators, programmer, pump, room thermostat and thermostatic radiator valves",Compact and lightweight,Suitable for use in pressurised or open-vented systems,Domestic hot water can be produced when installed with an indirect cylinder or separate direct cylinder,No flue and no fuel tanks means installation is flexible,"With no flue, no heat is wasted for 99.8% efficiency",Silent in operation,Front panel indicator shows boiler state,Solid state technology with no moving parts for a longer life,Soft start and zero volt switching avoids power surges,,,,,,
1,P333155,Heatrae Sadia Amptec C900 electric boiler only pack 9kW,Heatrae Sadia,824.0,"Helping homeowners to minimise waste, the Heatrae Sadia Amptec C900 electric flow boiler is a reliable electric alternative to gas or oil-fired home heating. Ideal for use in challenging locations, like a loft room, conservatory or workshop, this 9kW boiler is suitable for connection to pressurised or open-vented systems and can be installed with existing radiators, thermostats and valves for easy conversion to electric. With no flue outlet or fuel tank to work with, the Amptec simplifies installation and makes siting easier compared to conventional heating solutions.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C900 electric boiler only pack 9kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/pk/333154_56 PK_wm.jpg,Electric,Amptec,N,333155,333155 PK,Electric Flow Boiler - Standard Pack,N,"Compatible with standard radiators, programmer, pump, room thermostat and thermostatic radiator valves",Compact and lightweight,Suitable for use in pressurised or open-vented systems,Domestic hot water can be produced when installed with an indirect cylinder or separate direct cylinder,No flue and no fuel tanks means installation is flexible,"With no flue, no heat is wasted for 99.8% efficiency",Silent in operation,Front panel indicator shows boiler state,Solid state technology with no moving parts for a longer life,Soft start and zero volt switching avoids power surges,,,,,,
2,P134181,Heatrae Sadia Electromax 95022236 hot water store 9kw flow boiler,Heatrae Sadia,2652.78,"A compact choice for sealed systems, the Heatrae Sadia Electromax x 9KW RADIATOR electric flow boiler is supplied with a hot water storage cylinder and a pre-plumbed, factory-fitted circulating pump. Providing wet central heating, a hot water supply, or even both at once, the 9kW Electromax requires just a mains electrical connection and cold water supply, ideal for off-gas use. The included 180L Duplex stainless steel unvented cylinder delivers balanced, mains pressure water to multiple outlets, allowing the whole family to enjoy uninterrupted showers and luxurious bathing.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Electromax 95022236 hot water store 9kw flow boiler,,Electromax unit;Cold water combination valve;Pressure reducing valve;Strainer;Check valve;Expansion valve;Unvented system expansion vessel;Wall mounting bracket for expansion vessel;Programmable room thermostat;Immersion heater key spanner;Hose connectio,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/81/NW-134181_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ct/HeatraeSadia_Electromax_User_Instrct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/Heatrae_Sadia_SafetyWarning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Electromax_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Heatrae_Sadia_CommissioningChecklist.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Heatrae_Sadia_Electric_Heating_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Electromax_Installation.pdf
3,P134180,Heatrae Sadia Electromax 6kW Radiator electric flow boiler 6kW,Heatrae Sadia,2652.78,"A handy unit offering dual functions, the Heatrae Sadia Electromax 6kW radiator electric flow boiler both stores and delivers hot water and supplies a wet central heating system. Robustly built in Duplex stainless steel, this 180L capacity cylinder is compact enough to fit into an airing cupboard yet has the power to supply mains pressure balanced water to multiple outlets. Compatible with off peak tariffs, the 6kW Electromax cylinder is designed with solid state technology and an automatic pump exercise for minimal maintenance and reduced running costs while installation is simple, requiring only a mains electrical connection and cold water supply for less disruption during fitting.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Electromax 6kW Radiator electric flow boiler 6kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/80/134180_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Heatrae_Sadia_Electromax_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Electromax_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Heatrae_Sadia_Electromax_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Electromax_H&S.pdf,
4,P333154,Heatrae Sadia Amptec C600 electric boiler only pack 6kW,Heatrae Sadia,571.0,"Helping homeowners to minimise waste, the Heatrae Sadia Amptec C600 electric flow boiler is a reliable electric alternative to gas or oil-fired home heating. Ideal for use in challenging locations, like a loft room, conservatory or workshop, this 6kW boiler is suitable for connection to pressurised or open-vented systems and can be installed with existing radiators, thermostats and valves for easy conversion to electric. With no flue outlet or fuel tank to work with, the Amptec simplifies installation and makes siting easier compared to conventional heating solutions.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C600 electric boiler only pack 6kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/pk/333154_56 PK_wm.jpg,Electric,Amptec,N,333154,333154 PK,Electric Flow Boiler - Standard Pack,N,"Compatible with standard radiators, programmer, pump, room thermostat and thermostatic radiator valves",Compact and lightweight,Suitable for use in pressurised or open-vented systems,Domestic hot water can be produced when installed with an indirect cylinder or separate direct cylinder,No flue and no fuel tanks means installation is flexible,"With no flue, no heat is wasted for 99.8% efficiency",Silent in operation,Front panel indicator shows boiler state,Solid state technology with no moving parts for a longer life,Soft start and zero volt switching avoids power surges,,,,,,
5,P134103,Heatrae Sadia Amptec C1200 electric boiler 12kw,Heatrae Sadia,1285.93,"Designed for use in unconventional spaces, the Amptec C1200 electric flow boiler is particularly well-suited to use in mobile homes, conservatories, extensions, loft conversions and garages, or indeed anywhere space is at a premium. Providing hot water to a wet central heating system in pressurised or open-vented systems, this compact and silent 12kW output electric flow boiler works with circulating pumps and thermostatic valves as well as standard radiators and room thermostats. The flueless design of the Amptec means that no heat is lost through the chimney.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C1200 electric boiler 12kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/134100_134104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
6,P134102,Heatrae Sadia Amptec C900 electric boiler 9kw,Heatrae Sadia,1059.37,"The Amptec C900 electric flow boiler provides hot water to a wet central heating system, efficiently providing heat in awkward spaces such as conservatories, mobile homes, lofts, garages and conversions as well as apartments and extensions. Working alongside standard radiators, circulating pumps, room thermostats and thermostatic valves in pressurised or open-vented systems without the need for a flue, the 9kW output Amptec sees no heat lost through the chimney. Boasting a compact design and silent operation this unit is particularly well-suited to awkward spaces where standard boilers would be unsightly or distractingly loud.",Boilers/Electric Boilers/Electric Boilers.csv -> Heatrae Sadia Amptec C900 electric boiler 9kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/134100_134104_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Heatrae_Sadia_Amptec_Installation_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae_Sadia_Amptec_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Heatrae_Sadia_Amptec_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Heatrae_Sadia_Amptec_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Amptec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Amptec_Installation.pdf
7,P202088,Acv E-Tech W 36 Tri 3-phase wall mounted electric system boiler 36kW,Acv,1768.96,"A convenient alternative to gas, the Acv E-Tech W 36 electric sealed system boiler is ideal for installation in awkward spaces where flueing isn't possible or to help homeowners reduce their carbon waste. Easy to install, this wall-hung 36kW boiler is quiet in operation and provides dual temperature outputs so it's suitable for a home with both radiators and underfloor heating and particularly for off-grid properties. Low maintenance, the E-Tech W requires no landlord certification and incorporates a reliable stainless steel heating element.",Boilers/Electric Boilers/Electric Boilers.csv -> Acv E-Tech W 36 Tri 3-phase wall mounted electric system boiler 36kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/88/202088_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Acv_Domestic_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Acv_E-Tech-W_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Acv_UK_Digital_Catalogue.pdf,,,
8,P134052,Trianco Aztec Classic 9 electric boiler 9kw,Trianco,719.8,"Highly suitable for use in retrofit and new builds, the Aztec TRI-9 electric heating boiler is slim and compact, making it ideal for any smaller space. With a state of the art PCB and external temperature control, this fully modulating 9kW boiler can be installed in any room of the house, since it has no flue and produces no noxious output. Almost completely maintenance-free, the Aztec Tri-9 has a self-diagnostic system to make those rare engineer callouts quicker and less costly.",Boilers/Electric Boilers/Electric Boilers.csv -> Trianco Aztec Classic 9 electric boiler 9kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/52/134051_134052_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Trianco_Aztec_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Trianco_Aztec_Classic_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trianco_Aztec_Classic_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Trianco_Aztec_Classic_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Trianco_Aztec_Classic_Installation_1.pdf,
9,P202089,Acv E-Tech S 160 Mono 1-phase combination storage electric boiler 160kW,Acv,2578.0,"A great alternative to LPG and oil for off-grid homes, the single phase ACV E-Tech S 160 Mono electric combi boiler brings heating and hot water together in one unit to save space, spend and installation time. This unit can also be used as a standalone water heater and with its completely gas-free operation is an ideal choice for landlords or those wishing to lower their carbon impact. Because the low-maintenance E-Tech S doesn't need a flue and runs extremely quietly, installation is easy anywhere in the home.",Boilers/Electric Boilers/Electric Boilers.csv -> Acv E-Tech S 160 Mono 1-phase combination storage electric boiler 160kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/89/202089_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ACV_E-Tech_S_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ACV_E-Tech_S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ACV_Domestic_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/202089_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/ACV_Domestic_Boilers_Brochure_1.pdf,
