,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Range,Weight,Phase,Refrigerant Suitability,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Type,Pack Quantity,Warranty,Fuse Size (A),Attachment 7
0,P615164,Daikin FTXF FTXF35 R32 Indoor 3.5KW,Daikin,148.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF35C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin FTXF FTXF35 R32 Indoor 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P696855,Daikin FXAQ40A R410A Vrv Wall Mounted Unit,Daikin,645.04,"Suitable rooms of just about any shape or size, the Daikin VRV range of indoor air conditioning units with five discharge angles is user friendly, highly reliable and quiet in operation. Compliant with eco-design legislation, these units incorporate specially designed DC fans for excellent levels of energy efficiency.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin FXAQ40A R410A Vrv Wall Mounted Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/57/NW-696851_696857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_m/an/Daikin_FXAQ15_4PEN494113_Operat_Man.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXAQ-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXAQ-A_4PEN494115_1C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXAQ-A_RoHS_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P652788,Daikin Perfera FTXM20R R32 Wall Mount 2.0KW,Daikin,192.05,"Quiet in operation and attractively designed, the Daikin Perfera wall-mounted indoor air conditioning unit incorporates flash streamer technology for powerful air purification. Suitable for app control, this split unit gives you complete power over your home comfort, allowing you to choose your ideal temperature before setting foot inside the house.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin Perfera FTXM20R R32 Wall Mount 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/94/NW-652788_652794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_CTXM_FTXM_ATXM_R_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXM_R_RXM_R_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_CTXM_FTXM_ATXM_R_Oprtn_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_CTXM_FTXM_ATXM_R_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P615163,Daikin FTXF FTXF25 R32 Indoor 2.5KW,Daikin,127.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF25C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin FTXF FTXF25 R32 Indoor 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P696831,Daikin Stylish FTXA42AW R32 4.2KW White Indoor,Daikin,488.52,"Ideal for small rooms up to around 20M² in size, the Daikin Stylish Bluevolution wall-mounted indoor air conditioning unit combines ultra-quiet operation with convenient controllability via the Daikin Residential app or using your home digital assistant. The attractively designed Stylish reduces consumption and saves on bills, using R32 refrigerant for an efficiency boost.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin Stylish FTXA42AW R32 4.2KW White Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/32/NW-696828_696832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Daikin_FTXA15_50AW_RoHS_Decla.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Daikin_FTXA15_50AW_Eco_Decla.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXA20_50AW_Operation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXA20_50AW_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXA-AB_RXA-AB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FTXA20_50AW_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P602968,Daikin FTXM20A R32 Wall M Pefera 2.0 KW,Daikin,191.8,"Attractive designed to blend into its surroundings, the Daikin 2kW R32 wall-mounted air conditioning unit offers excellent levels of efficiency coupled with unbeatable comfort. Fitted with a reliable filter and incorporating flash streamer technology, this clever unit purifies the air around you, making it cleaner, healthier and less allergen-laden while also reducing the unpleasant odours that can be associated with air conditioning units. A raft of smart features, including a presence-sensing automatic energy efficient setting and Comfort+ for whole-room cooling and heating help to maximise efficiency while also ensuring unbeatable climate comfort.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin FTXM20A R32 Wall M Pefera 2.0 KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/602968_wm.jpg,,,,,,,N,FTXM20A,N,Seasonal efficiency values up to A+++ in cooling and heating,Comfort+ for homogeneous temperature throughout,Double flaps direct air towards ceiling in heating,With 2 area motion detection sensor,Automatically switches to energy-efficient setting if no presence is detected,Heat boost mode reaches set temperature 14% faster (pair only),"Removes viruses, bacteria and fine dust via filter",Flash Streamer breaks down allergens and removes odours,Silver allergen removal and air purifying filter captures allergens such as pollen,Voice command via Amazon Alexa or Google Assistant,Onecta app connection for control via local network or internet,Quiet operation down to 19dBA,3-D air flow for vertical and horizontal auto swing,,,,,,,,,,,,
6,P696829,Daikin Stylish FTXA25AW R32 2.5KW White Indoor,Daikin,385.86,"Ideal for small rooms up to around 20M² in size, the Daikin Stylish Bluevolution wall-mounted indoor air conditioning unit combines ultra-quiet operation with convenient controllability via the Daikin Residential app or using your home digital assistant. The attractively designed Stylish reduces consumption and saves on bills, using R32 refrigerant for an efficiency boost.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin Stylish FTXA25AW R32 2.5KW White Indoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/32/NW-696828_696832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Daikin_FTXA15_50AW_RoHS_Decla.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/la/Daikin_FTXA15_50AW_Eco_Decla.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXA20_50AW_Operation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXA-AB_RXA-AB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXA20_50AW_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FTXA20_50AW_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P652803,Daikin Perfera FVXM25A9 Floor Mounted Unit 2.5KW,Daikin,726.6,"Offering optimised heating and maximised convenience, the Daikin Perfera FVXM25A9 2.5kW floor-mounted heating unit operates with a range of clever features ensuring that you enjoy personalised comfort whatever the situation. Reaching temperature quickly and efficiently, this clever unit offers functions such as floor warming and radiant-simulating Heat Plus to provide heat exactly as needed and all while operating surprisingly quietly. Using Flash Streamer technology to trigger chemical reactions in airborne particles, the Perfera delivers clean and healthy air free from pollen, fungal allergens and unpleasant odours.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin Perfera FVXM25A9 Floor Mounted Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/03/652803_wm.jpg,,,,,,,N,FVXM25A9,N,Modern design,Seasonal efficiency up to A++ in heating,Reduces running costs compared to gas or heating,Can be combined with up to 5-port multi outdoor units,Heat boost (pair only) reaches temperature 14% faster than regular air conditioner,Floor warming function distributes hot air from bottom of unit,Heat plus function simulates radiant heat for 30 minutes of cosiness,Dual air discharge flow for improved air distribution,Flash Streamer breaks down allergens and removes odours,Quiet operation down to 19dBA,Uses Onecta for control via app or internet connection,,,Perfera,1.7,1,R-32,238,9.50,6.40,Floor Mounted Unit,,,,
8,P605945,Daikin Sensira FTXF60 R32 Indoor 6.0KW,Daikin,254.0,"Offering high efficiency alongside reliable comfort, the wall-mounted Daikin Sensira FTXF60A indoor split unit is ideal for rooms in constant use. Extremely quiet in operation, this air conditioner has draught-free operation to do away with the irritating chill of direct air and removes airborne dust particles to minimise irritation. Elsewhere, rapid heating and cooling options ensure that the Sensira reacts quickly to your changing needs.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin Sensira FTXF60 R32 Indoor 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/46/NW-605944_605946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Daikin_FTXF_A_FTXF_B_RXF_A_B_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_D_FTXF_A_Operatns_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Residential_AC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P696856,Daikin FXAQ50A R410A Vrv Wall Mounted Unit,Daikin,682.88,"Suitable rooms of just about any shape or size, the Daikin VRV range of indoor air conditioning units with five discharge angles is user friendly, highly reliable and quiet in operation. Compliant with eco-design legislation, these units incorporate specially designed DC fans for excellent levels of energy efficiency.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Wall Mounted.csv -> Daikin FXAQ50A R410A Vrv Wall Mounted Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/57/NW-696851_696857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_m/an/Daikin_FXAQ15_4PEN494113_Operat_Man.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXAQ-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXAQ-A_4PEN494115_1C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXAQ-A_RoHS_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
