,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Connection Size,Connection Type,Range,Operator Type,Type,Colour,Material Type,Warranty,Material,Size,Operating Temperature,Feature 5,Attachment 3
0,P327863,Center CB ISOGAS fan keys gas isolation valve 15mm,Center CB,4.32,"Built by Tesla UK Ltd, this Center CB ISOGAS fan key isolation valve is used to isolate the gas supply to appliances, allowing for maintenance. Made of brass, it offers a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Center CB ISOGAS fan keys gas isolation valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-327861_327864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Center_EN331_Mini_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,
1,P236566,Center Chrome Isolating Valve 22mm,Center,2.88,"Suitable for use in hot or cold water, this Center 22mm chrome isolating valve has compression connections and screwdriver shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Center Chrome Isolating Valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/236566_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236566 ISO Valve v1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/65/236565.pdf,,,,,,,,,,,,,,,,,,,,
2,PD39081,Center WRAS Approved isolating valve 15 mm Chrome Plated (pack of 10),Center,8.15,This durable Tradefix isolating valve with 15mm compression connection and chrome finish is tough and hardwearing for everyday plumbing and heating maintenance as well as efficiency and safety.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Center WRAS Approved isolating valve 15 mm Chrome Plated (pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/81/NW-D39081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Westco_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,
3,P236594,Center CXC Chrome Plated WRAS Approved isolating valve 15 mm,Center,1.16,This Center CXC CP 15mm directional isolation valve is finished in nickel and supplied complete with nuts and olives.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Center CXC Chrome Plated WRAS Approved isolating valve 15 mm",,"1 Isolation Valve, 2 x olives, 2 x nut ends",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/94/236594_wm.jpg,,,N,CMTFIV-15W,N,Quarter-turn operation,Nickel finish,With 2x olives and nut ends,Complies with EN1254-2,,,,,,,,,,,,,
4,P250454,Midbrass HP quarter-turn positive stop isolating valve 15mm,Midbrass,3.45,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. A quarter turn slot midway rotates and activates shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midbrass HP quarter-turn positive stop isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/54/NW-250454_wm.jpg,,,N,BFIVQ-15W,N,Through-wall connection for bib tap only,Brass construction,Nickel finish,1 year warranty,15mm,Compression,HP,Slotted,Isolating Valve,,,,,,,,
5,P250472,Midland Brass full bore isolating valve 15mm,Midland Brass,3.32,"Suitable for use in hot or cold water, this Midland Brass full bore isolating valve is designed for washing machines. It is made of brass with 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass full bore isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/72/NW-250472_wm.jpg,,,N,MBFIVHP-15,N,Maximum working temperature 85°C,Manufactured using CW617N brass,WRAS approved,,15mm,Threaded,,Slotted,Full Bore Isolating Valve,Metal/s,Brass,1 year,Brass,15 mm,,,
6,P250456,"Midbrass HP straight service valve 15mm x 1/2"" Nickel Plated",Midbrass,2.84,"Made of brass, this Midland Brass straight service valve has 15mm x 1/2"" BSP connections and a nickel finish. It is suitable for use in hot or cold water.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midbrass HP straight service valve 15mm x 1/2"" Nickel Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/56/NW-250456_wm.jpg,,,N,MBFSVS-15W,N,Maximum working temperature 85°C,CW617N brass material,Manufactured to BS6675,WRAS approved,15 mm x 1/2 inch,,HP,Slotted,Straight Service Valve,,,,,,85,,
7,P250460,Midland Brass slotted angled isolating valve 15mm Nickel,Midland Brass,2.84,"Made of brass, this Midland Brass slotted angled isolating valve has a 15mm threaded connection and nickel finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass slotted angled isolating valve 15mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/60/NW-250460_wm.jpg,,,N,MBFIVA-15W,N,Brass construction,1 year warranty,,,15mm,Threaded,,Slotted,Slotted Angled Isolating Valve,,Brass,1 year,Brass,15 mm,,,
8,P250444,Midland Brass isolating valve comes with handle 15mm Nickel,Midland Brass,2.32,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. The metal lever activates shut-off","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass isolating valve comes with handle 15mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/NW-250444_250445_wm.jpg,,,N,BFIVLM-15,N,Brass construction,Chrome finish,WRAS approved,1 year warranty,15mm,Threaded,,Handle,Isolating Valve with Handle,,,,,,,,
9,P250457,Midbrass HP angle service valve 15mm x 1/2in Nickel Plated,Midbrass,2.84,"Suitable for use in hot or cold water, this Midland Brass angled service valve offers 15mm x 1/2"" connections and a nickel finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midbrass HP angle service valve 15mm x 1/2in Nickel Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/57/NW-250457_wm.jpg,,,N,MBFSVB-15W,N,CW617N brass material,Maximum working temperature 85°C,Manufactured to BS 6675,WRAS approved,15 mm x 1/2 inch,,HP,Slotted,Angle Service Valve,,,,,,85,1 year warranty,
10,P250473,Midland Brass full bore isolating valve 22mm,Midland Brass,11.59,This Midland Brass full bore isolating valve is made of brass with a 22mm threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass full bore isolating valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/73/NW-250473_wm.jpg,,,N,MBFIVHP-22,N,Brass construction,1 year warranty,,,22 mm,Threaded,,Slotted,Full Bore Isolating Valve,Metal/s,Brass,1 year,Brass,22 mm,,,
11,P250572,"Midbrass valve flat face 15mm x 3/8""",Midbrass,2.31,"A Midlands Brass 15mm x 3/8"" ISO flat face valve.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midbrass valve flat face 15mm x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/72/250572_wm.jpg,,,N,BFIVFF-15C,N,Brass construction,Chrome-plated finish,1 year warranty,,15 mm x 3/8 inch,Compression x Male Threaded,,,Flat Faced Isolating Valve,,,,,,,,
12,P250445,Midland Brass isolating valve comes with handle 22mm Nickel,Midland Brass,8.96,"Suitable for both hot and cold water systems, this Midland Brass 22mm brass isolating valve is supplied with an olive in the nut ends. A metal lever is used to activate shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass isolating valve comes with handle 22mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/NW-250444_250445_wm.jpg,,,N,BFIVLM-22,N,Brass construction,Nickel finish,1 year warranty,,22 mm,Threaded,,Handle,Isolating Valve with Handle,,,,,,,,
13,P250464,Midland Brass brass slotted isolating valve 15mm,Midland Brass,2.76,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. It has a screwdriver slot for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Isolating Valves/Isolating Valves.csv -> Midland Brass brass slotted isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/64/NW-250464_wm.jpg,,,N,BFIVB-15,N,Brass construction,WRAS approved,1 year warranty,,15mm,Threaded,,Slotted,Isolating Valve,Metal/s,,,,,,,
