,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Weight,Hazardous,ASHRAE Code,Safety Classification,GWP,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 7,Attachment 8,Feature 7
0,P684832,A-Gas R410A rental cylinder 11kg,A Gas,246.41,"This A-Gas 11kg rental cylinder contains R-410A, a HFC blend used mainly in air conditioning systems or as an alternative to R-13B1 in low temperature refrigeration.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R410A rental cylinder 11kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/32/NW-684832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R410A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R410A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,
1,P688723,A-Gas Opteon XP44 R452A rental cylinder 12kg,A Gas,526.41,"This A-Gas 12kg cylinder contains Opteon® XP44 R-452A, a HFO refrigerant blend used as a replacement for R-404A and R507 in low temperature transport refrigeration applications. This blend offers a low Global Warming Potential (GWP) for higher efficiency.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas Opteon XP44 R452A rental cylinder 12kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/23/NW-688723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R452A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R452A_SDS.pdf,,,,,,,,,,,,,,,,,,,
2,P688717,A-Gas Solstice N40 R448A rental cylinder 12kg,A Gas,363.23,"This A-Gas 12kg rental cylinder contains Solstice N40 R-448A, a non-flammable HFO blend suitable as a replacement for R-404A and R-22 in low and medium temperature refrigeration applications. Solstice combines a low Global Warming Potential (GWP) with high energy efficiency and offers reduced compressor discharge temperature in medium and low temperatures.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas Solstice N40 R448A rental cylinder 12kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/17/NW-688717_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/A-Gas_Solstice-N40_Program.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R448A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R448A_Pressure_Temp_Chart.pdf,,,,,,,,,,,,,,,,,,
3,P684979,A-Gas Refrigeration and Industrial Gas Oxygen Free Nitrogen Rental Cylinder 10ltr,A Gas,41.41,"This A-Gas 10L oxygen free nitrogen (OFN) cylinder is used for leak detection in RAC systems, strength and pressure testing and in cleaning condenser coils. It can also help to reduce oxidation during brazing jobs.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas Refrigeration and Industrial Gas Oxygen Free Nitrogen Rental Cylinder 10ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/80/NW-684979_684980_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/AGas_Nitrogen Oxygen Free_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A_Gas_OFN_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
4,P601143,A-Gas R404A rental cylinder 11kg,A Gas,833.77,"This A-Gas 11kg rental cylinder contains R-404A, a HFC blend suitable as a replacement for R502 and R-22 in low and medium temperature refrigeration applications. With a GWP above 2500, the use of R-404A is now prohibited in new equipment and restricted in pre-existing equipment while reclaimed R-404A is still permitted until 2030 for servicing equipment already running and is therefore an option for those with systems above 40T CO2 equivalent (approximately 10kgs of R-404A).","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R404A rental cylinder 11kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/43/NW-601143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R404A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R404A_SDS.pdf,,,,,,,,,,,,,,,,,,,
5,P688727,A-Gas R404A reclaimed rental cylinder 11kg,A Gas,824.4,"This A-Gas 11kg rental cylinder contains R-404A, a HFC blend suitable as a replacement for R502 and R-22 in low and medium temperature refrigeration applications. With a GWP above 2500, the use of R-404A is now prohibited in new equipment and restricted in pre-existing equipment while reclaimed R-404A is still permitted until 2030 for servicing equipment already running and is therefore an option for those with systems above 40T CO2 equivalent (approximately 10kgs of R-404A).","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R404A reclaimed rental cylinder 11kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/27/NW-688727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R404A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R404A_SDS.pdf,,,,,,,,,,,,,,,,,,,
6,P688720,A-Gas Opteon XP40 R449A rental cylinder 12kg,A Gas,399.64,"This A-Gas 12kg cylinder contains Opteon® XP40 R-449A, a HFO blend suitable as a replacement for R-404A and R507 in low and medium temperature refrigeration applications. R-449A (Opteon® XP40) is suitable for new installations and retrofits of existing equipment and with a low Global Warming Potential (GWP) of 1397 offers improved energy efficiency and eco-friendly properties.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas Opteon XP40 R449A rental cylinder 12kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/20/NW-688720_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R449A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R449A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,
7,P684829,A-Gas R407C rental cylinder 13kg,A Gas,322.81,"This A-Gas 13kg rental cylinder contains R-407C, a HFC blend, a suitable replacement for R-22 in air conditioning systems and medium temperature refrigeration applications.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R407C rental cylinder 13kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/29/NW-684829_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R407C_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R407C_Pressure_Temp_Chart.pdf,,,,,,,,,,,,,,,,,,,
8,P624287,A-Gas R32 rental cylinder 5kg,A Gas,78.13,"This A-Gas 5kg rental cylinder contains R32, a HFC refrigerant used as a replacement for R-410A in low temperature refrigeration and air conditioning applications. With its low GWP, this refrigerant is a preferred replacement for R-410A in new equipment.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R32 rental cylinder 5kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/87/NW-624287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/A-Gas_R32_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R32_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A-gas_R32_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R32_Pressure_Temp_Chart.pdf,,,,,,,,,,,,,,,,,
9,P684816,A-Gas R134a rental cylinder 13kg,A Gas,295.72,"This A-Gas 13kg rental cylinder contains R-134A, a HFC for automotive air conditioning or for use as a replacement for R-12 and R-22 in medium and high temperature refrigeration applications, including commercial and domestic refrigeration and chillers.","Refrigeration/Refrigerants, Industrial Gas & Glycol/Refrigerants, Industrial Gas & Glycol.csv -> A-Gas R134a rental cylinder 13kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/16/NW-684816_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R134A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_Pressure_Temperature_Chart.pdf,,,,,,,,,,,,,,,,,,,
