,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Battery Life,Power Supply,Application,Attachment 3,Pack Quantity,Weight,Feature 9,Attachment 4
0,PS30073,"Rems Multi-angle mini pressing ring set M(M15,M22, M28, Mini-Z8)",Rems,684.58,"This REMS multi-angle mini pressing ring set includes M15, M22, M28 and Mini-Z8 rings for use with the brand's Mini Press.","Trade Essentials/Power Tools/Power Tools.csv -> Rems Multi-angle mini pressing ring set M(M15,M22, M28, Mini-Z8)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/73/S30073_wm.jpg,N,411 x 251 x 70,574618,M-profile,N,Includes 4x pressing rings,For use with REMS Mini Press,,,,,,,,,,,,,,,,,
1,PM90850,Geberit Mapress pressing collar 54mm,Geberit,680.82,"Made of steel, this Geberit Mapress 54mm pressing collar is suitable for operating pressures up to 25 bar.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress pressing collar 54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/NW-M90849_M90850_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
2,PM43343,Geberit Mapress 690.125.00.1 pressing jaw 28mm,Geberit,152.88,"Designed for use with Geberit-compatible Mapress pressing toolss, this Geberit Mapress 28mm press jaw is made of a tough metal with zinc plating.  Highly robust, this jaw is suitable for industrial use. For pressing tools with Geberit compatibility [1]",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress 690.125.00.1 pressing jaw 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M43343_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
3,PT86480,Rothenberger compact twin turbo press jaw M35 x 35mm,Rothenberger,111.95,"This Rothenberger Romax 35mm twin turbo press jaw presses diameters of 12 - 35mm. Its twin cylinder design, keeping the motor and piston in parallel, reduces the tool's total length to just 340mm, while a centralised centre of gravity reduces fatigue during use.",Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger compact twin turbo press jaw M35 x 35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/80/NW-T86479_T86480_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,
4,PM90846,Geberit Mapress adaptor jaw,Geberit,264.93,"Made of steel, this Geberit Mapress adapter jaw offers ease of cleaning and maintenance.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress adaptor jaw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/NW-M90846_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
5,P830325,Regin vessel jet - digital,Regin,110.6,"German designed, this Regin vessel jet is a professional hand held air compressor, easier to use than a hand or foot pump, particularly in restricted spaces. Portable, versatile and durable, this vessel jet is ideal for inflating on the go.",Trade Essentials/Power Tools/Power Tools.csv -> Regin vessel jet - digital,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/25/NW-830325_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Regin_REGK01_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,
6,PT00216,Milwaukee Inkzall marker pen Black,Milwaukee,1.57,"Durable and reliable, this Milwaukee Inkzall marker has clog resistant tips, doesn't dry out when the cap is left off and can write through dusty, wet or oily surfaces, making it ideal for use on site. The pen's durable marker tips are suitable for writing on rough surfaces like OSB, cinder block and concrete and ink dries quickly to reduce smearing.",Trade Essentials/Power Tools/Power Tools.csv -> Milwaukee Inkzall marker pen Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/16/NW-T00216_wm.jpg,N,,48223100,Marker,N,"Writes on dusty, wet and oily surfaces","Durable marker tip for writing on concrete, OSB and rough surfaces",,,Inkzall,Built-in hard hat storage clip,Fine point,Ink dries in seconds,Lanyard hole,Anti-roll body design,Non-toxic ink,,,,,,,,
7,PT02644,Rothenberger dry diamond core drill bit 65 x 150mm,Rothenberger,39.27,"This Rothenberger 65 x 150mm dry diamond core drill bit is compatible with both standard and rotary SDS electric drills. It is manufactured with a 1/2"" BSP female thread and has a diamond segment measuring 7mm.",Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger dry diamond core drill bit 65 x 150mm,,1x Core Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/44/T02644_wm.jpg,N,,89005R,Dry Diamond Core Drill Bit,N,,,,,,,,,,,,,,,,,,,
8,PM15517,Geberit Mapress set of jaws (for afp101) 22mm,Geberit,150.04,"Made of stainless steel, this Geberit Mapress pressing jaw has maximum jaw diameter of 22mm.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress set of jaws (for afp101) 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/17/NW-M15517_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
9,PM43355,Geberit Mapress pressing jaws 12/15/18/22/28/35mm,Geberit,1100.16,"The Geberit Mapress pressing jaws set, which includes six jaws of different sizes, a pipe cutter, deburrer and template, is suitable for pressing Geberit Mapress press fittings. Suitable for industrial use, this convenient kit is compatible with the brand's ACO 203 Plus pressing tool and other Geberit-suitable tools.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Mapress pressing jaws 12/15/18/22/28/35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/55/M43355_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M43355_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/M43355_User_Guide.pdf,,,,,,,,,,,,,,,
10,PM32649,Geberit Flowfit FlowFit Pressing jaw [2] 50/63/75mm,Geberit,770.43,"Suitable for diameters of 50, 63 and 75mm, this Geberit FlowFit pressing jaw kit is for use with compatible Geberit pressing tools. Lightweight and conveniently designed, these jaws require the placement of the jaw on only one side of a fitting, simply turning the pressing point in 45° increments until it reaches an accessible point. This system makes working overhead and in tight spaces, even when dealing with larger dimensions, easy. With colour-coded markings on pressing indicators matching jaws to pipe sizes is simple while FlowFit's clever detachable on-pipe pressing indicator makes it possible to keep track of your work with no need to slow things down.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit Flowfit FlowFit Pressing jaw [2] 50/63/75mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32649_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M32649_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/M32649_Install.pdf,,,,,,,,,,,,,,,
11,PT86486,Rothenberger Compact III M15-22-28 CAS 2AH Press Jaw Set,Rothenberger,1278.96,"Supplied with a variety of pressing jaws, the Romax Compact III is an electro-hydraulic radial press machine suitable for system-compliant pressing of metal and plastic fittings. Suitable for use in challenging positions, this comfortable, easy to operate press uses a piston force of 19kN and has a press cycle of 3 seconds. Meanwhile, Constant Force Technology (CFT) ensures pressing force over the complete pressing cycle. The Compact III is app-compatible, allowing users to collect real-time data of machine parameters and create press protocols on-site for easier ongoing working.",Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger Compact III M15-22-28 CAS 2AH Press Jaw Set,,"M15, M22 and M28 M-profile jaws;2.0Ah battery;battery charger;carry case",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/86/T86486_wm.jpg,N,,1000004332,Pressing Jaw,N,For industrial use,Real-time pressing data available through Rothenberger app,,,Compact III,Offers 3 second pressing via effective pressure build-up,Presses fittings up to Ø 35mm in metal and Ø 40mm in plastic,Perfectly balanced center of gravity for comfortable work,Just 2.5kg weight distributed over 340mm length,Offers 240 presses per charge,,240 Presses per charge,18v,Industrial,,,,,
12,PP96247,Geberit adaptor jaw,Geberit,678.07,This Geberit Mapress press fit adapter jaw is suitable for use with the Geberit pressing tool ACO 203XL Plus and the Geberit Mapress 2XL (76.1mm) and 3 (88.9mm) pressing collars. It is suitable for pressing large diameter 76.1 to 108mm Mapress fittings.,Trade Essentials/Power Tools/Power Tools.csv -> Geberit adaptor jaw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/47/P96247_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/P96247_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/P96247_Tech_Sheet.pdf,,,,,,,,,,,,,,,
13,PM43266,Geberit pressing tool,Geberit,1903.21,This Geberit pressing tool is suitable for use in sanitary and piping applications.,Trade Essentials/Power Tools/Power Tools.csv -> Geberit pressing tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/66/NW-M43266_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
14,PT86856,Rothenberger Romax 4000 electro-hydraulic press machine set mannesmann 15/22/28mm,Rothenberger,1143.99,"Lightweight to reduce user fatigue and increase comfort, this Rothenberger Romax 4000 electro-hydraulic press machine set includes fast change jaws in 15, 22 and 28mm sizes. It is powered by replaceable Li-Ion 4All 18V battery platforms and is suitable for the system dependent pressing of 32 - 34kN fittings.",Trade Essentials/Power Tools/Power Tools.csv -> Rothenberger Romax 4000 electro-hydraulic press machine set mannesmann 15/22/28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/56/NW-T86856_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rothenberger_Romax_4000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,
15,PV33198,Milwaukee M12 hydraulic presstool Mset,Milwaukee,1428.7,"Compact and light, weighing just 1.8kg, the Milwaukee M12 sub compact force logic hydraulic press tool combines powerful results with user comfort. Offering seamless battery-to-tool communication, which prevents incomplete pressing using a pre-press battery check, this smart tool minimises wasted time and frustration while ensuring long-term reliability, providing a proven 40,000+ cycles between calibration inspections. This tool is fitted with a RedLithium battery pack for fade-free performance for longer runtime and an improved tool lifespan.",Trade Essentials/Power Tools/Power Tools.csv -> Milwaukee M12 hydraulic presstool Mset,,Press tool;2x M12 B2 battery packs;C12 C charger;Kit box,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/98/NW-V33198_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Milwaukee_M12_HPT_202C_M_Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/V33198_Technical.pdf,,,,,,,,,,,,,,,
16,PP95888,Geberit pressing tool and case (aco102) 230v 50-60hz,Geberit,1563.83,"Used for Geberit pressing systems, this Geberit hydraulic pressing tool with lithium-ion battery has a Bluetooth interface for convenient connection to the NovoCheck app.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit pressing tool and case (aco102) 230v 50-60hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/88/NW-P95888_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P95888_Technical.pdf,,,,,,,,,,,,,,,,
17,PP58477,Geberit grease pencil with retractable lead Yellow,Geberit,15.18,"This practical Geberit grease pencil is suitable for making marks on Geberit push-fit, Mepla and Volex system pipes.",Trade Essentials/Power Tools/Power Tools.csv -> Geberit grease pencil with retractable lead Yellow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/77/NW-P58477_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,
18,PS93071,Rems lithium-ion battery 1.6ah 14.4v,Rems,220.87,"IP-rated, this REMS lithium-ion battery has a 14.4V, 1.5 Ah capacity.",Trade Essentials/Power Tools/Power Tools.csv -> Rems lithium-ion battery 1.6ah 14.4v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/72/NW-S93071_S93072_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rems_Battery_Safety_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Rems_571545_MSDS.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Rems_Product_Catalogue_2020.pdf,,,,
19,PS93840,Rems Mini-Press R220G mini press promo pack 22V (1),Rems,2098.17,"Compact and lightweight, the Rems Mini-Press 22V ACC promo pack presses in under four seconds using an automatic pressing process with automatic circuit control. Durable and efficient, this press tool is made of specially hardened steel for long lasting durability.",Trade Essentials/Power Tools/Power Tools.csv -> Rems Mini-Press R220G mini press promo pack 22V (1),,"Mini-Press;2x Li-Ion 21.6V, 2.5Ah batteries;Rapid charger;System case;M15 pressing tong mini;M22 pressing tong mini;M28 pressing tong mini;M35 pressing tong mini",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/40/S93840_wm.jpg,N,,578X14,Promo Pack,N,22KN capacity,"Highly durable pressing tongs/pressing rings made of forged, tenacious, specially hardened special steel",,,Mini-Press,,,,,,,,22 V;2.5 Ah batteries,Press Tool,,1,138 kg,,
