,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Type,Diameter,Operating Temperature,Warranty,Weight,Hazardous,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10
0,PL13466,TracPipeCC FGP flexible gas pipe DN32 x 45mtr (Per Meter),TracPipeCC,30.42,This TracPipe FGP 32mm yellow gas pipe is supplied in 45M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN32 x 45mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PL13038,"TracPipe FGP male BSP adaptor 54mm x 2""",TracPipe,160.93,"This TracPipe FGP 54mm x 2"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP male BSP adaptor 54mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/38/NW-L13034_L13038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PL13445,TracPipe FGP adaptor compression fit 32 x 22mm,TracPipe,80.06,This TracPipe FGP 32 x 22mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP adaptor compression fit 32 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
3,PL13457,TracPipe FGP compression adaptor fitting 28mm,TracPipe,90.43,This TracPipe FGP 32 x 28mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP compression adaptor fitting 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/57/NW-L13457_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PL13064,TracPipe FGP coupling 22mm,TracPipe,36.27,This TracPipe FGP 22 x 22mm AutoFlare coupling has compression ends.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP coupling 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/67/NW-L13064_L13067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PL13459,TracPipeCC FGP flexible gas pipe DN15 x 30mtr (Per Meter),TracPipeCC,12.24,This TracPipe FGP DN15 yellow gas pipe is supplied in 30M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN15 x 30mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PL13035,TracPipe FGP male BSP adaptor 28mm x 1'',TracPipe,29.87,"This TracPipe FGP 28mm x 1"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe FGP male BSP adaptor 28mm x 1''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/38/NW-L13034_L13038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
7,PL13068,TracPipe coupling 50mm,TracPipe,256.63,"Manufactured in brass, this TracPipe 50mm coupling with AutoFlare connection is part of the comprehensive TracPipe range. Made up of pliable corrugated stainless steel gas pipes, TracPipe is an un-annealed alternative to rigid copper or steel. Highly resistant to damage and crushing, TracPipe is ideal  for site work and for use in industrial or commercial applications, offering suitability for external or internal use. It can also be buried in the ground or in screed with no need for corrosion or mechanical protection. Four times stronger than equivalent products, TracPipe features a polyethylene cover incorporating flame spread and smoke density inhibitors for high levels of compliance.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipe coupling 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/cp/lg/NPA071 - CPLG_wm.jpg,,,AutoFlare®,DN50 x DN50,-28.8 ... 93.2,"1 Year from the date of installation, or for 18 months from date of sale, whichever occurs first",21kg,N,Brass,50 mm,Mechanical,Mechanical,FGP-CPLG-50,Brass Coupling,N,UK manufactured,Used predominantly from meter to appliance,"Suitable for domestic, industrial and commercial applications","Suitable for 1st, 2nd and 3rd family gases",Bend by hand with no specialist tools,Saves up to 75% on installation time,"No threading, welding or soldering needed",Lightweight and easy to transport,Withstands normal shrinkage and movement,Maximum operating pressure 500mbar
8,PL13464,TracPipeCC FGP flexible gas pipe DN28 x 55mtr (Per Meter),TracPipeCC,21.56,This TracPipe FGP DN28 yellow gas pipe is supplied in 55M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN28 x 55mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PL13469,TracPipeCC FGP flexible gas pipe DN40 x 60mtr (Per Meter),TracPipeCC,41.24,This TracPipe FGP 40mm yellow gas pipe is supplied in 60M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Gas Fittings/Stainless Steel Gas Fittings.csv -> TracPipeCC FGP flexible gas pipe DN40 x 60mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
