,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Connection Type,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Colour,Diameter,Waste Diameter,Warranty,Weight,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Feature 5,Feature 6,Feature 7,Feature 8,Range,Approvals,Min Bar Pressure,Operating Pressure,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,PF42063,"McAlpine CLAMP1GR pipe clamp 1.1/2"" x 1.1/4"" x 22mm Grey",McAlpine,14.75,"This McAlpine grey pipe clamp is designed for connecting 1 1/4 to 1 1/2"" pipe to BS EN 1451-1:2000/BS EN 1329-1:2000 standards.","Drainage/Wastes and Traps/Wastes and Traps.csv -> McAlpine CLAMP1GR pipe clamp 1.1/2"" x 1.1/4"" x 22mm Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/63/NW-F42063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F42063_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF13405,"Center CB tubular P-trap 1.1/2"" 40mm",Center CB,5.26,This Center CB 40mm P trap is made of polypropylene and has a 150mm length. It incorporates compression connections and a 75mm adjustable seal.,"Drainage/Wastes and Traps/Wastes and Traps.csv -> Center CB tubular P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/05/NW-F13405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_Drainage_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/01/19/Drainage Guide PDF 300119.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF13455,"Center CB adjustable tubular P-trap 1.1/2"" 40mm",Center CB,4.74,This Center CB 40mm P trap is made of polypropylene and has a 150mm length. It incorporates compression connections and a 75mm adjustable seal.,"Drainage/Wastes and Traps/Wastes and Traps.csv -> Center CB adjustable tubular P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/55/NW-F13455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Center_Drainage_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/01/19/Drainage Guide PDF 300119.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF13435,"Center CB bottle P-trap 1.1/2"" 40mm",Center CB,4.32,"Center CB bottle P-trap is made of polypropylene. The Center waste trap range features a wide variety of trap configurations, so whatever need to drain waste water from, be that a sink, basin, bath, shower, bidet, washing machine or dishwasher, comprehensive range has all your needs covered.","Drainage/Wastes and Traps/Wastes and Traps.csv -> Center CB bottle P-trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/35/NW-F13435_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF13460,"Center CB washing machine trap plus tee 1.1/2"" 40mm",Center CB,7.5,"Center CB washing machine trap is made of polypropylene. The Center waste trap range features a wide variety of trap configurations, so whatever need to drain waste water from, be that a sink, basin, bath, shower, bidet, washing machine or dishwasher, comprehensive range has all your needs covered.","Drainage/Wastes and Traps/Wastes and Traps.csv -> Center CB washing machine trap plus tee 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/60/NW-F13460_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF43016,"McAlpine shallow seal bath P-trap 1.1/2"" x 19mm",McAlpine,4.84,"This McAlpine Q10 shallow seal bath P trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/4"" BSP x 19mm water seal compression connections.","Drainage/Wastes and Traps/Wastes and Traps.csv -> McAlpine shallow seal bath P-trap 1.1/2"" x 19mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/16/NW-F43016_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Q10_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_Q10_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FloPlast_Soil_and_Waste_brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF42303,"McAlpine WM3 washing machine standpipe trap 1.1/2""",McAlpine,10.75,"This McAlpine washing machine standpipe trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/2"" Multifit x 75mm water seal compression connections.","Drainage/Wastes and Traps/Wastes and Traps.csv -> McAlpine WM3 washing machine standpipe trap 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/03/NW-F42303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_WM3_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Domestic_Traps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF42302,"McAlpine WM2 seal washing machine P-trap 1.1/2""x 3""",McAlpine,12.26,"This McAlpine seal washing machine trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/2"" BSP x 75mm water seal compression connections.","Drainage/Wastes and Traps/Wastes and Traps.csv -> McAlpine WM2 seal washing machine P-trap 1.1/2""x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/02/NW-F42302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_WM2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FloPlast_Soil_and_Waste_brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Domestic_Traps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF13465,"Center CB washing machine trap 1.1/2"" 40mm",Center CB,6.5,"Center CB washing machine trap is made of polypropylene. The Center waste trap range features a wide variety of trap configurations, so whatever need to drain waste water from, be that a sink, basin, bath, shower, bidet, washing machine or dishwasher, comprehensive range has all your needs covered.","Drainage/Wastes and Traps/Wastes and Traps.csv -> Center CB washing machine trap 1.1/2"" 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/65/NW-F13465_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF42310,"McAlpine P-trap plus 2 appliance nozzle 1.1/2""",McAlpine,12.99,"This McAlpine P trap plus two appliance nozzle sink trap is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/2"" BSP x 75mm water seal compression connections.","Drainage/Wastes and Traps/Wastes and Traps.csv -> McAlpine P-trap plus 2 appliance nozzle 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/10/NW-F42310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_WM11_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_Domestic_Traps_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
