,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Range,Nominal Heating (kW),Max Sound Pressure,Nominal Cooling (kW),Feature 7,Warranty,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,UK Sensible Cooling,Max Airflow (m/min),Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6,Attachment 7
0,P610067,Fujitsu AOEG24KMTA 7KW Standard Wall Outdoor,Fujitsu,676.5,"A compact design suitable for a wide variety of settings, the Fujitsu Standard 7kW outdoor unit uses DC multi inverter technology for quieter running, reducing its impact on your surroundings. Meanwhile, this R32 compatible air con unit also reduces energy consumption, helping to improve efficiency without compromising on cooling comfort.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG24KMTA 7KW Standard Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/67/610067_wm.jpg,42,1,R-32,N,315,16,1/2,1/4,AOEG24KMTA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
1,P610075,Fujitsu AOEH12KLTA 3.6KW Eco Wall Outdoor,Fujitsu,302.58,"A sleek design to blend effortlessly into an outdoor area, the Fujitsu Eco 3.6kW outdoor air conditioning unit is designed to be wall-mounted. Thanks to inbuilt DC multi-inverter technology, this silent air con unit minimises energy consumption and maximises efficiency for guilt-free cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH12KLTA 3.6KW Eco Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/75/610075_wm.jpg,22,1,R-32,N,290,10,.3/8,1/4,AOEH12KLTA,Split Outdoor unit,N,Highly efficient,Low ambient operation,Compatible with R32 refrigerant,Compact design,,,,,,,,,,,,,,,,,,,,,,,,
2,P697540,Fujitsu Standard AOYG12KBTB R32 Outdoor Unit 3.4KW,Fujitsu,503.07,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 3.5kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG12KBTB R32 Outdoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/41/NW-697540_697541_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/du/ct/Fujitsu_R32_Medium_Pressure_Duct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AUXG09_Technical_Manual.pdf,,,,,,,,,,,,,,,,,,,,,
3,P616507,Fujitsu Multi Split AOYG36KBTA5 5 Way 1 Phase Multi Outdoor Unit 9.5KW,Fujitsu,1827.78,"Compact and quiet, this Fujitsu five way single phase 9.5kW outdoor unit operates efficiently, offering an A++ seasonal efficiency rating for heating and A+++ for cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Multi Split AOYG36KBTA5 5 Way 1 Phase Multi Outdoor Unit 9.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/07/NW-616506_616507_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Multi-Split_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,P616504,Fujitsu Multi Split AOYG18KBTA3 3 Way 1 Phase Multi Outdoor Unit 5.4KW,Fujitsu,976.62,"Compact and quiet, this Fujitsu three way single phase 5.4kW outdoor unit operates efficiently, offering an A++ seasonal efficiency rating for heating and A+++ for cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Multi Split AOYG18KBTA3 3 Way 1 Phase Multi Outdoor Unit 5.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/05/NW-616504_616505_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fujitsu_Multi-Split_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,P610066,Fujitsu AOEG24KBCA3 7KW 3 Way Multi Outdoor,Fujitsu,1079.94,"Compatible with a wide variety of indoor units, the Fujitsu R32 6.8kW three-way multi-split inverter outdoor air conditioning unit is the ideal base for a bespoke air conditioning system. This unit minimises energy use thanks to its inbuilt DC multi-inverter technology, helping to save up to 50% on energy usage compared to conventional AC models. Offering quick, even cooling, the multi-split inverter outdoor unit is ideal for large spaces where cool comfort is in high demand.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG24KBCA3 7KW 3 Way Multi Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/66/610066_wm.jpg,46,1,R-32,N,315,20,"3/8 x2, 1/2 x1",1/4 x3,AOEG24KBCA3,Multi Split Outdoor unit,N,Multi-split,Compact design,Quiet operation,Highly efficient,,,,Compatible with R32 refirgerant,,,,,,,,,,,,,,,,,,,,
6,P610072,Fujitsu AOEH09KLTA 2.6KW Eco Wall Outdoor,Fujitsu,266.91,"A sleek design to blend effortlessly into an outdoor area, the Fujitsu Eco 2.6kW outdoor air conditioning unit is designed to be wall-mounted. Thanks to inbuilt heat pump inverter technology, this silent air con unit minimises energy consumption and maximises efficiency for guilt-free cooling.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEH09KLTA 2.6KW Eco Wall Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/72/610072_wm.jpg,19,1,R-32,N,290,10,.3/8,1/4,AOEH09KLTA,Split Outdoor unit,N,Slimline design,Energy saving operation,Comfortable airflow,Silent operation,,,,Low ambient operation,R32 compatible,,,,,,,,,,,,,,,,,,,
7,P602064,Fujitsu Standard AOYG36KRTA R32 3 Phase Outdoor Unit 9.5KW,Fujitsu,1269.98,"Employing earth-friendly R-32 refrigerant, the Fujitsu Standard Universal 9.5kW outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Standard Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu Standard AOYG36KRTA R32 3 Phase Outdoor Unit 9.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/64/NW-602064_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/rd/Fujitsu_AOYG-KRTA_Ceiling_ Standard.pdf,,,,,,,,,,,,,,,,,,,,,,
8,P650346,Fujitsu VRF AJY045LCLDH Vrf 14KW J-Ivs Outdoor,Fujitsu,2209.97,"Ideal for installation in challenging spaces, the lightweight Fujitsu 14kW J-IVS two-pipe, single phase outdoor VRV unit has a compact size and flexible pipe design. This unit can be used in both commercial and domestic premises and offers the ability to connect to other units of various types and capacities.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu VRF AJY045LCLDH Vrf 14KW J-Ivs Outdoor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/43/650343_wm.jpg,86kgs,Single phase 1,R410a,N,370,,15.88 mm,9.52 mm,AJY045LCLDH,R410A Refrigerant,N,Easy siting and installation,"Compact, lightweight design",Low noise during operation,Long piping length,,,,Suitable for connection of up to 13x units,Compatible with R410A refrigerant,VRF,14,Cooling: 53 dB(A); Heating: 56 dB(A),14,Single phase,,,,,,,,,,,,,,
9,P700786,Fujitsu AOEG36KATA eco universal outdoor unit 9.5kW - R32,Fujitsu,938.49,"Employing earth-friendly R-32 refrigerant, the Fujitsu Eco Universal Outdoor air conditioning unit is designed to help homes, offices, restaurants and shops enjoy quiet, effective cooling while minimising environmental impact. Fujitsu Eco Universal air conditioners are manufactured with highly efficient heat pump inverter technology designed to conserve electricity usage.",Air Conditioning/Fujitsu R32 Outdoor Units/Fujitsu R32 Outdoor Units.csv -> Fujitsu AOEG36KATA eco universal outdoor unit 9.5kW - R32,,Unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/86/700786_wm.jpg,52 kg,1,R-32,N,320,25,0.625,0.375,AOEG36KATA,Outdoor Unit,N,Nom. Cooling Capacity: 9.5kW,Nom. Heating Capacity: 10.8kW,Height: 788mm  • Width: 940mm,Depth: 320mm  • Weight: 52kg,,,,"Pipe Sizes: 3/8"" & 5/8""",Max Pipe Run (Height Difference): 30 (30) m,,10.8,55 dB,9.5,,3 Years,A+,9.03,A++,6.83,3750 M/min,,,,,,,,
