,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection,Connection Size,Hazardous,Material,Thread Size,Working Pressure,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Range,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 4,Attachment 5,Attachment 6
0,PK81191,Danfoss AMZ AMZ112 internally threaded 2-port valve with actuator DN20 230v 6bar 41m3/h,Danfoss,145.0,"This Danfoss AMZ motorised control valve with 3/4"" BSPT female connections is suitable for commercial central heating, solar energy plants and HVAC. It can be used for priority control of hot water supply and heating or priority control of boiler and solid fuel installations (diverting function).",Heating/Burner Parts/Valves/Valves.csv -> Danfoss AMZ AMZ112 internally threaded 2-port valve with actuator DN20 230v 6bar 41m3/h,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-K81191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_AMZ_Operation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AMZ_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P364443,Fantini Banico ZEV ZEVF100 gas solenoid valve automatic-reset 100mm 230v,Fantini Banico,662.61,"Suitable for use in natural gas, LPG and propane applications, this 230V Fantini Banico gas solenoid valve with 100mm BSP connection and automatic reset provides a safely controlled shut-off for gas feed pipes. With 1/4"" inlet and outlet plugs, this valve is compatible with CPI switch and pressure gauges and can be used for connection to proving and interlock systems.",Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico ZEV ZEVF100 gas solenoid valve automatic-reset 100mm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/43/NW-364441_364443_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P364436,"Fantini Banico gas solenoid valve automatic-reset 2"" 230v",Fantini Banico,126.75,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 2"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico gas solenoid valve automatic-reset 2"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P417696,"Goldseal GSV GSV 50 gas solenoid valve 50mm 2"" 230V BSP EN161",Goldseal,172.04,"Ideal for gas distribution applications, this Gold Seal GSV gas solenoid valve with 2"" BSPT female connection provides isolation and emergency shut-off. Compatible with  a variety of hydrocarbon gases, including natural gas, methane and liquid petroleum gas, this valve incorporates a blue neon light, giving a visual indication that power is at the gas solenoid valve and working correctly, providing an added level of safety.","Heating/Burner Parts/Valves/Valves.csv -> Goldseal GSV GSV 50 gas solenoid valve 50mm 2"" 230V BSP EN161",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/96/417696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Gold_Seal_GSV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Gold_Seal_GSV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P449606,"Asco L182 solenoid valve 3/4"" 230v",Asco,77.7,"Suitable for use in a broad range of industrial applications, this Asco series L182 general purpose solenoid valve is designed to control water, air, inert gases, steam and non-aggressive fluids. It is supplied with G 3/4"" connections.","Heating/Burner Parts/Valves/Valves.csv -> Asco L182 solenoid valve 3/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/07/NW-449605_449607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Asco_L182_Solenoid_Valve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Asco_Solenoid_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P364433,"Fantini Banico gas solenoid valve with automatic reset 1"" 230v",Fantini Banico,65.17,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 1"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico gas solenoid valve with automatic reset 1"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,P364432,"Fantini Banico gas solenoid valve automatic-reset 3/4"" 230v",Fantini Banico,52.45,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 3/4"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico gas solenoid valve automatic-reset 3/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,P302645,"Schneider Electric MBX 3 port low pressure hot water valve 2 "" cv=32",Schneider Electric,391.42,"This Schneider Electric MBX three port low pressure hot water valve meets the needs of a wide variety of operating conditions and applications. It includes 2"" female BSP connections.","Heating/Burner Parts/Valves/Valves.csv -> Schneider Electric MBX 3 port low pressure hot water valve 2 "" cv=32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/45/NW-302643_302645_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/SE_MBX_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/SE_Satchwell_Prod_Sel_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P329586,Watts Industries Black Teknigas class a gas solenoid valve 1/2inch,Watts Industries,129.22,"Provided with a 1/2"" BSP connection, this Watts Industries Black Teknigas solenoid valve is used first and foremost as a gas safety shut-off valve for gas families 1 (town gas), 2 (natural gas) and 3 (LPG). Also suitable for use as a control and safety valve for automatic burners or as a pilot valve, this solenoid valve is compatible with air provided it is within the valve's pressure range.",Heating/Burner Parts/Valves/Valves.csv -> Watts Industries Black Teknigas class a gas solenoid valve 1/2inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/86/NW-329586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Black_Tecknigas_Combustion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P364434,"Fantini Banico gas solenoid valve with automatic reset 1.1/4"" 230v",Fantini Banico,92.86,"Used for safe, controlled gas feed pipe shut-off, this Fantini Banico gas solenoid valve with 1 1/4"" BSP connection is suitable for natural gas, propane and LPG. The 1/4"" inlet and outlet plugs are suitable for CPI switch and pressure gauges and for connection to proving and interlock systems.","Heating/Burner Parts/Valves/Valves.csv -> Fantini Banico gas solenoid valve with automatic reset 1.1/4"" 230v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/38/NW-364432_364438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_ZEV_F_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_ZEV_Solenoid_Valve_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Banico_ZEV_Solenoid_Valve_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
