,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Gender,Length (M)
0,PP05484,Uponor Uni Pipe PLUS pipe 32 x 3mm x 50mtr White,Uponor,9.12,"Safe and stable, this Uponor Uni Pipe Plus 32mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 32 x 3mm x 50mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Uni_Pipe_PLUS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P503690,Pegler VSH Tectite MLCP tube (25mtr coil) 15mm,Pegler,3.53,"Made of MLCP, this Pegler Yorkshire Tectite 15mm tube saves on installation time and cost thanks to its uniquely fast push-fit connections. Highly reliable, this versatile tube is supplied in 25M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Pegler VSH Tectite MLCP tube (25mtr coil) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/93/NW-503690_503693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_ETA_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP05486,Uponor Uni Pipe PLUS pipe 20 x 2.25mm x 3mtr White,Uponor,4.75,"Safe and stable, this Uponor Uni Pipe Plus 20mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 20 x 2.25mm x 3mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/88/NW-P05480_P05488_wm.jpg,,,,White,Uni Pipe Plus,N,WRAS,(PE-RT) Aluminium,20 mm (Dia),2.25,Press fit,Plain End,1060784,Multilayer Composite Pipe,N,Seamless or OWC technology for high level of safety,High dimensional stability,Low expansion rates,Increased flexibility,100% oxygen barrier,Lightweight design,Fire classification E according to EN 13501-1,With pipe end caps as hygienic seal according EN 806,3M length,2.25mm wall thickness,,,,,,,,,,,,,,,
3,PP95550,Uponor MLC insulated pipe 13mm 25 x 2.5mm 50mtr Blue,Uponor,11.51,"This Uponor MLC 13mm, 2.5mm thick pipe-in-pipe is designed for integration into a building structure and can be safely covered with screed. Withdrawn without causing structural damage, this water regs compliant pipe-in-pipe is supplied in 50M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor MLC insulated pipe 13mm 25 x 2.5mm 50mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/50/NW-P95550_wm.jpg,,,,Blue,MLC,N,BS EN 13501-1,Cross-Linked Polyethylene (PE-X),13 mm,2.5,,,1094883,Mlcp Pipe,N,Suitable for hot and cold and heating systems,Suitable for recirculation hot water systems,PE-X material construction,Meets BS EN 13501-1,Complies with water regulations 1999,,,,,,,,,,,,,,,,,,,,
4,PM32704,Geberit m of flowfit pipe 20mm in 50m coil,Geberit,4.17,"This Geberit FlowFit 20mm pipe is supplied in a 50M coil. It is part of an extensive multilayer pipe system that blends the convenience of synthetics with the robustness of metal for a flexible, hygienic and hardwearing potable water solution that's also suitable for radiator connections. Complying with hygiene standards, the complete system can be installed without prior water analysis and is supplied with protective plugs for removal during installation, providing further protection from contamination. Geberit multilayer pipes are manufactured with a protective PE-RT outer layer that resists corrosion and mechanical damage. Inside, an aluminium middle layer provides stability, flexibility and provides a barrier against diffusion, while the inner PR-RT layer is corrosion resistant and food safe.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Geberit m of flowfit pipe 20mm in 50m coil",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/04/M32704_wm.jpg,,,,,,N,BS EN 806 and DIN 1988DVGW system  approval mark (DW-8801CP0060),PE-RT II / Aluminium / PE-RT IIMultilayer,50m,,Plain End,,619.051.00.1,Multilayer System Pipe,N,Compatible with Geberit FlowFit and PushFit,For cold and hot potable water,For cooling and heating water with or without antifreeze agent,Suitable for service and process water and treated water,Compatible with rainwater with a pH value of <gt/> 6.0,"Suitable for seawater, wet, wet/dry and dry extinguishing water","Compatible with chemicals, technical liquids and compressed air (oil purity class 0–3)",For negative pressure and inert gases (e.g. nitrogen),"Ideal for technical building systems, industry and shipbuilding",Inherently stable,Equal,20 mm,20 mm,20 mm,Can be bent by hand,Forms a barrier against diffusion,Silver grey RAL 7001 exterior,With transparent protection plug,"PE-RT II, aluminium and PE-RT II construction",7µm surface roughness,Thermal expansion of 0.026 mm/(m·K),"Thermal conductivity, pipe 0.41 W/m·K/Meets BS EN 806 and DIN 1988",With DVGW system approval mark (DW-8801CP0060),,
5,PP08603,Uponor Uni Pipe PLUS pipe 16 x 2mm x 50mtr White,Uponor,2.17,"Safe and stable, this Uponor Uni Pipe Plus 16mm multilayer composite pipe is designed for tap water and heating or cooling applications. The pipe's bend radius is up to 40% smaller than similar multilayer composite pipes with changes of direction easily achieved during installation by simply bending the pipe, reducing the amount of fittings required and saving on time.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe PLUS pipe 16 x 2mm x 50mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/03/NW-P08603_wm.jpg,,,,White,Uni Pipe Plus,N,WRAS,Polyethylene of Raised Temperature (PE-RT)Aluminium,16 mm,2,Plain End,n/a,1096008,Multilayer Composite Pipe,N,PE construction,Up to 40% less bending radius compared to conventional multilayer pipes,0% readjustment,Pipe stays in shape after bending,Up to 15% less fittings required,Compatible with all Uponor MLCP pipes and fittings,WRAS approved,,,,,,,,,,,,,,,,,,
6,PR12561,Riifo F5 F5-L2025X2025NI 25mm Elbows,Riifo,5.33,"Offering ease of fitting and reliable security, this Riifo F5 25mm 90° elbow is manufactured in corrosion resistant nickel-plated brass. The included double O-ring ensures reliable sealing while the risk of stress cracks is reduced by the annealing process.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Riifo F5 F5-L2025X2025NI 25mm Elbows",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/43/598643_wm.jpg,,,,,F5,N,WRAS,Nickel Plated Brass,25 x 25mm,,Press,,1100042298,F5 90° Elbow,N,U pressing profile,"Easy, secure installation",Cost-effective choice,Corrosion resistant nickel plating,Machined using horizontal machining centers,Surface finish degree of no more than Ra3.2m,WRAS approved,,,,Equal,25 mm,,25 mm,,,,,,,,,,,
7,PP08602,Uponor Uni Pipe Plus insulated pipe 20 x 2.25mm x 75mtr White / Red,Uponor,9.55,This Uponor Uni Pipe Plus 20mm insulated pipe is comprised of a pipe coil with round extruded pipe insulation made of a polyethylene foam with closed-cell material structure and lined with seamless aluminium.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe Plus insulated pipe 20 x 2.25mm x 75mtr White / Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/02/NW-P08599_P08602_wm.jpg,,,,White / Red,Uni Pipe Plus,N,WRAS,(PE-RT) Aluminium,20 mm (Dia),2.25,Press fit,Plain End,1093955,Pipe,N,Consists of pipe and insulating layer,Supplied in coils,Round extruded pipe insulation made of polyethylene foam with closed-cell material structure,"Sturdy, seamless foil coating",Blue/white colour,75M length,For 2.25mm wall thickness,,,,,,,,,,,,,,,,,,
8,PP05489,Uponor Uni Pipe Plus insulated pipe 16 x 2mm x 1mtr (min order 75mtr) White / Blue,Uponor,6.62,This Uponor Uni Pipe Plus 16mm insulated pipe is comprised of a pipe coil with round extruded pipe insulation made of a polyethylene foam with closed-cell material structure and lined with seamless aluminium.,"Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Uponor Uni Pipe Plus insulated pipe 16 x 2mm x 1mtr (min order 75mtr) White / Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/89/NW-P05489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P503692,Pegler VSH Tectite MLCP tube (25mtr coil) 22mm,Pegler,7.06,"Made of MLCP, this Pegler Yorkshire Tectite 22mm tube saves on installation time and cost thanks to its uniquely fast push-fit connections. Highly reliable, this versatile tube is supplied in 25M lengths.","Pipe, Valves and Fittings/Plastic Pipe/MLCP Pipe/MLCP Pipe.csv -> Pegler VSH Tectite MLCP tube (25mtr coil) 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/93/NW-503690_503693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_ETA_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
