,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Feature 5,Feature 6
0,PC31013,Nabis Sense vanity unit with basin 600mm White Gloss,Nabis,135.45,"The modern Nabis Sense 883 x 600 x 440mm two-door vanity unit is made of wood with a clean and durable gloss white finish. With two soft close doors, this bathroom cabinet provides plenty of storage for all of your bathroom essentials.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Sense vanity unit with basin 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/13/NW-C31013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Sense_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/as/in/Nabis_Sense_600_Basin.pdf,,,,,,,,,,,,,,,,,
1,PC31003,Nabis Sense vanity basin unit 555mm White Gloss,Nabis,127.5,"Finished in clean, light reflective white gloss, this Nabis Sense 844 x 555mm bathroom vanity basin unit provides plenty of useful toiletry storage behind soft close doors.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Sense vanity basin unit 555mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/NW-C31003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Sense_600_Basin_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,,,,,,,,,,,,,,,,,,
2,PC22589,* NAB CLASSIC 500MM MINERALCAST MOD BSN,Nabis,112.43,"Designed for timeless appeal and ideal in period bathrooms, this Nabis Classic 510mm mineralcast basin is finished in an elegant Ivory tone.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> * NAB CLASSIC 500MM MINERALCAST MOD BSN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/90/NW-C22589_C22590_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/C22589_Drawing.pdf,,,,,,,,,,,,,,,,,
3,PC22627,Nabis Deco left hand freestanding cloakroom washbasin unit only White Gloss,Nabis,155.06,"Nabis Deco left hand floor standing cloakroom washbasin unit is made of 16mm MFC, 0.8mm ABS laminate, brushed aluminium door handle and available in white gloss finish. This stylish range of bathroom furniture designed to complement the beautiful Deco range of bathroom basins.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Deco left hand freestanding cloakroom washbasin unit only White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/27/NW-C22627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FSWashBasinUnit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22627-C22634_Technical.pdf,,,,,,,,,,,,,,,,,,
4,PD58745,Roca Debba 2-drawer vanity unit only 600mm Gloss White,Roca,433.43,"Modern and stylish, this Roca Debba 720 x 600 x 460mm two drawer washbasin unit is made of MDF finished in a clean, simple white gloss. Suitable for wall-mounted installation, this unit offers all the convenience of two generously sized drawers, providing space for toiletries and cleaning products hidden away from sight but in easy reach. The Debba washbasin unit is topped with a contemporary basin with single pre-drilled central tap hole, allowing the homeowner to select the right mixer tap to suit their style.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Roca Debba 2-drawer vanity unit only 600mm Gloss White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/45/NW-D58745_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_856826806_Technical.pdf,,,,,,,,,,,,,,,,,,,
5,PC31010,Nabis Sense vanity basin 600mm,Nabis,52.88,This ceramic Nabis Sense 600mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Sense vanity basin 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/C31010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31010_DWG.pdf,,,,,,,,,,,,,,,,,,,
6,PC24307,Nabis Deco wall hung double drawer washbasin unit only 500mm White Gloss,Nabis,250.64,"Built as a complement to the full Deco range, the Nabis Deco 530 x 460 x 380mm two-drawer washbasin unit helps bathroom installers to create a seamless finish. Finished in clean, practical white, this wall-hung bathroom unit offers generous storage space in its soft close drawers and an understated design suitable for modern or traditional schemes.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Deco wall hung double drawer washbasin unit only 500mm White Gloss,,Preassembled unitInstructions sheet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/07/NW-C24307_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Deco_Washbasin_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C24307_Technical.pdf,,,,,,,,,,,,,,,,,,
7,PC22635,* NAB DEC 500MM W/H SGL DRW WHBSN WH GL,Nabis,240.3,"Designed to complement the full Deco range, this Nabis Deco 500mm wall hung single drawer washbasin unit is finished in white gloss. Offering generous storage in a single soft close drawer with brushed aluminium handle, this elegant bathroom unit is equally at home in a contemporary bathroom as it is in a traditional one.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> * NAB DEC 500MM W/H SGL DRW WHBSN WH GL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/35/NW-C22635_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22635-C22646_Technical.pdf,,,,,,,,,,,,,,,,,,,
8,PE10494,Atlanta Fitted basin 600mm White Gloss,Atlanta,260.64,"Designed for a semi-recessed basin, this Atlanta Original Fitted 820 x 600mm basin unit has smart slab doors concealing plenty of useful storage. This unit is finished in clean, fresh Lucia White gloss, a versatile , contemporary white ideal for creating a sense of space.",Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Atlanta Fitted basin 600mm White Gloss,,Basin unit;Adjustable legs;1x adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/94/E10494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Atlanta_Bath_Furniture_Brochure_2017.pdf,,,,,,,,,,,,,,,,,,
9,PC31009,Nabis Sense vanity basin 500mm,Nabis,43.49,This ceramic Nabis Sense 500mm single hole vanity basin has a smartly modern design and is designed for countertop mounting.,Bathrooms and Kitchens/Bathroom Furniture/Vanity Units/Vanity Units.csv -> Nabis Sense vanity basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/C31009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/C31009_DWG.pdf,,,,,,,,,,,,,,,,,,,
