,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Connection Type,Style,Warranty,Hazardous,With Drain Off,Max Pressure,Flow Water Temperature,Material,Orientation,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Display Type,Number of Channels,Application,Feature 13,Range,Feature 14,Pack Quantity,Feature 15,Feature 16,Weight
0,P205765,Center CB Angled TRV and lockshield pack 15mm,Center CB,7.5,"This reliable, high performance Center CB Center range angled thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Angled TRV and lockshield pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/66/205765_205766_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205765-205766_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P205766,Center CB 10mm trv and lockshield pack,Center CB,9.26,"This reliable, high performance Center CB Center range angled thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB 10mm trv and lockshield pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/-1/205766-1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205765-205766_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P205767,Center CB Angled TRV with lockshield and drain-off valve pack 15mm,Center CB,9.76,"This reliable, high performance Center CB Center range angled thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield and drain off, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Angled TRV with lockshield and drain-off valve pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/67/205767_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205767-205768_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P205770,Center CB Angled TRV 15mm,Center CB,6.99,"This reliable, high performance Center CB Center range angled thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. The Center TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Angled TRV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/71/205770_205771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205770-205771_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P246115,Danfoss Ras-C2 15mm Trv & Rlv-D,Danfoss,21.0,"Suitable for both domestic and contract applications, the Danfoss RAS-C2 angled thermostatic radiator valve (TRV) incorporates the brand's cutting edge flow-selectable 'revolver' RA-FS valve body for adaptable, easy vertical or horizontal mounting, making installation easy in any location. With a compact, tried-and-tested liquid sensor actuator, the RAS-C2 provides ultra-precise temperature control while frost protection ensures peace of mind and a positive shut-off makes removal for decorating jobs simple.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Danfoss Ras-C2 15mm Trv & Rlv-D,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/16/246115_246116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_DOC161486401924_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P205769,Center CB Straight TRV lockshield valve pack 15mm,Center CB,9.99,"This reliable, high performance Center CB Center range straight thermostatic radiator valve (TRV) meets industry standards and is Keymark certified for installer and homeowner peace of mind. Supplied with a lockshield, this TRV incorporates a liquid sensor for ultra-precise temperature control and thanks to a bi-directional valve design offers flexible installation.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Center CB Straight TRV lockshield valve pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/69/205769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_205765-205776_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_205769_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P247400,Drayton Trv4 15mm Angle & Int Head,Drayton,20.49,"Suitable for both domestic and commercial use, the reliable Drayton TRV4 15mm angled chrome thermostatic radiator valve (or TRV) provides energy efficient heating control for individual rooms, meaning there's no longer any need to heat spaces that aren't in use. Incorporating a double gland seal and non-stick, pre-set internals, this TRV allows for the direct balancing of a radiator using its individual valve.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Drayton Trv4 15mm Angle & Int Head,,Thermostatic radiator valve;Integral head,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/00/247400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_h002943_31426_t_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P311219,Honeywell Valencia TRV VTL120 and angled lockshield 15mm,Honeywell,19.28,"Providing reliable room-specific heating control, the Valencia angled thermostatic room valve (TRV) uses a liquid sensor to read the temperature in a room and adjust the radiator output to maintain comfort and save on energy use. With a bi-directional design and additional tailpiece length, the Valencia allows for flexible installation horizontally or vertically while compatibility with the evohome controller head and an integral energy saving button provide opportunities for extra efficiency.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Honeywell Valencia TRV VTL120 and angled lockshield 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/19/311219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P246110,Danfoss Ras-C2 15mm Angle Trv,Danfoss,16.75,"Suitable for both domestic and contract applications, the Danfoss RAS-C2 angled thermostatic radiator valve (TRV) incorporates the brand's cutting edge flow-selectable 'revolver' RA-FS valve body for adaptable, easy vertical or horizontal mounting, making installation easy in any location. With a compact, tried-and-tested liquid sensor actuator, the RAS-C2 provides ultra-precise temperature control while frost protection ensures peace of mind and a positive shut-off makes removal for decorating jobs simple.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Danfoss Ras-C2 15mm Angle Trv,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/10/246110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_DOC161486401924_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P311213,Honeywell Home Valencia VT117 hw home vt117 15mm ang trv,Honeywell Home,18.14,"Providing reliable room-specific heating control, the Honeywell Valencia angled thermostatic room valve (TRV) uses a liquid sensor to read the temperature in a room and adjust the radiator output to maintain comfort and save on energy use. With a bi-directional design and additional tailpiece length, the Valencia allows for flexible installation horizontally or vertically while compatibility with the evohome controller head and an integral energy saving button provide opportunities for extra efficiency.",Radiators/Radiator Valves/Thermostatic Radiator Valves/Thermostatic Radiator Valves.csv -> Honeywell Home Valencia VT117 hw home vt117 15mm ang trv,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/13/311213_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
