,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 6,Range,Position,Shower Tray Shape,Style,Weight,Floor Mounted,Waste Supplied,Anti Slip Surface,Riser included,Waste Kit Included
0,PN43664,Multipanel Tile bathroom wall panel metro tile vertical 2440 x 1220mm White,Multipanel,110.02,"This Multipanel vertical 1220mm classic brick tile effect wall panel in white gloss offers the smart look of real tiles without the hassle and expense. This solid grade laminate panel is easy to install and effortless to clean, resisting mould and requiring no grout.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Multipanel Tile bathroom wall panel metro tile vertical 2440 x 1220mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/64/NW-N43664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_CompactLaminates_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Multipanel_Tile_Walls_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/Multipanel_Tile_Walls_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Multipanel_Tile_Walls_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD28911,Merlyn Ionic Express sliding door 1200mm,Merlyn,466.54,The smart Merlyn Ionic Express 1200mm sliding shower enclosure door is manufactured in robust 6mm safety glass with Mershield Stayclear coating and features quick release rollers for effortless cleaning and double fin seals for increased watertightness.,Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Merlyn Ionic Express sliding door 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/11/UP-D28909_D28911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_SDoorPanel_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_SDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_SDoor_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PN57621,Multipanel Linda Barker bathroom wall pan hydrolock tongue and groove 2400 x 1200mm Calacatta Marble,Multipanel,195.86,"With no need to grout or paint, this 1200mm Multipanel Linda Barker wall panel is a convenient alternative to tiling. Made with a water-resistant hardwood plywood core, this panel is finished with a high pressure decorative laminate on its front, with a plain balancing laminate to the rear. This panel is finished in Calacatta Marble, an affordable and realistic looking alternative to the real thing.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Multipanel Linda Barker bathroom wall pan hydrolock tongue and groove 2400 x 1200mm Calacatta Marble,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/23/NW-N57618_N57623_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Multipanel_NeutralsCllctn_Brcr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD28564,Merlyn MBOX sliding shower door 1200mm,Merlyn,327.92,"Combining practicality and style, the 1200mm Merlyn MBox shower enclosure with sliding door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Merlyn MBOX sliding shower door 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/70/UP-D28562_D28570_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_SlidingDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD81447,Ideal Standard i.life 1200 Slider door with Idealclean clear glass - bright silver finish,Ideal Standard,924.11,"Manufactured in an 8mm thick toughened safety glass, the Ideal Standard i.Life 1200mm slider door has a bright silver frame and chrome handle to suit the majority of bathroom decors. Measuring 2005mm in height, this shower door is treated with IdealClean and has easy to remove click-and-clean rollers, making regular, thorough cleaning effortless.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Ideal Standard i.life 1200 Slider door with Idealclean clear glass - bright silver finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/47/D81447_wm.jpg,,,,,,Bright Silver,8mm,10 Years,N,100,Bright Silver,AluminiumGlass,T4971EO,Sliding,N,With 8mm toughened clear safety glass,IdealClean treatment for ease of cleaning,Offers 25mm adjustment per profile,Bright silver frame,With chrome-plated handle,Click-and-clean wheels removed easily,Unhanded,With concealed fixings,Smooth running wheels,Power showerproof,10 year warranty,,,,,,,,,,,
5,PD05971,Mira Elevate pivot shower door 800mm,Mira,176.49,"Maximising your bathroom floor space, the Mira Elevate 800mm shower enclosure pivot door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Mira Elevate pivot shower door 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/72/UP-D05970_D05972_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Pivot_Door_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD28362,Mira Leap bi-fold door only 900mm,Mira,401.72,"The Mira Leap 900mm inward opening door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Mira Leap bi-fold door only 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/63/UP-D28360_D28363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Bifold_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Bifold_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD28544,Merlyn MBox 2-door quadrant shower enclosure 800mm,Merlyn,321.34,"Combining practicality and style, the 800mm Merlyn MBox two door quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/49/UP-D28544_D28549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD65145,Coram Optima 6 quadrant door 900 x 1900mm Glass/Chrome Finish,Coram,360.28,"The classically designed Coram Optima 6 900 x 1900mm quadrant door shower enclosure is a space-saving curved alternative to standard corner entry showers, making a design feature out of a solution. Easy and fast to install, durable and simple to clean, the Optima 6 includes quick-release rollers and ultra-clear seals, useful touches in family bathrooms.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Coram Optima 6 quadrant door 900 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/48/D65144_D65148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Optima_6_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima_6_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD28550,Merlyn MBox 2-door quadrant shower enclosure 1000 x 800mm,Merlyn,388.62,"Combining practicality and style, the 1000 x 800mm Merlyn MBox two door offset quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure 1000 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/52/UP-D28550_D28552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PD05977,Mira Elevate bi-fold shower door 1000mm,Mira,351.42,"Maximising your bathroom floor space, the Mira Elevate 1000mm shower enclosure bifold inward opening door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Mira Elevate bi-fold shower door 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/77/UP-D05973_D05977_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Elevate_Bifold_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Bifold_Door_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PC89047,Multipanel Classic bathroom wall panel unlipped 2400 x 1200mm Blizzard,Multipanel,154.68,"An easy, grout-free alternative to paint or tiling, this 1200mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel has been finished in Blizzard, a vibrant high gloss white which creates the feeling of space and light even in smaller bathrooms.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Multipanel Classic bathroom wall panel unlipped 2400 x 1200mm Blizzard,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/52/NW-C89047_C89052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,,,,,,,,,,
12,PD65109,Coram GB5 pivot door 760 x 1800mm Glass/Chrome Finish,Coram,209.48,"Ideal for smaller bathrooms or en-suites, the 760mm Coram GB5 pivot door shower enclosure has a reduced height of 1800mm and a 25mm adjustment profile. Designed with a classic semi-frameless look, this easy to clean shower enclosure has an inwards swinging door to minimise intrusion in a limited space.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Coram GB5 pivot door 760 x 1800mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/11/UP-D65108_D65111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_GB5_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_GB5_Pivot_Door_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PN16415,Multipanel bathroom tile wall panel 2400 x 598mm Dust Grey,Multipanel,109.89,"Helping to update a bathroom without the need for expensive, time-consuming tiling, Multipanel Tile Collection 2400 x 598mm tile-effect wall panels are easy to install and effortless to maintain. Manufactured with an exterior grade MDF core and Hydrolock tongue-and-groove edges, Multipanel panels are fully waterproof and sustainable too. The Dust Grey finish of these panels provides a simple, modern backdrop for the bathroom suite of your choice.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Multipanel bathroom tile wall panel 2400 x 598mm Dust Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/15/N16415_wm.jpg,,,,,,Grey,,,N,11,,Exterior grade MDF,MT732ST1001,Bathroom Wall Panel,N,Dust Grey finish,Exterior grade MDF construction,Tile effect design,Grout-free installation,Hydrolock for near seamless connection,Waterproof,Made in Britain,"Quick, easy installation",Easy to clean,FSC and PEFC certified,,,bathroom,,,,,,,,,
14,PN40711,Multipanel Classic bathroom wall panel unlipped 2400 x 900mm Riven Slate,Multipanel,144.28,"An easy, grout-free alternative to paint or tiling, this 900mm Multipanel Classic wall panel has a reliably water-resistant hardwood plywood core and a high pressure decorative laminate to face along with a plain balancing laminate to rear. This panel has been finished in Riven Slate, a highly textured realistic dark slate surface.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Multipanel Classic bathroom wall panel unlipped 2400 x 900mm Riven Slate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/11/NW-N40711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/op/MPanel_LB_Classic_Heritage_DOP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ct/22/Multipanel Product Data Sheet Oct22.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/MPanel_LB_Classic_Heritage_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/MPanel_LB_Classic_Heritage_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/MPanel_Classic_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Multipanel_Brochure_2013.pdf,,,,,,,,,,
15,PD28358,Mira Leap pivot door only 1000mm,Mira,357.0,"The Mira Leap 1000mm pivot door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Mira Leap pivot door only 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/59/UP-D28355_D28359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Pivot_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PD65136,Coram Optima 6 pivot door 1000 x 1900mm Glass/Chrome Finish,Coram,297.26,"Ideal for small bathrooms or en-suites, the 1000 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Coram Optima 6 pivot door 1000 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD28363,Mira Leap bi-fold door only 1000mm,Mira,412.49,"The Mira Leap 1000mm inward opening door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Shower Doors and Enclosures.csv -> Mira Leap bi-fold door only 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/63/UP-D28360_D28363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Bifold_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Bifold_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
