,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Diameter,Range,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Output
0,PP53124,Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 32/175mm,Uponor,68.4,This Uponor Ecoflex Thermo twin pipe is suitable for both heating and cooling applications. It contains both supply and return pipes encased in one jacket and incorporates long coil lengths and high flexibility for improved energy efficiency and straightforward installation.,Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 32/175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/27/P53123_P53127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PP53123,Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 25/175mm,Uponor,60.15,This Uponor Ecoflex Thermo twin pipe is suitable for both heating and cooling applications. It contains both supply and return pipes encased in one jacket and incorporates long coil lengths and high flexibility for improved energy efficiency and straightforward installation.,Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 25/175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/27/P53123_P53127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
2,PP53125,Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 40/175mm,Uponor,73.75,This Uponor Ecoflex Thermo twin pipe is suitable for both heating and cooling applications. It contains both supply and return pipes encased in one jacket and incorporates long coil lengths and high flexibility for improved energy efficiency and straightforward installation.,Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 40/175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/27/P53123_P53127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PP53127,Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 63/200mm,Uponor,121.62,This Uponor Ecoflex Thermo twin pipe is suitable for both heating and cooling applications. It contains both supply and return pipes encased in one jacket and incorporates long coil lengths and high flexibility for improved energy efficiency and straightforward installation.,Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic twin 2 x 63/200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/27/P53123_P53127_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PP53134,Uponor Ecoflex Quattro pre insulated pipe 2 x 32 32+25 175mm,Uponor,117.18,"The reliable, easy-install Uponor Ecoflex Quattro all-in-one pipe is suited to any requirement, from extensive supply networks to a single connection to one building. This pre-insulated pipe provides heating, warm tap water supply and circulation pipes all in the same jacket, with two flow pipes for domestic warm water and two for heating.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Quattro pre insulated pipe 2 x 32 32+25 175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/34/P53132_P53134_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
5,PP04344,Uponor Ecoflex Thermo VIP 1118584 twin 2x63x5 8/200,Uponor,160.64,"Pre-insulated, these Uponor Ecoflex Thermo VIP 63 x 5 8/200 175mm twin pipes are ideal for applications where heat loss protection is required alongside the benefits of an existing Thermo system. Supplied in a 200M length, these pipes are manufactured in PE-Xa with a HDPE casing, oxygen barrier and PEX foam.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo VIP 1118584 twin 2x63x5 8/200,,Coil of Pre insulated PEX Pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/41/NW-P04341_wm.jpg,,,,,175,Ecoflex Thermo VIP,25 Years,N,Varies,PEX,1118584,Twin Pre-Insulated Pipe,N,2x medium pipes,Suitable for heating and cooling use,PE-Xa construction,"With oxygen barrier, SDR11",Pre-insulated with VIP+ PEX foam,With HDPE casingMaximum load of 6 bar at 95°C,Coloured centre for easy identification of flow and return,25 year warranty,,,,,,,
6,PP04345,Uponor Ecoflex Thermo VIP twin 2x75x6 8/250,Uponor,240.62,"Pre-insulated and suitable for buried installation, this 200M length of Uponor Ecoflex VIP Thermo 2 x 75 x 68/250mm twin pipe can be used in both heating and cooling applications. Providing supply and return pipes in a single HDPE jacket, this highly flexible pipe promises excellent levels of insulation and has a two coloured centre profile for ease of installation.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo VIP twin 2x75x6 8/250,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/45/P04345_wm.jpg,,,,,250,Ecoflex Thermo VIP,25 Years,N,,HDPE;PE-X,1118585,Pre-Insulated Twin Pipe,N,For transport of heating and cooling water,Suitable for buried installations,Operating temperature up to 80°C based on EN 15632,95°C maximum load temperature,6 bar maximum load pressure,Static verification for heavy traffic load of 60 tons,With 3.7mm wall thickness,With HDPE pipe jacket,With permanently elastic closed-cell cross-linked polyethylene (PE-X) foam insulation,Includes vacuum insulated panel,Coloured blue/red polyethylene centre profile for twin pipe,Cross-linked polyethylene (PE-Xa) medium pipe,Based on European Standard EN 15632 and EN 17414,25 year warranty,
7,PP53106,Uponor Ecoflex Thermo pre insulated pipe thermostatic single 90/200mm,Uponor,116.24,"Ideal for heating water distribution in a local heat supply network, the Uponor Ecoflex thermo single pipe is also suitable for use as a tie-in to building complexes and housing. EN certified for heating and cooling, this single pipe is compatible with projects with large flow requirements and includes long, highly flexible coil lengths for hassle-free installation and improved energy efficiency.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo pre insulated pipe thermostatic single 90/200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/06/P53106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,PP53133,Uponor Ecoflex Quattro pre insulated pipe 2 x 32 25+25 175mm,Uponor,112.06,"The reliable, easy-install Uponor Ecoflex Quattro all-in-one pipe is suited to any requirement, from extensive supply networks to a single connection to one building. This pre-insulated pipe provides heating, warm tap water supply and circulation pipes all in the same jacket, with two flow pipes for domestic warm water and two for heating.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Quattro pre insulated pipe 2 x 32 25+25 175mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/34/P53132_P53134_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Plumbing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
9,PP04343,Uponor Ecoflex Thermo VIP 1118583 twin 2x50x4 6/175,Uponor,138.03,"Pre-insulated, these Uponor Ecoflex Thermo VIP 50 x 4 6/175 175mm twin pipes are ideal for applications where heat loss protection is required alongside the benefits of an existing Thermo system. Supplied in a 200M length, these pipes are manufactured in PE-Xa with a HDPE casing, oxygen barrier and PEX foam.",Renewables/Ground Source Heat Pumps (GSHP)/Pre-Insulated Pipes & Pipe Coils/Pre-Insulated Pipes & Pipe Coils.csv -> Uponor Ecoflex Thermo VIP 1118583 twin 2x50x4 6/175,,Coil of Pre insulated PEX Pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/41/NW-P04341_wm.jpg,,,,,175 mm,Ecoflex Thermo VIP,25 Years,N,Varies,PEX,1118583,Twin Pre-Insulated Pipe,N,2x medium pipes,Suitable for heating and cooling use,PE-Xa construction,"With oxygen barrier, SDR11",Pre-insulated with VIP+ PEX foam,With HDPE casingMaximum load of 6 bar at 95°C,Coloured centre for easy identification of flow and return,25 year warranty,,,,,,,
