,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Angle
0,PL21064,Midland Fittings heavy weight barrel nipple 15mm Black,Midland Fittings,7.27,This Midland Fittings heavyweight 15 x 15mm black barrel nipple is made of mild steel and includes threaded connections on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight barrel nipple 15mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-L21061_L21072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PL21066,Midland Fittings heavy weight barrel nipple 25mm Black,Midland Fittings,12.79,This Midland Fittings heavyweight 25 x 25mm black barrel nipple is made of mild steel and includes threaded connections on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight barrel nipple 25mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-L21061_L21072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
2,PL21089,Midland Fittings heavy weight close taper nipple 50mm Black,Midland Fittings,3.0,This Midland Fittings heavyweight 50 x 50mm close taper nipple is made of mild steel and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight close taper nipple 50mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/91/NW-L21084_L21091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
3,PL21067,Midland Fittings heavy weight barrel nipple 32mm Black,Midland Fittings,17.51,This Midland Fittings heavyweight 32 x 32mm black barrel nipple is made of mild steel and includes threaded connections on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight barrel nipple 32mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/72/NW-L21061_L21072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
4,PL21087,Midland Fittings heavy weight close taper nipple 32mm Black,Midland Fittings,5.56,This Midland Fittings heavyweight 32 x 32mm close taper nipple is made of mild steel and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings heavy weight close taper nipple 32mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/91/NW-L21084_L21091_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
5,PL31307,Midland Fittings WROUGHT IRON TEES wrought iron tee 32mm Black,Midland Fittings,41.15,This Midland Fittings 32 x 32 x 32mm 90° black tee is made of wrought iron with threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings WROUGHT IRON TEES wrought iron tee 32mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/09/NW-L31304_L31309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Midland_Fittings_Delcorte_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,
6,PL45352,Midland Fittings wrought iron bush 50 x 40mm Black,Midland Fittings,54.84,This Midland Fittings 50 x 40mm black bush is made of wrought iron and includes threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron bush 50 x 40mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/NW-L45352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PL23072,Midland Fittings galvanised heavy weight barrel nipple 100mm,Midland Fittings,141.37,This Midland Fittings heavyweight 100 x 100mm galvanised barrel nipple is made of mild steel and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings galvanised heavy weight barrel nipple 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/72/NW-L23061_L23072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
8,PL31506,Midland Fittings wrought iron socket 25mm Black,Midland Fittings,14.11,This Midland Fittings 25 x 25mm socket is made of wrought iron and includes a threaded connection on each end.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Midland Fittings wrought iron socket 25mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/12/NW-L31503_L31512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Midland_Fittings_ISO_Certification.pdf,,,,,,,,,,,,,,,,,,,,,,
9,PM40837,"Marla Tube concentric welding reducer 2 1/2 x 1 1/2""",Marla Tube,14.18,"This Marla Tube 2 1/2 x 1 1/2"" concentric welding reducer is made of carbon steel. Used to connect pipes of two different diameters, this reducer has two centred parallel ends, resembling a cone.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Fittings/Carbon Steel Weld Fittings.csv -> Marla Tube concentric welding reducer 2 1/2 x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/37/NW-M40837_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
