,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Diameter,Range,Hazardous,Approvals,Equal / Unequal,Angle,End Connection A size,End Connection B size,End Connection C size,Grade,Material,Size,Supplier Product Code,WEEE Compliant,Type,Feature 1,Feature 2,Feature 3,Weight,Connection Type 1,Connection Type 2,Feature 4,Feature 5
0,PM12383,"Crane 152G galvanised malleable male x female elbow 3/8""",Crane,6.1,"This Crane 152 90° elbow is made of malleable iron with 3/8 x 3/8"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Crane 152G galvanised malleable male x female elbow 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/89/NW-M12383_M12389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PR02415,A403 304 SCH10S 90D LR ELBOW WLD      12,Starfit,252.44,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S 90D LR ELBOW WLD      12",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/15/R02415_wm.jpg,,,,,butt weld,1/2,SCH10S,N,PED,Equal,90,12,12,N/A,304 LW,304,300,R02415,N,,,,,,,,,
2,P701350,Steelcom Fittings 316/L EN10253-4 pulled equal tee 84MM,Steelcom Fittings,42.4,This Steelcom Fittings metric 84mm equal tee has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 pulled equal tee 84MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/54/701349_701354_wm.jpg,,,,,butt weld,,,N,N/A,Equal,,84mm,84mm,84mm,,316L Stainless Steel,84mm x 84mm x 2.0mm,TESXE16L0008402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
3,PR02968,A403 304 SCH40S CON. REDUCER WLD     6X4,Starfit,37.28,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH40S CON. REDUCER WLD     6X4",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/R02968_wm.jpg,,,,,butt weld,6 x 4,SCH40S,N,PED,Unequal,,6,4,N/A,304 LW,304,150 x 100,R02968,N,,,,,,,,,
4,P701338,Steelcom Fittings 316/L EN10253-4 press cap ends 104MM,Steelcom Fittings,12.83,This Steelcom Fittings metric 104mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,N/A,,104mm,N/A,N/A,,316L Stainless Steel,104mm x 2.0mm,FO0L016L0010402000,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
5,P701324,Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 129MM,Steelcom Fittings,109.91,This Steelcom Fittings metric 129mm D+100 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 90° D+100mm elbow welded 129MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,90,129mm,N/A,129mm,,316L Stainless Steel,129mm x 2.0mm,CL1LX16L0712902002,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
6,PR02870,A403 304 SCH40S EQUAL TEE WLD          4,Starfit,34.89,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH40S EQUAL TEE WLD          4",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/70/R02870_wm.jpg,,,,,butt weld,4,SCH40S,N,PED,Equal,,4,4,4,304 LW,304,100,R02870,N,,,,,,,,,
7,PR02571,A403 304 SCH10S CON. REDUCER WLD    12X8,Starfit,88.89,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH10S CON. REDUCER WLD    12X8",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/71/R02571_wm.jpg,,,,,butt weld,12 x 8,SCH10S,N,PED,Unequal,,12,8,N/A,304 LW,304,300 x 200,R02571,N,,,,,,,,,
8,PR02829,A403 304 SCH40S 45D LR ELBOW WLD       8,Starfit,125.31,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> A403 304 SCH40S 45D LR ELBOW WLD       8",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/29/R02829_wm.jpg,,,,,butt weld,"8,625",SCH40S,N,PED,Equal,45,8,8,N/A,304 LW,304,200,R02829,N,,,,,,,,,
9,P701328,Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 84MM,Steelcom Fittings,28.08,This Steelcom Fittings metric 84mm 90° elbow has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Weld Fittings/Stainless Steel Weld Fittings.csv -> Steelcom Fittings 316/L EN10253-4 45°1.5D elbow welded 84MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,,butt weld,,,N,N/A,Equal,45,84mm,N/A,84mm,,316L Stainless Steel,84mm x 2.0mm,CL2EX16L0708402001,N,Butt-weld fitting,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,
