,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
0,PF14092,Center CB square downpipe 65mm x 3mtr White,Center CB,34.45,"Center CB square downpipe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Center CB square downpipe 65mm x 3mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/92/NW-F14092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF67252,Polypipe 68mm Round Rainwater Downpipe in Black (5.5m),Polypipe,82.46,"Made of black PVCu, this Polypipe 68mm round downpipe, supplied in a 5.5M length, is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Polypipe 68mm Round Rainwater Downpipe in Black (5.5m),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/52/NW-F67252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PQ64827,"Wavin Osma RoundLine pipe 2.1/2"" x 5.5mtr Black",Wavin,59.17,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe, supplied in a 5.5M length, is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Wavin Osma RoundLine pipe 2.1/2"" x 5.5mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/27/NW-Q64825_Q64827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF67253,Polypipe 68mm Round Rainwater Downpipe Connector in Black,Polypipe,8.78,"Made of black PVCu, this connector works with the Polypipe 68mm round downpipe and is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Polypipe 68mm Round Rainwater Downpipe Connector in Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/53/NW-F67253_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF14032,Center CB downpipe 68mm x 3mtr Black,Center CB,20.13,"Center CB downpipe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Center CB downpipe 68mm x 3mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/32/NW-F14032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF95427,"Alumasc Apex Heritage eared circular pipe 4"" x 6ft",Alumasc,146.57,"Made of cast iron, this Alumasc Apex Heritage circular 100mm diameter pipe with ear is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage eared circular pipe 4"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/27/NW-F95427_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF10672,Hargreaves eared rainwater pipe 75mm Painted,Hargreaves,172.07,"Made of robust cast iron, this Hargreaves 75mm eared rainwater pipe has a painted finish ready for installation.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Hargreaves eared rainwater pipe 75mm Painted,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/97/F10297_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/HargreavesFoundry_Prem&PremExtra_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF14094,Center CB square downpipe 65mm x 5.5mtr White,Center CB,56.87,"Center CB square downpipe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Center CB square downpipe 65mm x 5.5mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/94/NW-F14094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF95425,"Alumasc Apex Heritage eared circular pipe 3"" x 6ft",Alumasc,109.74,"Made of cast iron, this Alumasc Apex Heritage circular 75mm diameter pipe with ear is designed to suit traditional craft-based contracts, offering a close replica of historic pipe styles for period properties.","Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Alumasc Apex Heritage eared circular pipe 3"" x 6ft",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/25/NW-F95425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_Rainwater_Systems_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M004RW_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alumasc_All_Guttering_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF67222,Polypipe 68mm Round Rainwater Downpipe in White (5.5m),Polypipe,82.46,"Made of white PVCu, this Polypipe 68mm round downpipe, supplied in a 5.5M length, is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Downpipes/Downpipes.csv -> Polypipe 68mm Round Rainwater Downpipe in White (5.5m),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/22/NW-F67222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
