,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 3,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 2,Pack Quantity,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Model For Use With,Power Supply,Colour,Material,Feature 8,Feature 9,By Model Number,Diameter,Thickness,Warranty,Length (M),Size,Current Rating,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Depth (mm),Weight,Dimensions mm (H x W x D),Phase,For Use With
0,P689834,"Javac hydraulic bender 1/4 - 7/8""",Javac,589.96,"The Javac OB/85S hydraulic tube bender has a die cast aluminium body and stainless steel body pump along with hydraulic assistance for smooth control and effortless bending of soft drawn copper pipe. Fully adjustable to suit individual hand sizes, the operating lever is designed to make bending easier while reducing hand fatigue.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac hydraulic bender 1/4 - 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/34/NW-689834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_HB-35_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P670000,Aspen Pumps Xtra single aluminium channel 3mtr,Aspen Pumps,41.65,This Aspen Pumps Xtra single aluminium channel with 40 x 20mm profile is supplied in a 3M length.,Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Aspen Pumps Xtra single aluminium channel 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-670000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P690081,"Pump House male x copper flared access valve 1/4 x 1/4""",Pump House,4.0,"Made of copper, this Pump House extended tube is suitable for installation in any position on either high or low side. It is used for charging, purging, quick testing or pressure checking.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House male x copper flared access valve 1/4 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/81/NW-690081_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Pump_House_Access-Fittings_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P692438,Dena Service Driers 4007A drier with charging valve 1IN,Dena,9.3,"A Dena 1"" drier made of copper.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Dena Service Driers 4007A drier with charging valve 1IN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/38/NW-692438_wm.jpg,,,1/4IN x 1/4IN x 1/4IN,Charging Valve,Service Driers,N,Soldering,Soldering,4007A,Drier,N,Material: copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P693286,"Javac Edge 55 bar safe seal hoses 1/4 x 5/16""",Javac,182.2,"This Javac Edge Safe Seal 72"" charging hose has a 600/3000 psi (41 bar) working pressure and 3000 psi (207 bar) bursting pressure. With patented Safe Seal technology and One-Touch design this hose is simply screwed on to the system before a knob is turned to start flow, minimising refrigerant loss and the risk of refrigerant burn. Designed to prevent leaks, a safety swivel sleeve allows free rotational movement of the hose while maintaining the security of the fitting.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge 55 bar safe seal hoses 1/4 x 5/16""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/NW-693285_693286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Safe_Seal_Charging_Hoses_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P693285,"Javac Edge 41 bar safe seal hoses 1/4""",Javac,179.54,"This Javac Edge Safe Seal 72"" charging hose has a 600/3000 psi (41 bar) working pressure and 3000 psi (207 bar) bursting pressure. With patented Safe Seal technology and One-Touch design this hose is simply screwed on to the system before a knob is turned to start refrigerant, minimising refrigerant loss and the risk of refrigerant burn. Designed to prevent leaks, a safety swivel sleeve allows free rotational movement of the hose while maintaining the security of the fitting.","Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge 41 bar safe seal hoses 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/NW-693285_693286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Safe_Seal_Charging_Hoses_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P696508,Pump House Diversitech acid eliminator bottle 110g,Pump House,46.78,"Compatible with all refrigerants and oils, Pump House acid neutraliser chemically neutralises acids that form in air conditioning and refrigeration systems due to refrigerant and refrigeration oil break-down, moisture and compressor burn-out. Simple to use, this neutraliser works fast, circulating quickly and leaving no solids or solid residues, it won't harm system components and can prevent system breakdown.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House Diversitech acid eliminator bottle 110g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/NW-696508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Acid_Eliminator_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P688666,Pump House DiversiTech GG-1 gallo gun,Pump House,70.8,"Lightweight and portable, weighing just 85g, the Pump House DiversiTech Drain Gun gallo gun drain line cleaner offers an effective and instantaneous blow out of air conditioning condensate lines. With its tapered fitting sized to enter 9.5 - 19mm drain openings, this cleaner supplies 8000kPa of oil-free, food-grade carbon dioxide via a flexible hose assembly for easy manoeuvrability through cabinets, coils and into drains without the requirement for air or nitrogen tanks. The DiversiTech gallo gun's cartridges are environmentally safe and fully recyclable, giving eco-concious engineers peace of mind.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Pump House DiversiTech GG-1 gallo gun,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/66/NW-688666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Drain_Swoosh_Cartrdge_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Drain_GunLineCleaner_Tech.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P617124,Javac Edge eccentric flaring tool,Javac,186.75,"A ratchet-type tool, the Javac Edge eccentric flaring tool includes an eccentric flaring cone for a smooth finish on all flares. Ideal for joints on high pressure R410A systems, this tool minimises leaks, using a positioning plate to ensure the tube is set at the correct position for a perfect finish.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge eccentric flaring tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/24/NW-617124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_Eccentric-Flaring_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Eccentric-Flaring_Technical.pdf,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P689840,Javac Edge JAV-275-K flaring and swaging tool,Javac,92.02,"Made of tough steel, this Javac Edge flaring and swaging kit is designed for use with copper tube and is ideal for use in tight areas, ensuring a professional seal on all flaring and swaging joints.",Parts and Spares/sub_categories/Cooling Parts/Cooling Parts.csv -> Javac Edge JAV-275-K flaring and swaging tool,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/40/NW-689840_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Javac_JAV-275-K_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
