,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Material,Number of Outlets,Number of Spray Patterns,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Attachment 5,Feature 10,Feature 11
0,PA05052,Nabis shower hose 11mm bore 1.5mtr,Nabis,6.25,"Suitable for any bathroom or shower, this Nabis shower hose is made of long-lasting stainless steel with a chrome-plated finish.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Nabis shower hose 11mm bore 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/53/NW-A05052_A05053_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/A05052_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/A05052_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033_A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05057,Center CB shower rail Chrome,Center,16.75,This Center CB 660mm chrome riser rail is supplied with a slider for adjustibility and a handy soap dish in addition to all necessary fixings for installation.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Center CB shower rail Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/57/NW-A05057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05057_A05049_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA05049,Center CB shower set single function handset,Center,26.99,"This chrome Center CB shower set includes a single function handset, hose and handy soap dish. Center CB showers provide thermostatic temperature control as standard, making them an ideal choice for family bathrooms where safety and comfort are of the utmost importance.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Center CB shower set single function handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/49/NW-A05049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05057_A05049_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA05046,Center CB Multi-Function Handset Chrome,Center CB,5.99,"Finished in chrome, this Center CB 80mm shower handset offers three spray patterns for personalised use. The shower's rubber nozzles are easy to clean for improved resistance to limescale and better flow.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Center CB Multi-Function Handset Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/46/NW-A05046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05044_A05058_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PC98080,Ideal Standard Markwik thermostatic cartridge A962280NU,Ideal Standard,107.79,An Ideal Standard Markwik thermostatic cartridge for basin mixer taps.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Ideal Standard Markwik thermostatic cartridge A962280NU,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/80/NW-C98080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik21_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PQ97339,"Hansgrohe n/a 27413000 shower arm 389mm with 1/2"" connection chrome",Hansgrohe,141.79,"Made of robust brass with a glossy chrome-plated finish, this Hansgrohe 80mm shower arm is fitted with a 1/2"" connection.","Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Hansgrohe n/a 27413000 shower arm 389mm with 1/2"" connection chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/39/NW-Q97339_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q97339_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD60988,Mira Excel built in variable thermostatic shower mixer and kit Chrome Plated,Mira,534.22,"This Mira Excel BIV built-in valve mixer shower is ideal for a family bathroom, promising safety and reliability for comfortable showering for users young and old. The Excel has separate flow and temperature controls with a numbered temperature dial for straightforward setting and incorporates Mira Magni-flo™ technology for up to 3x more flow, even at lower pressures. This shower's thermostatic temperature control and maximum temperature stop prevent overheating, even when taps are turned elsewhere in the house.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Mira Excel built in variable thermostatic shower mixer and kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/88/NW-D60988_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Excel_1068628_W2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Excel_B_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Excel_BIV_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Excel_Mixer_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD51943,Ideal Standard Ecotherm shower kit wirh exposed mixer 600mm,Ideal Standard,103.88,The Ideal Standard EcoTherm 600mm shower kit is supplied complete with an exposed-style mixer.,Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Ideal Standard Ecotherm shower kit wirh exposed mixer 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/43/D51943_wm.jpg,,,,,Chrome,Ecotherm,5 Years,N,645,A7255AA,Shower kit,N,Chrome finish,Exposed design,5 year warranty,,,,,,,,,,,,,,,,
8,PA05050,Nabis multi-function shower set handset,Nabis,33.03,"This Nabis shower kit with 1/2 inch BSP captive nut connection includes a hose, shower handset and a handy soap dish. Modern in design, Nabis showers feature safe thermostatic temperature control. This must-have feature helps to keep your shower comfortable and scald-free, regardless of fluctuations in water pressure and temperature.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> Nabis multi-function shower set handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/50/NW-A05050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shower_Kit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PQ97309,HG 27652000 CROMETTA 85 SHWR KIT/BAR CP,Hansgrohe,106.9,"The Hansgrohe Crometta 85 chrome shower set includes a single function handheld shower, shower bar, hose and slider for adjustability.",Showering/Shower Parts and Accessories/Shower Parts and Accessories.csv -> HG 27652000 CROMETTA 85 SHWR KIT/BAR CP,,"h;shower, shower bar, shower hose, slider",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/09/NW-Q97309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_27652000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_27652000_instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
