,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Depth (mm)
0,PQ04010,Hansgrohe Ecostat exposed thermostatic shower Chrome Plated,Hansgrohe,393.84,"The exposed design Hansgrohe Ecostat shower provides a personalised showering experience by regulating the temperature and water quantity to suit your exact preferences and needs. With ergonomic handles and concealed connection, the Ecostat Universal looks great too.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Hansgrohe Ecostat exposed thermostatic shower Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/10/NW-Q04010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_13116000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Service_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_ThermostatAssy_Instruction.pdf,,,,,,,,,,,,,,
1,PD45271,Roca Danube-T T-shower kit Chrome,Roca,261.56,This Roca Danube-T chrome shower kit includes a three function showerhead and promises easy installation using adjustable brackets and easy fix fittings.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Roca Danube-T T-shower kit Chrome,,3 functions hand shower;1.5m hose;Cool touch bar;Adjustable bracket;Easy fix kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/71/NW-D45271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Danube_T_Shower_Kit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_Danube_T_Shower_Kit_Technical.pdf,,,,,,,,,,,,,,,
2,PJ78044,Grohe bellow for single flush button,Grohe,5.5,A Grohe single air bellow for flush push buttons.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Grohe bellow for single flush button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/44/NW-J78044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grohe_EnjoyWater_Brochure.pdf,,,,,,,,,,,,,,,,
3,PD61453,Mira cartridge assembly spare,Mira,227.97,"This Mira shower cartridge improves long term shower performance by decreasing chemical presence in the water and reducing limescale. This cartridge is compatible with Mira Element and Silver Built-in/EV (Mk 2), Symbol, Salute, Odela Kuk and Mira Realm ER models.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Mira cartridge assembly spare,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/53/NW-D61453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Showers_Brochure.pdf,,,,,,,,,,,,,,,,
4,PD78003,Aqualisa Aquastream loom assembly,Aqualisa,43.33,This Aqualisa microswitch and loom assembly with bridge rectifier is suitable for Aquastream power shower models.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Aqualisa Aquastream loom assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/03/NW-D78003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Aqualisa_Brochure_2013.pdf,,,,,,,,,,,,,,,,
5,PD00599,Salamander HomeBoost homeboost fittings kit 15mm or 22mm,Salamander,28.2,"Helping to improve efficiency, this Salamander HomeBoost fitting kit makes fitting a Salamander HomeBoost Intelligent pump easy. Containing connectors, adapters and washers, this kit can also be used to simplify the process of servicing.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Salamander HomeBoost homeboost fittings kit 15mm or 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/99/D00599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/HomeBoost_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HOMEBOOST_Brochure.pdf,,,,,,,,,,,,,,,
6,PC90013,Ideal Standard shower flow regulator 6LPM,Ideal Standard,6.83,"Designed to save on water, this Ideal Standard 6LPM shower outlet flow regulator provides simple installation into new or existing shower valves.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard shower flow regulator 6LPM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/14/NW-C90013_C90014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_L6959_Technical.pdf,,,,,,,,,,,,,,,,
7,PE08388,Ideal Standard Category 5 B1363 hose ring for shr kit ch rail fix cat 5,Ideal Standard,28.99,"Suitable for use with slide rail shower kits, this Ideal Standard Category 5 B1363 plastic hose retainer helps to keep a hand spray shower from moving around during use. Finished with a smart chrome plating, this retainer helps bathrooms to meet water regulations by preventing back siphonage in category 5 installations. This regulation stipulates that mechanical hydraulic protection devices should not be used, so the physical air gap the retainer creates is a useful side effect.",Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Ideal Standard Category 5 B1363 hose ring for shr kit ch rail fix cat 5,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/88/NW-E08388_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IStandardCategory5_HoseRetainer_Tech.pdf,,,,,,,,,,,,,,,,
8,PQ97131,Hansgrohe retaining ring,Hansgrohe,7.69,This Hansgrohe hose duct is made of transparent plastic.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Hansgrohe retaining ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/31/NW-Q97131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q97131_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hansgrohe_Brochure.pdf,,,,,,,,,,,,,,,
9,PD00224,Nabis Showerplate  bar valve concealed fixing plate,Nabis,25.41,This Nabis concealed fixing plate is designed for use with a shower bar valve.,Parts and Spares/Plumbing Parts and Spares/Shower Parts/Shower Parts.csv -> Nabis Showerplate  bar valve concealed fixing plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/24/NW-D00224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_D00224_FittingInstructions.pdf,,,,,,,,,,,,,,,,
