,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Diameter,Pack Quantity,Range,Material,Dimensions (L x W x D),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Feature 15,Feature 16,Feature 17,Feature 18
0,PN38589,Fischer recessed WC and bidet floor fixing kit,Fischer,5.25,"Designed for WC pans and bidets, this Fischer Sanitary Fixings conventional vertical fixing set includes a selection of nylon bushes and cover caps to accommodate different hole shapes and sizes. The included brass screws are suitable for screwing directly into timber floors or with the supplied nylon plugs for use in concrete floors.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer recessed WC and bidet floor fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/89/N38589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PN38588,Fischer recessed basin fixing kit,Fischer,4.59,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials. A collar sleeve is included for infinite alignment.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer recessed basin fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/88/N38588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WST_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PIS5599,JCP metal plasterboard fixing 15 x 35mm (Pack of 100),JCP,21.25,"Ideal for fastening light/medium loads to plasterboard, these JCP one-piece self-drilling anchors are simply screwed in using a manual or powered screwdriver. The point of the anchors drill a pilot hole, then a coarse, helical thread bites into the plasterboard substrate. Separate screws are used to mount the fixture.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> JCP metal plasterboard fixing 15 x 35mm (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-IS5599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JCP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/JCP_J_Plug_Plasterboard_Fixing_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN51727,Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),Owlett Jaton,3.8,These JCP Premium 7mm brown wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton Premium plastic plugs 7mm Brown (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/27/NW-N51727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PN38586,Fischer recessed WC and bidet fixing kit (2),Fischer,5.25,"Containing all the fittings you'll need for horizontal fitting of freestanding toilets and bidets, this Fischer Sanitary Fixings WB 5N WC fixing set includes an assembly bracket with pre-drilled rows of holes for flexible fixing in two directions. The set contains two Fischer SX 10 high quality nylon plugs, two 7 x 60 screws with integral washers, two nylon brackets, two 5 x 45 stainless steel screws and two chrome cover caps.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer recessed WC and bidet fixing kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/86/N38586_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PN38591,Fischer recessed wall mount basin fixing kit 8 x 100,Fischer,5.49,This Fischer Sanitary Fixings complete fixing set enables fast and easy mounting of wash basins and urinals. The Fischer universal fixing UX without rim is suitable for pre-positioned and push-through installation in all solid or hollow building materials.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer recessed wall mount basin fixing kit 8 x 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/91/NW-N38591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Sanitary_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_WD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Urinal_Fixing_Load_Table.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fischer_Fixings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PS00288,Fischer metal cavity fixing 5 x 37mm (20),Fischer,5.99,"Versatile fixings with metric screws, these Fischer HM-S cavity metal anchors are suitable for all panel building materials, fixing lights, towel rails and curtain rails. Set with Fischer installation pliers HM-Z 1 in pre-positioned installation, these fixings are pulled into the cavity against the board building material with pliers, expanding arms swinging open to press onto the reverse side of the board. As an alternative, assembly can be carried out with a screwdriver.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer metal cavity fixing 5 x 37mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/NW-S00288_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ab/le/Fischer_Cavity_Fixing_HM_Load_Table.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PN51726,Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),Owlett Jaton,3.07,These JCP Premium 6mm red wall plugs are made of high density polyethylene and are suitable for placing wood screws into concrete and masonry base materials.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Owlett Jaton Premium plastic plugs 5.5 mm Red (Pack of 100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/26/NW-N51726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JCP_Premium_Plug_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PIN4611,Fischer Express cement cartridge 310ml Grey,Fischer,5.31,"Ready to use and paintable, Fischer Express cement is a repairing mortar suitable for everything from renovating masonry and fixing roof tiles to sealing drill holes and general repair work. Practically odour-free and with a stable consistency, this cement is resistant to weather, ageing and UV. Protected against frost down to -15°C in the cartridge, Fischer Express is reusable with no need to add water or pre-mix, saving time and mess and reducing waste. Workable in most weathers, this water-based polymer offers good adhesion on slightly damp substrates and has been designed with the visual appearance of the mortar in mind for a discreet finish.",Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Fischer Express cement cartridge 310ml Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/11/NW-IN4611_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fischer_Express_Cement_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fischer_Express_Cement_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PS01127,Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),Georg Fischer,9.13,A Georg Fischer freestanding toilet and bidet fixing set.,Trade Essentials/Fixings and Fasteners/Fixings/Fixings.csv -> Georg Fischer free standing toilet with bidet fixing set (plugs/screws/caps/bushes),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/27/NW-S01127_wm.jpg,,,,,N,535878,Toilet with Bidet Fixing Set,N,Suitable for pre-positioned and push-through installation,"Includes plugs, screws, caps and bushes",,,,,,,,,,,,,,,,,,,,,,
