,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Thickness,Warranty,Hazardous,Depth (mm),Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Material,Number of Tap Holes,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Position,Anti Slip,Grip Holes,Weight,Tap Holes,Grips/Handles,Type
0,PD03935,Ideal Standard Tempo Cube no tap hole double ended bath 1800 x 800mm White,Ideal Standard,342.53,"Theuxuriant Ideal Standard Tempo Cube 1800mm bath is double-ended and supplied without tap holes to allow for the use of wall-mounted taps. With its gently sloping interior, the Tempo Cube has more than enough space for two.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Ideal Standard Tempo Cube no tap hole double ended bath 1800 x 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/35/NW-D03935_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E258401_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA03208,Nabis Monroe double ended bath 1700x700mm white,Nabis,180.05,"Simple and stylish, the contemporary Nabis Monroe 1700mm acrylic bath is a family-friendly design providing optimum bathing space. Supplied without tap holes, the Monroe has the option to maintain two comfortable back rest ends with the freedom to install the tap configuration that suits your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Nabis Monroe double ended bath 1700x700mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/08/NW-A03207_A03208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MonroeDoubleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_StandardBathPanel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PA03207,Nabis Monroe double ended bath 1800x800 white,Nabis,271.67,"Simple and stylish, the contemporary Nabis Monroe 1800mm acrylic bath is a family-friendly design providing optimum bathing space. Supplied without tap holes, the Monroe has the option to maintain two comfortable back rest ends with the freedom to install the tap configuration that suits your needs.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Nabis Monroe double ended bath 1800x800 white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/08/NW-A03207_A03208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_Bath_Panel_Matrix_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths_Screens_Matrix_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A03207_08_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PE01182,Nabis Bardot 1700x750 Nth Bath Dbl End,Nabis,184.8,"As elegant as its namesake, the stylish Nabis Bardot 1700 x 700mm acrylic bath is double ended for sharing or for spacious and luxurious solo bathing. The bath's taphole-free design allows the homeowner to opt for deck-mounted, wall-mounted or even standpipe style taps.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Nabis Bardot 1700x750 Nth Bath Dbl End,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/82/E01182_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/E01180_E01183 Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PE01183,Nabis Bardot 1800x800 Nth Bath Dbl End,Nabis,205.59,"As elegant as its namesake, the stylish Nabis Bardot 1800 x 800mm acrylic bath is double ended for sharing or for spacious and luxurious solo bathing. The bath's taphole-free design allows the homeowner to opt for deck-mounted, wall-mounted or even standpipe style taps.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Nabis Bardot 1800x800 Nth Bath Dbl End,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/83/E01183_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/E01180_E01183 Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PE01180,Nabis Bardot 1800x800 Nth Bath,Nabis,200.97,"As elegant as its namesake, the stylish Nabis Bardot 1800 x 800mm acrylic bath offers spacious and luxurious solo bathing. At one end of this white finished bath is a comfortable sloping backrest while its taphole-free design allows the homeowner to opt for deck-mounted, wall-mounted or even standpipe style taps.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Nabis Bardot 1800x800 Nth Bath,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/80/E01180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/E01180_E01183 Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PT03871,Ideal Standard iLife water saving bath 1700 x 700mm 139L,Ideal Standard,202.01,"Double-ended for complete comfort, the Ideal Standard i.Life acrylic bath has no pre-drilled tapholes making it ideal for fitting with floorstanding standpipe-style taps or under a wall-mounted bath filler. Measuring 1700 x 700mm, this water-saving bath has a standard rectangular shape to suit any bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Ideal Standard iLife water saving bath 1700 x 700mm 139L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/71/T03871_wm.jpg,,,,,White,iLIFE,30 mm,25 Years,N,390,Yes,Yes,No,No,Acrylic,0,Rectangular,No,T478101,N,139 l,Suitable for domestic or hotel use,Supplied without tapholes,Idealform,Double ended design,Acrylic construction,White colour,139L capacity,25 year warranty,,,,,,,
7,PD03920,Ideal Standard Tempo Arc no tap hole double ended bath 1700 x 750mm White,Ideal Standard,221.74,"The minimalist, robust Ideal Standard Tempo Arc acrylic bath is designed to sit well with other products in the Tempo range with Ideal Form and Ideal Form Plus+ versions available.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Ideal Standard Tempo Arc no tap hole double ended bath 1700 x 750mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/20/NW-D03920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E256601_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD03933,Ideal Standard Tempo Cube no tap hole double ended bath 1700 x 750mm White,Ideal Standard,267.8,"Just right for two, the Ideal Standard Tempo Cube 1700mm bath is double ended and has a gently sloping interior for increased comfort.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Ideal Standard Tempo Cube no tap hole double ended bath 1700 x 750mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/33/NW-D03933_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E258301_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD01752,Roca The Gap no tap hole double ended bath 1700 x 700mm White,Roca,393.61,"Created by Antonio Bullo, the acrylic Roca The Gap bath is part of a range of design-led bathroom pieces for a contemporary, compact finish. Optimising the use of space in any bathroom, this range is not just attractive but functional too.",Bathrooms and Kitchens/Baths and Bath Panels/Double Ended Baths/Double Ended Baths.csv -> Roca The Gap no tap hole double ended bath 1700 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/52/NW-D01752_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_24722000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Roca_24719000_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_24719000_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
