,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Range,Weight,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Dimensions (L x W x D),Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
0,P517880,JG Underfloor Speedfit UFH pipe staple 60mm,JG Underfloor,0.16,These 60mm JG Underfloor Speedfit pipe staples are barbed for secure and reliable fixing of pipes to insulation in underfloor heating installations.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit UFH pipe staple 60mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/80/517879_517880_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,
1,P200113,Myson Floortec panel with adhesive 1000 x 600mm,Myson,17.68,"This Myson Floortec microplate uses a 12mm pipe to provide a total of 15mm floor height. Multi-directional to suit any configuration, the easy to install self-adhesive plates become an integral part of the floor structure and are an ideal choice for use alongside solid or chipboard deck flooring.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Myson Floortec panel with adhesive 1000 x 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/13/200113_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Fixing-System_Tech.pdf,,,,,,,,,,,,,,,,,,,,
2,P581373,JG Underfloor Speedfit foil faceboard 1200 x 350 x 50mm,JG Underfloor,23.5,"Ideal for new build or renovation projects, this JG Underfloor Speedfit underfit board is a low profile system featuring grooved foil-faced underfloor heating insulation panels. The panels are designed for the installation of 15mm tubing in existing timber floor structures.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit foil faceboard 1200 x 350 x 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/73/581373_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,
3,PP96057,Uponor Minitec panel 6.2mtr,Uponor,131.38,"Easy to install, this Uponor MiniTec 1120 x 720 x 12mm panel is castellated to hold pipes securely in place, ensuring that your installation meets the relevant standards. Designed for the laying of pipe at 90° and in 45° bends, the panel keeps pipes directly below the top floor layer for reduced heat-up times and the option to operate at lower water temperatures, making MiniTec ideal for heat pumps and renewable energy sources.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Uponor Minitec panel 6.2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/57/NW-P96057_wm.jpg,,,,,,,Minitec,6160.00000,N,12,1083866,Panel,N,"Quick, secure and easy installation",For the laying of pipe at 90° and 45° bends,,,,,,
4,P581495,JG Underfloor Lowfit conduit elbow 12mm,JG Underfloor,2.39,"Covering and protecting plastic to conduit pipe transitions at a manifold for a neater installed finish, this JG Underfloor LowFit 12mm conduit for 90° elbows is part of the reliable Speedfit Underfloor Heating System.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Lowfit conduit elbow 12mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/95/NW-581495_wm.jpg,,,,,,,Lowfit,,N,,JGUFHCONELB12,Conduit Elbow,N,90° elbow sleeve for protection where a pipe rises out of the floor,Sleeve provides neat finish,12 mm,Speedfit components are designed and manufactured to ISO9001 and DIN4726,,,,
5,P261073,Myson Floortec insulated pipe sleeve Red,Myson,18.39,This 10M roll of Myson Floortec insulated pipe sleeve is intended for use in underfloor heating installations.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Myson Floortec insulated pipe sleeve Red,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/73/261073_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,
6,P606720,Grant Uflex pump/mixer,Grant,350.83,"Part of the Uflex range, this Grant Uflex pump/mixer is designed for easy installation in new underfloor heating systems. Highly efficient, the Uflex range is ideal for low temperature heating systems.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Grant Uflex pump/mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/20/606720_wm.jpg,,,,,,,Uflex,,N,,UFLEX109,Pump Mixer,N,For use with the Grant UFH Uflex range,"Suitable for new build, extensions and renovation projects",,Effective and efficient design,Installer friendly,Ideal for low temperate heating systems,,
7,P262986,Myson Floortec microboard straight board for pipe 12mm 1200 x 600mm,Myson,51.76,"Ideal for retrofit and equally suitable for new builds where space is at a premium, this Myson Floortec Microboard straight board offers easy installation of 12mm underfloor heating pipes over an existing floor. Just 18mm in depth, this board makes underfloor heating possible with no need for the costly disruption of excavation.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> Myson Floortec microboard straight board for pipe 12mm 1200 x 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/86/262986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,
8,P518001,JG Underfloor Speedfit rail 15mm x 2mtr,JG Underfloor,4.83,"For fast installation of 15mm pipe in underfloor heating, use this JG Underfloor Speedfit mounting rail. This 2M length of rail is pre-scored every 100mm for fast, easy and accurate cutting to fit your space.",Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit rail 15mm x 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/01/518001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,
9,P518006,JG Underfloor Speedfit roll edge strip 25mtr,JG Underfloor,27.56,This JG Underfloor Speedfit edge strip is suitable for use when installing underfloor heating in solid screeded floors. It is typically fitted around the edge of a room to provide an expansion gap for the expansion and contraction of the solid floor as it heats up and cools down.,Parts and Spares/sub_categories/Heating Replacement Parts/sub_categories/Underfloor Heating Parts and Accessories/Underfloor Heating Parts and Accessories.csv -> JG Underfloor Speedfit roll edge strip 25mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/06/518006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,
