,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Supplier Product Code,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Fuel Type,Seasonal Space Heating Energy Efficiency %,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Boiler Bundles,Boiler Range
0,P111704,Ideal Logic Max Combi2 C24 boiler with flue promo pack,Ideal,995.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Combi2 C24 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/04/111704_wm.jpg,Logic Max Combi2,N,111704 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P111713,Ideal Logic Max Heat2 H18 boiler with flue promo pack,Ideal,1083.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Heat2 H18 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/13/111713_wm.jpg,Logic Max Heat2,N,111713 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P111710,Ideal Logic Max System2 S30 boiler with flue promo pack,Ideal,1198.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max System2 S30 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/111710_wm.jpg,Logic Max System2,N,111710 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P124843,Ideal Vogue Max 32 system boiler 32kW,Ideal,1438.11,"The installer-friendly Ideal Vogue Max 32 condensing system boiler is built in a single piece with a lower than average lift weight for a less stressful fitting job. Attractively designed, with a modern composite casing and concealed controls, this 32kW room-sealed boiler looks great in any space and is easy to use too thanks to a large backlit LCD display. Highly efficient, the Vogue Max is fitted with high quality components for reduced maintenance and a bill-busting ErP A rating.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Vogue Max 32 system boiler 32kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/43/124840_124843_wm.jpg,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124843_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Consumer_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Product_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,P111707,Ideal Logic Max System2 S15 boiler with flue promo pack,Ideal,1097.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max System2 S15 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/07/111707_wm.jpg,Logic Max System2,N,111707 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P111714,Ideal Logic Max Heat2 H24 boiler with flue promo pack,Ideal,1120.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Heat2 H24 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/111714_wm.jpg,Logic Max Heat2,N,111714 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P111711,Ideal Logic Max Heat2 H12 boiler with flue promo pack,Ideal,995.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Heat2 H12 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/11/111711_wm.jpg,Logic Max Heat2,N,111711 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P111716,Ideal Logic Max Heat2 H30 boiler with flue promo pack,Ideal,1256.0,TBC,Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Heat2 H30 boiler with flue promo pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/16/111716_wm.jpg,Logic Max Heat2,N,111716 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P333715,Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,Ideal,1140.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C30 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 30kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/_a/333715_A_wm.jpg,Logic Max Combi2,N,333715 PK,N,,,,,,,White/Gloss,Natural Gas,A,Condensing Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 12.4LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,
9,P333716,Ideal Logic Max Combi C35 boiler and horizontal flue pack,Ideal,1369.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C35 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 35kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Boilers/Boiler Packs/Ideal Boiler Packs/Ideal Boiler Packs.csv -> Ideal Logic Max Combi C35 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/_a/333716_A_wm.jpg,Logic Max Combi,N,333716 PK,N,,,,,,,White/Gloss,Natural Gas,A,Condensing Combi Boiler and Horizontal Flue Pack,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 14.5LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,
