,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Projection Depth,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4
0,PP71186,Geberit Selnova semi recessed basin 1 tap 550 x 440mm,Geberit,168.38,"Made of vitreous china with a white finish, the Geberit Selnova 550 x 440mm semi-recessed washbasin has a classic design suited to any bathroom scheme, whether in a luxury en-suite or a functional family bathroom. This high-quality basin is designed for countertop mounting.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Geberit Selnova semi recessed basin 1 tap 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/87/NW-P71186_P71187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_SemiR_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,
1,PE14553,Atlanta Pavia one tap hole semi-recessed basin White,Atlanta,126.96,"Simple and stylish, the Atlanta Pavia 550mm semi-recessed basin has a smoothly rounded front, creating a curvaceous statement in a contemporary bathroom design. Easy to install, this basin sits well with any of Atlanta's fitted furniture pieces.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Atlanta Pavia one tap hole semi-recessed basin White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/53/NW-E14553_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,,
2,PP71188,Geberit Selnova Square semi recessed basin 1 tap 550 x 440mm,Geberit,176.82,"Modern yet understated, the design of the Geberit Selnova Square 550 x 440mm semi-recessed washbasin makes it the ideal choice for a bathroom refit. This smart and high-quality basin is made of vitreous china with a timeless white finish and is designed for mounting on a countertop.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Geberit Selnova Square semi recessed basin 1 tap 550 x 440mm,,Washbasin;Fastening material,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/89/NW-P71188_P71189_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_SR_Wbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,
3,PC22500,Nabis Short projection semi recessed basin,Nabis,216.83,This Nabis ceramic short projection semi-recessed basin with a single left hand tap hole is designed for use in reduced depth bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Nabis Short projection semi recessed basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/00/NW-C22500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tu/re/30091_Nabis_Furniture.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/as/in/C22500_Basin.pdf,,,,,,,,,,,,,,,,,,
4,PD49956,Ideal Standard i.Life B 550x440mm semi-countertop basin,Ideal Standard,120.65,"A modern designer-look fitting, the Ideal Standard i.Life B 550 x 440mm semi-countertop basin is designed to sit on top of the brand's dedicated i.Life vanity counter. It is also suitable for mounting on your choice of appropriate countertop or basin unit.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Ideal Standard i.Life B 550x440mm semi-countertop basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_j/pg/D49956.jpg_wm.jpg,,,,White,440,N,440,No,Furniture or countertop,Fine Fireclay,1,E260401,Semi-countertop,N,Designed by Palomba Serafini Associati,Fine fireclay construction,White colour,Single taphole,For furniture or countertop installation,Dedicated furniture unit available separately,
5,PP71187,Geberit Selnova semi recessed basin 2 tap 550 x 440mm,Geberit,168.38,"Made of vitreous china with a white finish, the Geberit Selnova 550 x 440mm semi-recessed washbasin has a classic design suited to any bathroom scheme, whether in a luxury en-suite or a functional family bathroom. This high-quality basin is designed for countertop mounting.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Geberit Selnova semi recessed basin 2 tap 550 x 440mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/87/NW-P71186_P71187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_SemiR_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,
6,PD44918,Roca Dama-N semi recessed basin White,Roca,220.03,"The modern Roca Dama-N 520mm semi-recessed basin with single tap hole has an elegant curved design and tough vitreous china build, ideal for contemporary family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Roca Dama-N semi recessed basin White,,Semi-recessed basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/18/NW-D44918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44918_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf
7,PD45054,Roca Debba one tap hole semi recessed basin 520mm x 400mm,Roca,283.72,The Roca Debba 520mm semi-recessed basin with single tap hole has a softly rounded contemporary design ideal for minimalist en suite bathrooms and cloakrooms.,Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Roca Debba one tap hole semi recessed basin 520mm x 400mm,,Semi-recessed basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/54/NW-D45054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D45054_Technical.pdf
8,PE14554,Atlanta Pavia one tap hole short projected basin White,Atlanta,126.96,"Simple and stylish, the Atlanta Pavia slimline 450mm semi-recessed basin has a smoothly rounded front, creating a curvaceous statement in a contemporary bathroom design. Easy to install, this basin sits well with any of Atlanta's fitted furniture pieces.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Atlanta Pavia one tap hole short projected basin White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/54/E14554_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,,
9,PD00763,Roca The Gap one tap hole semi recessed basin 560mm White,Roca,175.78,"Compact, functional and smart, this Roca The Gap 560mm semi-recessed basin with a single tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Roca The Gap one tap hole semi recessed basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/63/NW-D00763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00763_Technical.pdf
10,PD02407,Ideal Standard Sandringham 21 low level cistern bottom inlet dual flush valve 6/4ltr White,Ideal Standard,78.87,The Ideal Standard Sandringham 21 bottom inlet low level cistern is built in durable vitreous china and includes a push button for 6/4L dual flush operation. This cistern is part of an extensive range designed to help you create a matching bathroom suite.,Bathrooms and Kitchens/Bathroom Sinks/Semi-Recessed Basins/Semi-Recessed Basins.csv -> Ideal Standard Sandringham 21 low level cistern bottom inlet dual flush valve 6/4ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/07/NW-D02407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E876101_Technical.pdf,,,,,,,,,,,,,,,,,,,,
