,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Projection Depth,Range,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PB61019,Center CB Centresuite basin with two tap holes 550mm White,Center CB,34.76,This Center CB two tap hole 550mm wall-mounted basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Center CB Centresuite basin with two tap holes 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/19/NW-B61019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/B61019 - Center 2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Center_B61019_Line Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,,,,,,,,,,,,,,,,,,
1,PB61018,Center CB Centresuite basin with one tap hole 550mm White,Center CB,34.5,This Center CB single tap hole 550mm basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Center CB Centresuite basin with one tap hole 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/NW-B61018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B61018LineDrawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ld/B61018_Center_2012_550mm_1TH_LD.pdf,,,,,,,,,,,,,,,,,,
2,PD02363,Ideal Standard Sandringham 21 1 tap hole left hand handrinse basin 350mm White,Ideal Standard,63.24,"Made of tough vitreous china, this Ideal Standard Sandringham 21 350mm handrinse washbasin with single left hand tap hole has a compact wall-mounted design ideal for bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Sandringham 21 1 tap hole left hand handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/63/NW-D02363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02363_Technical.pdf,,,,,,,,,,,,,,,,,,,,
3,PC22616,Nabis Deco ceramic basin 500mm,Nabis,163.08,Nabis Deco ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Nabis Deco ceramic basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/16/NW-C22616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,
4,PD04641,Ideal Standard Tempo one tap hole basin 550mm white,Ideal Standard,70.52,"The softly streamlined Ideal Standard Tempo 550mm washbasin with a single tap hole is designed for use with full or semi pedestals. This basin is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Tempo one tap hole basin 550mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/41/NW-D04641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04641_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,
5,PD00633,Roca Laura A325315000 2 tap hole basin 450mm White,Roca,78.93,"Elegantly curved, this Roca Laura 450mm basin with two tap holes looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Laura A325315000 2 tap hole basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-D00633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00633_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
6,PD74699,Ideal Standard i.Life S guest basin 1 tap hole (right-hand) 45cm,Ideal Standard,98.52,"Part of a range of contemporary bathroom furniture pieces designed to streamline your interior, the Ideal Standard i.Life 450mm guest bathroom washbasin offers flexibility of installation with optional mounting on a wall, a pedestal or on a vanity. Helping to maximise space in awkwardly shaped rooms, the i.Life range blends compact dimensions with functionality and style.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard i.Life S guest basin 1 tap hole (right-hand) 45cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/99/D74699_wm.jpg,,,,,White,250,i.Life S,N,250,No,"Wall, pedestal or furniture mounting",Fine Fireclay,1,T518601,Guest washbasin,N,Designed by Palomba Serafini Associati,"Suitable for wall, pedestal or furniture mounting",Space-saving design for small bathrooms,With 1x right-hand taphole,Fine fireclay construction,White finish
7,PB20000,Twyford Classic 2 tap hole basin 560mm White,Twyford,39.85,"Suitable for domestic or commercial bathrooms, the Twyford Classic 560mm wall hung washbasin has a highly practical design with two tap holes and a clear centre shelf area.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Twyford Classic 2 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-B20000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Classic_560_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
8,PD04643,TEMPO T058801 500MM 1TH BASIN WHITE,Ideal Standard,70.52,"The softly streamlined Ideal Standard Tempo 500mm washbasin with a single tap hole is designed for use with full or semi pedestals. This basin is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> TEMPO T058801 500MM 1TH BASIN WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/43/NW-D04643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04643_Technical.pdf,,,,,,,,,,,,,,,,,,,,
9,PN66955,"Ideal Standard i.life B Washbasin, 1 taphole",Ideal Standard,87.47,"Designed for modern bathrooms, the Ideal Standard i.Life B 500mm washbasin has a simple, sleek design in robust ceramic with a glossy white finish.Supplied with a single taphole for ease of fitting a mixer tap of choice, the wall-mounted i.Life B basin is part of an extensive range, making designing your dream bathroom a breeze.","Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard i.life B Washbasin, 1 taphole",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/55/N66955_wm.jpg,,,,,White/Gloss,290,,N,440,No,Wall,Ceramic,1,E256201,Contemporary,N,Designed by Palomba Serafini Associati,Contemporary style,Ceramic construction,White gloss finish,For wall mounting,With single taphole
