,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Depth (mm),Colour,Warranty,Design Type,Material,Shape,Fittings Included
0,P171088,"Fluidmaster Pro Series side entry float valve 1/2"" shank Brass",Fluidmaster,14.75,"A favourite of professional plumbers, the Fluidmaster Pro Series side entry fill valve with heavy duty brass shank fills a toilet tank with water from the water supply line after flushing. More efficient and easier to install than a ballcock, this valve maximises toilet performance and saves on water.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series side entry float valve 1/2"" shank Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/88/NW-171088_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171088_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC93265,Ideal Standard Conceala 1.5 dual flush pneumatic outlet valve 180 O/F no cage (1),Ideal Standard,35.49,This Ideal Standard 1.5L dual flush pneumatic outlet valve is suitable for use in the brand's Conceala cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Ideal Standard Conceala 1.5 dual flush pneumatic outlet valve 180 O/F no cage (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/65/C93265_wm.jpg,,,,,,1,Conceala,N,EV98167,Flush Valve,N,Pneumatic operation,1.5L capacity,For Conceala cisterns,Without cage,,,,,,,,,,,,,,,,,,
2,PB24004,Nabis dual flush cable valve,Nabis,18.25,"Offering a universal fit, this Nabis dual flush valve cable can be used in both 1 1/2"" and 2"" outlets.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Nabis dual flush cable valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/04/NW-B24004_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24004_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P171190,Fluidmaster Pro Series lever operated dual flush valve,Fluidmaster,13.75,"A favourite of professional plumbers, the Fluidmaster Pro Series lever operated dual flush valve with 350mm cable fits 1 1/2"" flush outlets.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series lever operated dual flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-171190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171190_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P171087,"Fluidmaster Pro Series bottom entry float valve shank 1/2"" Brass",Fluidmaster,14.49,"The professional-grade Fluidmaster Pro Series fill valve with bottom entry and 1/2"" heavy-duty brass shank is designed to meet high standards of performance and quality for minimal maintenance requirements.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series bottom entry float valve shank 1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/87/NW-171087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171087_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD00776,Siamp Optima 49 dual flush outlet valve,Siamp,28.49,"The compact, water saving Siamp Optima 49 dual flush valve is for plastic or ceramic cisterns with lid holes between 16 and 50mm.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Siamp Optima 49 dual flush outlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/76/NW-D00776_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Optima_49_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Optima_49_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P171203,Fluidmaster Univers Cistern Repair Pk,Fluidmaster,31.49,"Promising high quality and reliable durability, this Fluidmaster PRO Series universal cistern pack was developed with plumbing professionals in mind. A handy addition to your stockroom, this pack includes a brass shank fill valve, flush valve and fittings.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Univers Cistern Repair Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/03/NW-171203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P171116,"Fluidmaster Pro Series cable dual flush valve 1.1/2""",Fluidmaster,11.5,"A popular choice with professional plumbers, the easy fit, easy maintenance Fluidmaster Pro Series button operated cable dual flush valve fits 1 1/2"" and 2"" flush outlets.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Fluidmaster Pro Series cable dual flush valve 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/16/NW-171116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171119_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PC92756,Ideal Standard flush valve seal and seal clip,Ideal Standard,3.99,An Ideal Standard spare flush valve seal with seal clip.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Ideal Standard flush valve seal and seal clip,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/56/NW-C92756_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IStandard_LiveTheIdeal_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PB92914,Thomas Dudley Universal Syphon Repair Kit,Thomas Dudley,41.0,This Dudley Thomas siphon repair kit includes an adjustable siphon and telescopic compact float valve as well as a cistern lever.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Flush Parts/Toilet Flush Parts.csv -> Thomas Dudley Universal Syphon Repair Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/13/2 -B92913_wm.jpg,,,,,,,,N,372687,Repair Kit,N,Turbo Edge fits all syphon ceramic and plastic WC cisterns,Height adjustable from 7 ½” (191mm) to 9 ½” (241mm),Retrofits onto existing Dudley downlegs,"Turbo 88 (adjustable and fixed heights), S44R and S1-11 Syphon downlegs",The best performing syphon that fits all cisterns,User-friendly light-tough operation,"Fully captive yellow fixing pin does not need to be removed to install syphon, easing installation",Water saving Duoflush as standard,Convertible to single flush,6/7/9 litre volume adjustment guaranteeing optimum flush performance,WRAS approved product,"Hydroflo Compact Float will not catch on tight cistern installations where the inlet valve is close to the syphon or outlet valve, ensuring perfect operation","Professional ½"" brass tail",Water saving delay fill action,Patented integrated quiet fill action,,,,,,,
