,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Fuel Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Mugs (250ml) per Tank,Antimicrobial Protection,Body Material,Controls,Eco Setting,Frequency,IP Rating,Material,Min Bar Pressure,Min Pressure (Psi),Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Attachment 6,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Connection Type,Water Heating Declared Load Profile,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,ErP Rating,Max Pressure (Psi),Mounting Type
0,PD69521,Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,Zip,1220.18,"The technologically advanced Zip HydroBoil Plus 3L instant water heater is designed to minimise energy consumption without compromising on convenience. Its integral state-of-the-art technology maintains boiling water to within 0.5°C of the user-set temperature, while energy-saving Power-Pulse technology, inactivity and low-light sleep modes and timer settings help to ensure best-ever efficiency. Additionally, the cool-touch  two-way safety tap enhances insulation of the boiler. Located to the right of the tap, a safety lock makes restricting the use of boiling water simple, ensuring safety for curious fingers.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Zip HydroBoil Plus 403562 Wall mounted water boiler 3Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_5/23/D69521_523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Zip_Autoboil_Hydroboil_Plus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_A5_AW_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD68915,Elson EBW 25 boiling water dispenser 2.5ltr,Elson,459.1,"Designed for office breakrooms and canteens, the 2.5L Elson EBW25 wall-mounted boiling water dispenser delivers generous amounts of boiling water on demand, filling cups with no time, energy or water wasted in boiling kettles. This 2.5kW unit is fast and simple to install with fittings included in the box.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Elson EBW 25 boiling water dispenser 2.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/15/D68915_wm.jpg,,,White,Electric,N/A,EBW,2 Year,56 kg,N,N/A,25 kW,190,16 mins,10,No,ABS,Electronic,No,50/60,IPX2,Thermoplastic,0.5,7.25,15 mm,93200001,Boiling Water Dispenser,N,2.5 l,"Includes heater, screws, plugs and instructions",14 cups or 167ml delivered at once,"Quick, easy installation",15mm connections,IPX2 rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD69512,Zip EconoBoil 403542 Wall mounted water boiler 3Ltr,Zip,791.05,"Thermostatically controlled, the Zip EconoBoil 3L instant water heater offers affordable reliability, delivering generous levels of boiling water at a constant temperature from a attractively designed command centre. With patented twin chamber Steam-Heat-Boost technology, the EconoBoil recycles energy from steam to preheat incoming cold water which, along with the insulated drinking water tank, improves overall efficiency.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Zip EconoBoil 403542 Wall mounted water boiler 3Ltr,,Instant water heater only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_5/13/D69512_513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Econoboil_Hydroboil_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Zip_A5_AW_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD68881,Heatrae Sadia Supreme 165SS supreme pack 5ltr 2.5kW Stainless steel,Heatrae Sadia,875.99,"The clean, hygienic Heatrae Sadia Supreme 165SS 5L capacity water boiling unit pack has antimicrobial, fingerprint-resistant stainless steel outer casing, making it ideal to deliver on-demand hot water in hospital, clinical and kitchen settings. Straightforward to install and easy to use, the 2.5kW, wall-mounted Supreme is an efficient, safe alternative to kettles, ensuring heat-up steam is condensed and retained, guarding against scalds.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 165SS supreme pack 5ltr 2.5kW Stainless steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/83/D68880_D68883_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150SS_165SS_180SS_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PU48020,Lincat FilterFlow FX EB3FXHCPB countertop combined water boiler and chiller 3kW,Lincat,1852.56,This Lincat FilterFlow 108mm end feed coupling is a replacement part for the FilterFlow push button water boiler and chiller.,Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Lincat FilterFlow FX EB3FXHCPB countertop combined water boiler and chiller 3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/20/U48020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_FilterflowEB3FXHC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ua/ls/Lincat_IS726_Instruction_manuals.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD68150,Santon Speediboil SP2.5 water boiler 2.5kw,Santon,724.52,"Ideal for use in canteens, offices, workshops and salons, the commercial grade Santon Speediboil SP 2.5L boiling water heater provides instantaneous hot water direct from the wall. Supplying over 150 cups of boiling water an hour on a 2.5kW output, this efficient unit is ideal for busy breakrooms, saving wasted time, electricity and water.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Santon Speediboil SP2.5 water boiler 2.5kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/52/D68150_D68952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Santon_Speediboil_Issue_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/rd/Santon_Warranty_Card.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Santon_Speediboil_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PV12434,Instanta On Wall Boiling HS001UK Wall mounted water boiler 1.5Ltr,Instanta,689.95,"Ideal for kitchens with limited space, the robust Instanta 1.5L capacity wall-mounted water boiler supplies instantaneous hot water via a hardwearing two-way tap. Supplying up to 89 mugfuls of hot water an hour, this boiling unit is ideal for use in busy spaces where coffee and tea making facilities are in high demand.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Instanta On Wall Boiling HS001UK Wall mounted water boiler 1.5Ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/34/V12434_wm.jpg,,,White,,up to 96,On Wall Boiling,1 year,61 kg,N,,15 kW,165,15 mins,89 per hour,No,,Manual,No,,IP23,Stainless Steel,5,29,3/4 inch,HS001UK,Instant Water Heater,N,15 l,With two-way tap,Tap is chrome-plated,Enamelled steel casing,White finish,Corrosion-resistant design,Capable of supplying 89 mugs of water per hour,,,15 minute re-heat,Manually controlled,IP23 rated,1 year warranty,,,,,,,,,,,,,,,,,,,
7,PD70840,Heatrae Sadia Supreme 150SS boiling water unit 150ltr Stainless Steel,Heatrae Sadia,1089.46,"The clean, hygienic Heatrae Sadia Supreme 150SS 2.5L capacity water boiling unit pack has antimicrobial, fingerprint-resistant stainless steel outer casing, making it ideal to deliver on-demand hot water in hospital, clinical and kitchen settings. Straightforward to install and easy to use, the 2.5kW, wall-mounted Supreme is an efficient, safe alternative to kettles, ensuring heat-up steam is condensed and retained, guarding against scalds.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 150SS boiling water unit 150ltr Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/46/D70840_D70846_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_SS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150SS_165SS_180SS_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,,,,,,,,,,,,,,,,,
8,P112181,Hyco Omega wall mounted boiling water heater 3litre 2.84kW 500x330x255 white,Hyco,492.29,"A smart modern design constructed in robust, easy to clean white ABS, the Hyco Omega 2.84kW 3L wall-mounted boiling water heater looks great in any communal kitchen and helps to reduce on-counter clutter by doing away with the need for a kettle. Offering on-demand boiling water, this smart unit refills and reheats automatically, delivering exactly the amount of water you'll need for each cup of tea or coffee, helping to make work breaks simpler and more eco-friendly too. Easy to install, the Omega is also effortless to use.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Hyco Omega wall mounted boiling water heater 3litre 2.84kW 500x330x255 white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/49/596349_wm.jpg,,,White,,96-98 degrees,,1 year on-site warranty as standard3 year on-site warranty available at additional cost,7 kg(Empty)10 kg(Full),N,N/A,2.84 kW,255,7,12,N/A,,Manual,No,,IPX0,Easy Clean High Impact Polycarbonate/ ABS,1,14.5,Inlet/ Outlet 2 x 15mm compression. 1 x Tundish Recommended,OMEG3,Mall Mounted Boiling Water Heater,N,3 l,White colour,Designed and assembled in the UK,Fast heat-up and high recovery rate,Standing losses of 23W for better efficiency,LED status ring on base of control valve indicates ready/heating,With heavy duty ceramic control valve,,,Cool-touch control valve and water outlet for reduced heat loss,Easy to use and install,"Durable, high impact ABS case offers ease of cleaning",Sophisticated electronics maintain constant supply even when refilling,,,Automatically refills as needed,Autocalibration for optimal temperature,Filter system is recommended to protect against limescale,Should be descaled regularly,IPX0 protection,1 year on-site warranty,3 year on-site warranty available at additional cost,Scale damage is not covered by warranty,,,,,,,,,
9,PD70807,Heatrae Sadia Supreme 180 water boiler 180ltr White,Heatrae Sadia,1403.64,"Providing instant boiling water on demand, the 7.5L capacity Heatrae Sadia Supreme 180 water heater pack requires only a mains electrical connection and plumbing directly to the cold water supply for easy installation. Featuring Heatrae Sadia's smart Intelliboil Plus technology for energy efficient management of the boiling cycle and with an integrated water conditioner to decrease scaling, the 2.5kW, wall-mounted Supreme promises high levels of efficiency and convenience as well as clean and hygienic use thanks to a long-term antimicrobial surface.",Water Heating and Storage/Water Heaters/Water Boilers/Hot Water Dispensers/Hot Water Dispensers.csv -> Heatrae Sadia Supreme 180 water boiler 180ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/07/D70805_D70807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Heatrae Sadia_Supreme_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HeatraeSadia_Supreme_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/HS_SmartDrinkigWaterSltn_PrdRng_2018.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HeatraeSadia_Supreme_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/HS_Supreme_150_165_180_Install.pdf,,,,,,,,,,,,,,,,,
