,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Feature 9
0,PF14650,Center CB 92.5deg double branch 110mm Black,Center CB,97.55,"Center CB double tee is made of PVC-U. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Center CB 92.5deg double branch 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/50/NW-F14650_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF14608,Center CB single branch 110mm Black,Center CB,14.76,"Made of PVC-U, this Center CB 110mm single tee is part of a complete range of push-fit soil system fittings offering fast, easy installation, making it ideal for use in a wide range of applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Center CB single branch 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/08/NW-F14608_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF14508,Center CB single branch 110mm Grey,Center CB,14.76,"Made of PVC-U, this Center CB 110mm single tee is part of a complete range of push-fit soil system fittings offering fast, easy installation, making it ideal for use in a wide range of applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Center CB single branch 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/08/NW-F14508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF14568,Center CB single branch 110mm 87.5° Grey,Center CB,47.05,"Equally suitable for domestic and commercial use, this Center CB 110mm plastic single tee is designed for high levels of performance. Center's PVC-U solvent weld soil fittings are compatible with the push-fit range of pipes and fittings, providing permanent connections where required.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Center CB single branch 110mm 87.5° Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/68/NW-F14568_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF67117,Polypipe PolySoil 92.5deg single branch 110mm White,Polypipe,64.38,"Made of white PVC-U, this Polypipe PolySoil single branch with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Polypipe PolySoil 92.5deg single branch 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/17/NW-F67117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF66917,Polypipe PolySoil 92.5degee single branch 110mm Black,Polypipe,64.38,"Made of black PVC-U, this Polypipe PolySoil single branch with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Polypipe PolySoil 92.5degee single branch 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/17/NW-F66917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF66817,Polypipe PolySoil ST401:G 92.5deg single branch 110mm Grey,Polypipe,64.38,"Made of grey PVC-U, this Polypipe PolySoil single branch with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Polypipe PolySoil ST401:G 92.5deg single branch 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/17/NW-F66817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PQ66449,Wavin Wavin OsmaSoil 87.5deg single branch 110mm White,Wavin,52.51,"Made of white PVC-u, this Wavin OsmaSoil 110mm 87.5° single branch with socket x socket x plain end connections is suitable for use in both domestic and commercial installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Wavin Wavin OsmaSoil 87.5deg single branch 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/49/NW-Q66449_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ66899,Wavin Wavin OsmaSoil PVC-U double branch 90 deg 110 x 110mm White,Wavin,131.32,"Made of white PVC-u, this Wavin OsmaSoil 110 x 100mm 90° double branch with socket x plain end x socket x socket connections is suitable for use in both domestic and commercial installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Wavin Wavin OsmaSoil PVC-U double branch 90 deg 110 x 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/99/NW-Q66899_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC-U_Pipe_Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PQ64233,Wavin Wavin OsmaSoil corner branch 110mm Grey,Wavin,206.7,"Made of grey PVC-u, this Wavin OsmaSoil 110mm corner branch with socket x socket x socket x plain end connections is suitable for use in both domestic and commercial installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Branches/Soil Pipe Branches.csv -> Wavin Wavin OsmaSoil corner branch 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/33/NW-Q64233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
