,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 3,Attachment 4
0,PJ02658,Grohe Euphoria 110 Mono low pressure monobloc head shower,Grohe,60.08,"The Grohe Euphoria 110 Mono showerhead delivers a soothing rain shower with DreamSpray technology to ensure a generous, balanced flow. Finished in StarLight chrome and with SpeedClean inbuilt, this showerhead maintains its limescale-free good looks for longer.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Grohe Euphoria 110 Mono low pressure monobloc head shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/58/NW-J02658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_27237000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_27237000_Technical.pdf,,,,,,,,,,,,,,,,,,,
1,PD12163,Rada Rada SH fixed head assembly only,Rada,34.32,"This Rada SH fixed showerhead assembly has been designed with healthcare guidelines firmly in mind, helping management of hospitals and other clinical settings to comply with global requirements for healthier, more hygienic showering.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Rada Rada SH fixed head assembly only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/63/D12163_wm.jpg,,,Black/Chrome,Rada SH,2 Year,N,197,24842-CP,Showerhead,N,Chrome and black colourway,Single mode spray plate,Spray plate is detachable,With nozzle mat,Includes clamp bracket,Includes right-angled connector (RAC),With hose,Helps to meet WRAS approval,2 year warranty,,
2,PA05036,Nabis Round Shower Head,Nabis,13.98,"Easy to clean, this Nabis 200mm round showerhead is made of a robust ABS with a glossy chrome-plated finish.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Nabis Round Shower Head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/36/NW-A05036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Handset_Installation.pdf,,,,,,,,,,,,,,,,,,,
3,PC43059,Deva Anti-Vandals anti vandal shower head Chrome Plated,Deva,67.28,"Designed for public installation, the Deva anti-vandal showerhead has safe, rounded edges and a robust brass construction as well as a flow limiter for reduced water waste.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Deva Anti-Vandals anti vandal shower head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/59/NW-C43059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_AVSH001_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,,,,,,,,,,,,,,,,,,,
4,PD53188,Aqualisa Mian round fixed head 200mm Chrome,Aqualisa,72.28,This Aqualisa Mian 200mm round fixed showerhead is finished in chrome.,Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Aqualisa Mian round fixed head 200mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/88/NW-D53188_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aqualisa_ACY1004_Technical.pdf,,,,,,,,,,,,,,,,,,,,
5,PD08172,Bristan ABS round fixed shower head 200mm,Bristan,39.07,Ensure your project is given the perfect finishing touch with our range of Accessories,Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Bristan ABS round fixed shower head 200mm,,1 x Plastic Shower Head;1 x Fitting Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/72/NW-D08172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_FHCABRS_Instruction.pdf,,,,,,,,,,,,,,,,,,,,
6,PA05058,* CENTER SINGLE FUNCTION FIXED HEAD 70MM,Center CB,4.31,"Finished in chrome, this Center CB single function showerhead has a 70mm faceplate and incorporates a swivel joint for personalised adjustment. The shower's rubber nozzles are easy to clean with a quick wipe of a damp cloth.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> * CENTER SINGLE FUNCTION FIXED HEAD 70MM,,Screw coverSpray plateNozzlesHandset bodyFixed head threadSealing washer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/58/NW-A05058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/Center_CB_A05044_A05058_Fit_Instrctn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,
7,PD08173,BRISTAN ABS 200MM SQUARE,Bristan,39.07,This Bristan 200mm fixed showerhead has a smart square shape suitable for modern bathrooms and a chrome finish to match into the majority of interior schemes.,Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> BRISTAN ABS 200MM SQUARE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/73/D08173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Bristan_Brochure.pdf,,,,,,,,,,,,,,,,,,,
8,PD63845,Ideal Standard Idealrain Cube rainshower head 200mm,Ideal Standard,152.12,"The Ideal Standard Idealrain Cube M1 200mm rain shower has a neat, contemporary square head with gently rounded edges. Limescale-resistant, this generously sized showerhead offers effortless cleaning.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Ideal Standard Idealrain Cube rainshower head 200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/46/NW-D63845_D63846_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_B0024_Technical.pdf,,,,,,,,,,,,,,,,,,,
9,PD51343,Aqualisa Varispray adjustable head Chrome Plated,Aqualisa,258.94,"The Aqualisa Varispray showerhead kit includes a Pinch Grip slider, tough metal hose and a soap dish, all with an easy-clean spray selector showerhead.",Showering/Shower Parts and Accessories/Fixed Shower Heads/Fixed Shower Heads.csv -> Aqualisa Varispray adjustable head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/43/NW-D51343_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_99_40_01_Installation.pdf,,,,,,,,,,,,,,,,,,,,
