,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Weight,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Range,Approvals,Material,Feature 4,Feature 5,Diameter,Warranty,Depth (mm),Feature 6,Attachment 4
0,PP58961,Uponor Q&E PEX 90deg PEX elbow 25mm,Uponor,4.6,This Uponor Q&E 25 x 25mm 90° elbow is made of polyphenylsulfone (PPSU) and includes shrink-fit connections. It is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX 90deg PEX elbow 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/61/NW-P58959_P58961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP53267,"Uponor Wipex pre-insulated pipe coupling 6b 32x1"" mt",Uponor,32.73,"Specifically designed for connecting crosslinked polyethylene (PE-X) pipes, the Uponor Wipex 6B pre-insulated pipe coupling is suitable for hot and cold water in domestic and district heating installations. Suitable for 25 to 110mm Thermo pipes, this coupling has a gripping strength higher than the tensile strength of the pipe and high levels of sealing performance unaffected by temperature fluctuations. This Wipex coupling ensures easy, fast fitting, even in awkward or confined spaces, using a minimal number of tools.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Wipex pre-insulated pipe coupling 6b 32x1"" mt",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/72/P53267_P53272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Ecoflex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,PP58978,Uponor Q&E PEX PEX copper adaptor 25 x 22mm,Uponor,4.87,This Uponor Q&E 25 x 22mm adapter for soldering PL is made of copper material and is suitable for use in hot and cold systems and in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX copper adaptor 25 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/78/NW-P58977_P58978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P255724,"Midland Brass copper tube 600mm and wall plate 1/2"" x 15mm",Midland Brass,13.98,"This easy to install Midland Brass 15mm x 1/2"" wall plate is pre-assembled with a copper tail for fast, easy installation. Ideal for garden taps, this wall plate is suitable for any 1/2"" tap.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Midland Brass copper tube 600mm and wall plate 1/2"" x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/24/NW-255724_wm.jpg,,,10000.00000,N,Unequal,15mm,1/2,15mm x 1/2,Solder Weld x BSP,Plain End,BFWPT600-15D,Wall Plate and Copper Tube,N,Copper tail,"Fits 1/2"" garden taps",Simple installation,,,,,,,,,,,
4,PR24356,Uponor RTM MLCP copper adaptor 16 x 15mm,Uponor,9.16,This Uponor RTM 16 x 15mm adapter is made of brass and is supplied with copper pipe and press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor RTM MLCP copper adaptor 16 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/56/NW-R24356_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Uponor_MLC_Brochure_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP58972,Uponor Q&E PEX PEX one end and branch reduced tee 25 x 16 x 16mm,Uponor,5.34,"Fitted with shrink-fit connections, this Uponor Q&E PEX 25 x 25 x 16mm one end branch reduced tee is manufactured in polyphenylsulfone, otherwise known as PPSU.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX one end and branch reduced tee 25 x 16 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/72/NW-P58972_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/le/QE_Shrink_Fit_Article.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP92504,Uponor Q&E PEX PEX pipe ring 25mm White,Uponor,0.51,"This Uponor Q&E 25mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 25mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/04/NW-P92502_P92504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PP58955,Uponor Q&E PEX PEX straight coupling 25mm,Uponor,3.23,This Uponor Q&E 25 x 25mm straight coupler is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX straight coupling 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/NW-P58954_P58955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP92486,Uponor Q&E PEX PEX pipe ring 25mm Red,Uponor,0.51,"This Uponor Q&E 25mm evolution ring is made of cross-linked polyethylene (PE-X). Suitable for PEX pipes, this fitting has a conical liner shape and stop edge and includes shrink-fit connections.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX pipe ring 25mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/86/NW-P92484_P92486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PP58954,Uponor Q&E PEX PEX straight coupling 16mm,Uponor,1.52,This Uponor Q&E 16 x 16mm straight coupler is made of polyphenylsulfone (PPSU) with shrink-fit connections. It is suitable for use in hot and cold systems as well as in heating systems.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/PEX Pipe Fittings/PEX Pipe Fittings.csv -> Uponor Q&E PEX PEX straight coupling 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/NW-P58954_P58955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_QE_Shrink_Fit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Uponor_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
