,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Boiler Range,Part Gas Council number,By Model Number,Feature 1,Feature 2,Feature 3,Operating Temperature,Range,Warranty,Pack Quantity,Depth (mm),Fuel Type,Weight,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,For Use With,Body Material,Dimensions mm (H x W x D),Application,Feature 9,Voltage (V),Material,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Colour,Connection Type,Thickness,Size,Operating Temperature Range (C)
0,P171292,Center CB filling loop with caps 15mm,Center CB,10.25,"This Center CB filling loop is designed to make a temporary connection between the mains water supply and a sealed heating system for the manual top-up of a sealed heating circuit. Used when pressure in the system drops following installation or servicing, this DZR brass filling loop provides a simple, flexible and fast solution and incorporates blanking caps and a retaining strap for additional security when top-up is complete.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Center CB filling loop with caps 15mm,,Filling loop;Cap,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/92/171292_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/171292_TDS_Center_F_Loop_wEnd_Caps_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_171292_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P171291,Center CB filling loop 15mm,Center CB,10.25,"This Center CB filling loop is designed to make a temporary connection between the mains water supply and a sealed heating system for the manual top-up of a sealed heating circuit. Used when pressure in the system drops following installation or servicing, this DZR brass filling loop provides a simple, flexible and fast solution.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Center CB filling loop 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/91/171291_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/171291_TDS_Center_F_Loop_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_171291_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P340085,Center CB replacement synchron motor 240v,Center CB,19.67,"A Center CB 240V synchronous motor for valve applications.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Center CB replacement synchron motor 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/85/340085_wm.jpg,,,N,Domestic Appliance Valve Application,Hydraulics,EHE0200358,Synchronous Motor,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD71023,Heatrae Sadia temperature valve 10bar,Heatrae Sadia,91.28,"This Heatrae Sadia pressure reducing valve with push-fit inlet connection and male screw fit outlet connection is suitable for use in Miscellaneous, Elson Cylinder, Elson Cylinder (Olympic Village only), utility cupboard hot water heat interface units, Zircon, Premier Plus ErP, Heatstore Premier, Main Unvented, Megaflo Eco Slimline, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Eco Systemfit ErP, Megaflo Eco SystemReady SB, Megaflo HE, CenterStore, Gold, Pullin, Premier Plus, Sapphire Professional Choice Unvented Direct/Indirect, Sapphire Unvented Direct/Indirect, Express, Megalife, Megaflo, Megatech, Megaflo eco, Megaflo Eco Plus, CenterStore Jet, Megaflo eco SolaReady, Megaflo eco Systemfit, Megaflo eco Solar, Heatstore and Megaflo Eco Systemfit ErP (package with Hi-Max Store) appliances.  The pressure relief valve is designed to control pressure in a closed system, relieving a build-up to avoid damage or malfunction.  As the UK’s leading parts specialist, Wolseley carry the widest range of spar",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Heatrae Sadia temperature valve 10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/23/D71023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P420916,Viessmann plate heat exchange,Viessmann,93.96,"A genuine Viessmann replacement part, this heat exchanger is for use in the brand's own Vitodens boilers. It is supplied with gaskets and fixing bolts for installation.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann plate heat exchange,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/16/NW-420916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Viessmann_Vitodens_050_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P415037,Viessmann expansion tank (CRI 8/B1KA),Viessmann,160.57,"This Viessmann expansion tank is supplied with two fitting bolts and a fibre washer for hose connection. It is suitable for use with boilers in the Vitodens range.  A chamber designed to protect water heating systems from excess pressure, the expansion tank is filled with air which acts as a cushion against system pressure surges.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann expansion tank (CRI 8/B1KA),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/37/415037_wm.jpg,,,N,"100 WB1C 26kW Combi, 100-W B1HA 35kW System ErP, 100-W B1HC 30kW, 100-W B1KC 30kW, 100 WBPJA 25kW Combi, 100-W B1KC 26kW, 050 W BPJD 29kW, 100 WB1C 26kW System, 100 WB1C 35kW Combi, 050 W BPJD 35kW, 100 WB1C 35kW System, 100-W B1HC 26kW, 100-W B1KC 35kW,",Expansion Vessel,7837231,Expansion Vessel,N,Vitodens,J06595,"050 W BPJD,100 WB1C 19kW System,050 W BPJD 35kW,100-W B1KC 35kW,100 WB1C 35kW System,100-W B1KC 26kW,100 WBPJA 25kW Combi,100-W B1HA 30kW System ErP,100-W B1HC 19kW,100-W B1KA 26kW Combi ErP,100-W B1KA 35kW Combi ErP,100-W B1HC 26kW,100 WBPJA 29kW Combi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P467650,Saunier Duval safety valve,Saunier Duval,14.86,"A Saunier Duval safety relief valve for C-CI, Easicom, Energy 2, Energy 7, Essential, Home, SXI, Ultimate 3, Ultracom, Ultracom2, Themaclassic, Energy, Miscellaneous, SI, Sustain, Ultimate 2, Thema, Themaplus, Flexicom, Eden, Betacom, CXI, Ultrapower, Enviroplus, Isofast, Isotwin and Xtramax boilers. This Saunier Duval/Glow Worm boiler pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.   Manufacturer Part Number: 0020047005  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Saunier Duval safety valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/50/467650_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/SD_Duotwin_Condens_F30_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P420168,Viessmann electrode block,Viessmann,42.82,"This Viessmann brand electrode is a replacement part for Vitodens boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann electrode block,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/68/420168_wm.jpg,,,N,"100 WB1B 26 kW Combi, 100 WB1C 30kW System, 100-W B1KC 26kW, 100 WB1C 26kW Combi, 100-W B1HC 35kW, 100-W B1KA 30kW Combi ErP, 111 W B1LD 35kW, 100 WB1B 30 kW Combi, 100 WB1C 26kW System, 100-W B1HA 19kW System ErP, 100-W B1HC 30kW, 100-W B1KC 30kW, 100 W",Gas Assembly,7828718,Electrode,N,Vitodens,,"100-W B1HA 30kW System ErP,100 WB1C 30kW Combi,100 WB1B 26 kW Combi,100 WB1C 19kW System,100 WB1B 26 kW System,100 WB1C 30kW System,100 WBPJA 29kW Combi,100 WB1B 30 kW System,100 WB1C 35kW System,100 WB1B 35 kW System,100-W B1HA 35kW,100 WBPJA 25kW Combi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P490838,Anglo Nordic AN550-1 super universal boiler thermocouple 900mm,Anglo Nordic,22.43,"Designed for a long, reliable life, this Anglo Nordic AN550-1 900mm super universal boiler thermocouple includes ten universal adapter fittings for compatibility with screw-in, push-in or clamp-type pilot burners. Easy to use, this thermocouple is intended to perform to at least the same standard as the original it replaces.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Anglo Nordic AN550-1 super universal boiler thermocouple 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/38/490838_wm.jpg,,,N,,Pilot Light Burner,0140550-1,,N,Most Natural Gas Boilers,,,Suitable for use with most gas boilers with thermocouple pilots,For UK domestic heating and commercial catering,With 10x fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P416420,Viessmann burner gasket,Viessmann,28.55,"A Viessmann gasket for use in the gas assembly of Vitodens and Vitovalor boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Other Brands Boiler Parts/Other Brands Boiler Parts.csv -> Viessmann burner gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/20/416420_wm.jpg,,,N,"050 W BPJC 29 kW, 050 W BPJC 35 kW, 050 W BPJD 29kW, 100 WB1A 24kW Combi, 100 WB1B 16 kW Heat Only, 100 WB1B 19 kW Heat Only, 100 WB1C 35kW Combi, 100 WB1C 35kW System, 100 WBPJA 29kW Combi, 100-W B1HC 26kW, 200 WB2B 26kW System, 200-W B2HB 19kW, 222-F B",Gas Assembly,7836177,Gasket,N,"Vitodens, Vitovalor",H33371,"100 WB1C 26kW System,050 W BPJD 29kW,100 WB1C 30kW Combi,100 WB1C 19kW System,050 W BPJD 35kW,100 WB1B 16 kW Heat Only,100 WB1B 19 kW Heat Only,100 WB1C 35kW System,100 WB1B 26 kW Heat Only,100 WB1C 35kW Combi,100 WB1C 26kW Combi,100 WB1A Compact 18kw,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
