,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 6,Attachment 7,Dry Weight (kg),Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 8,Attachment 9,Max Vertical Level Flue Length (metres),Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Flue Type,Flue Diameter,Flue Length,Flue Size,Part Gas Council number,By Model Number
0,P141647,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,Worcester Bosch,1259.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 30kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P125247,Ideal Heating 228319 I-mini 2 C24,Ideal Heating,650.81,"Exclusive to Wolseley, the Ideal i-mini2 C24 combi boiler offers simplified installation and easy servicing, making it a particularly attractive proposition for heating engineers looking to maximise their time. Ultra-compact, this lightweight boiler has a range of flueing options for flexible siting while the reduced number of internal components means there's less to go wrong - great news for your clients. Easy to operate, the i-mini2 delivers hot water quickly for frustration-free use.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating 228319 I-mini 2 C24,,Boiler only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/47/125247_wm.jpg,,,,,,9.9,Natural Gas,I-Mini,5 Years,32.7 kg,A,N,A,24 kW,278,No,89.6,Wall Mounted,228319,Combi Boiler,N,With easy-read pressure gauge,Low lift weight for ease of installation,Low component count for reliability,High SEDBUK efficiency,Fast hot water response using DHW preheat,Compact cupboard fit for convenient installation,ErP A rated,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P125236,Ideal Heating Logic 228335 logic max combi 2 C30,Ideal Heating,1106.95,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Max2 C30 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 30kW combi boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic Max2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228335 logic max combi 2 C30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/37/125235_125137_wm.jpg,,,,,,,Natural Gas,Logic,10 Years,34.8,A,N,A,30 kW,310,No,89.6,Wall Mounted,228335,Combi Boiler,N,Made in the UK<multisep/>Compact cupboard fit<multisep/>Large high resolution colour screen<multisep/>Compatible with the Halo smart programmable thermostat range<multisep/>High quality brass system filter to protect your central heating system<multisep/>A rated for efficiency<multisep/>10 year parts and labour warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P128801,Ideal Heating Logic 228308 logic combi 2 C30 (1),Ideal Heating,975.63,"Built on the success of Ideal's award-winning Logic range, this Ideal Logic2 C30 boiler offers complete compatibility with easy to install Halo controls. Fitted using under-boiler connections for a compact fit, this 30kW combi boiler slots into a kitchen cupboard for fast, easy installation in the most convenient spot. Both commissioning and daily operation of the efficient, A-rated Logic Max2 is easy thanks to its high-res, full colour screen.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228308 logic combi 2 C30 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/128800_128802_wm.jpg,,,,,,,Natural Gas,Logic,2 years,34.8,A,N,A,30 kW,310,No,89.6,Wall Mounted,228308,Combi Boiler,N,"For wall mounted installation<multisep/>Compact design ideal for cupboard fitting<multisep/>Built in the UK<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Includes large, high resolution colour screen for ease of operation<multisep/>A rated for efficiency<multisep/>2 year warranty",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P115084,Baxi Baxi Assure 530 combi 2 natural gas boiler,Baxi,1281.25,"Compact and attractive, the wall-mounted Baxi Assure 530 Combi 2 natural gas boiler will fit effortlessly into most households. Supplied with fittings, valves and a filling link, this smart 30kW boiler provides highly reliable central heating and instantaneous hot water while maintaining an ErP A rating for energy efficiency.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Baxi Baxi Assure 530 combi 2 natural gas boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/84/115084_wm.jpg,,,,,,12.2,Natural Gas / LPG,Baxi Assure,2,KG,A,N,A,30 kW,285,,94,Bracket,7814310,Boiler,N,Supplied with mounting bracket and screws,Includes isolation valves and rigid filling link,Suitable for natural gas or LPG,A rating for energy efficiency,94% SAP rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P141645,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi 25kw,Worcester Bosch,1120.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 25kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi 25kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P128809,Ideal Heating Logic 228387 logic heat 2 H18 (1),Ideal Heating,821.69,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H18 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 18kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228387 logic heat 2 H18 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,,,,,,,Natural Gas,Logic,2 years,25.1 kg,A,N,A,18 kW,310,No,89.4,Wall Mounted,228387,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P128800,Ideal Heating Logic 228307 logic combi 2 C24 (1),Ideal Heating,864.14,"Built on the success of Ideal's award-winning Logic range, this Ideal Logic2 C24 boiler offers complete compatibility with easy to install Halo controls. Fitted using under-boiler connections for a compact fit, this 24kW combi boiler slots into a kitchen cupboard for fast, easy installation in the most convenient spot. Both commissioning and daily operation of the efficient, A-rated Logic Max2 is easy thanks to its high-res, full colour screen.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228307 logic combi 2 C24 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/128800_128802_wm.jpg,,,,,,,Natural Gas,Logic,2 years,34.8,A,N,A,24 kW,310,No,89.6,Wall Mounted,228307,Combi Boiler,N,"For wall mounted installation<multisep/>Compact design ideal for cupboard fitting<multisep/>Built in the UK<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Includes large, high resolution colour screen for ease of operation<multisep/>A rated for efficiency<multisep/>2 year warranty",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P128808,Ideal Heating Logic 228386 logic heat 2 H15 (1),Ideal Heating,783.96,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H15 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 15kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Heating Logic 228386 logic heat 2 H15 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,,,,,,,Natural Gas,Logic,2 years,25.1 kg,A,N,A,15 kW,310,No,89.4,Wall Mounted,228386,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P114458,Ideal Logic Code Combi ESP1 C38 ErP combi boiler 38kW,Ideal,1631.11,"The Ideal Logic Code Combi C38 ESP1 boiler supports up to Level 4 of the code for sustainable homes with improved SAP and DER performance. With its built-in stainless steel recuperator located at the flue exit, this state of the art combi uses waste energy which would usually be lost through the flue terminal for a fuel bill-friendly ErP A rating. The 38kW output Code Combi is a single box central heating solution making it easy to install thanks to a reduced lift weight and ready to commission parts. The units component count is as low as possible for reduced, cost effective maintenance.",Boilers/sub_categories/Gas Boilers/Gas Boilers.csv -> Ideal Logic Code Combi ESP1 C38 ErP combi boiler 38kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/58/114456_114458_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Code_Combi_ESP1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114458_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Code_Combi_ESP1_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Logic_Code_Combi_ESP1_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
