,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,By Model Number,Attachment 1,Attachment 2,Feature 1,Feature 2,Fuel Type
0,P793470,Potterton kit pcb combi/ system,Potterton,160.88,"This Potterton PCB kit is suitable for use in boilers in the 600, 800, Assure and Main Eco Compact ranges.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton kit pcb combi/ system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/793470_wm.jpg,N,Combi 630Combi 30Combi 830Combi 624Combi 25Combi 836Combi 825Combi 636Combi 36Combi 630 LPGSystem 18Combi 624 LPGSystem 824System 15System 624System 618System 818System 615Combi 636 LPGSystem 624 LPGCombi 30 LPGCombi 25 LPGSystem 24Combi 36 LPGSystem 12S,Control Panel,600 RangeAssure Range800 RangeMain Eco Compact,J48697,7688421,PCB Kit,N,,,,,,
1,P797461,Potterton expansion vessel,Potterton,68.72,"A genuine Potterton part, this expansion vessel is suitable for use in Duo-tec, Platinum, Main Eco, Main Eco Elite, Apollo, Gold, Heatmax, Promax and Titanium boilers.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/61/797461_wm.jpg,N,"24 HE, 28 HE, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, Combi 24 HE, Combi 28 HE, Combi 33 HE, Combi 33 HE A, Combi 40 HE, Combi 40 HE A, Main Combi Eco 25, Main Combi Eco 30, Main System Eco 24, Main System Eco 28, Main Combi Eco Elite 25, Main Combi E",Pump,"Duo-tec, Platinum, Main Eco, Main Eco Elite, Apollo, Gold, Heatmax, Promax, Titanium",H29124,5114692,Expansion Vessel,N,"28 Eco,40HE,24 HE,Combi 28 HE Plus,30 Eco Elite,Combi 24 HE,Combi 33 HE A,25 Eco Elite,Combi 40 HE,24 Eco,28 HE,24 Eco Elite,Combi 28 HE,40 HE A,30 Eco,33 HE A,Combi 33 HE Plus A,25 Eco,33 HE,Combi 33 HE,Combi 40 HE A,33 HE LPG,Combi 33 HE Plus",,,,,
2,P797341,Potterton front panel seal,Potterton,37.84,"This seal is suitable for use with Potterton Combi, Duo-tec, Duo-tec ErP, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Combi/Combi HE, Main Eco, Main Eco Elite, Gold ErP, Performa, Promax ErP and Titanium ErP boilers. The washer, O-ring or gasket has a wide variety of uses throughout various sections within heating appliances, including in heat exchangers and gas valves. Used to create seals between pipework and other parts these gaskets help to prevent gas or water leaks. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton front panel seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/41/797341_wm.jpg,N,"Combi 105 HE, 40 HE, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec 40 Combi ErP, Megaflo System ErP 15, Megaflo System ErP 18, Megaflo System ErP 24, Megaflo System ErP 28, Megaflo System ErP 32, Mega",Fan Combustion Chamber,"Combi, Duo-tec, Duo-tec ErP, Megaflo ErP, Platinum, Platinum +, Platinum ErP, System IE, Main Combi/ Combi HE, Main Eco, Main Eco Elite, Gold ErP, Performa, Promax ErP, Titanium ErP",720231,5122525,Seal,N,"Platinum 33 Combi Er,Megaflo System ErP 15,Megaflo 18 System IE ErP,Duo-tec 28 LPG Combi ErP,Duo-tec 40 Combi ErP,Duo-tec 33 Combi ErP,Platinum 24 Combi ErP,Combi 33 HE,Platinum 28 Combi ErP,Combi 80 Maxflue,Megaflo System ErP 24,Megaflo 15 System IE ErP",,,,,
3,P458898,Potterton 5111137 diaphragm service kit,Potterton,12.95,"This Potterton DWH diaphragm kit is intended for repairs and replacement in the diverter valve of Potterton's Combi, Main Combi/Combi HE and Performa boilers. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 5111137 diaphragm service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/98/458898_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Genuine_Parts_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_MainEco_Combi-System_Installation.pdf,,,
4,P797462,Potterton heat exchanger,Potterton,515.13,"A genuine Potterton part, this heat exchanger is compatible with Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium and Titanium ErP boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system. A secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the pa",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/62/797462_wm.jpg,N,"24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, Duo-tec 33 Combi ErP, 24 HE A System, 24 HE System, 28 HE A System, 28 HE A System LPG, 28 HE System, Megaflo System ErP 28, Combi 24 HE, Combi 24 HE A, Combi 28 HE, Combi 2",Heat Exchanger,"Duo-tec, Duo-tec ErP, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System IE, Gold, Gold ErP, Heatmax, Promax, Promax ErP, Titanium, Titanium ErP",H29027,5114687,Heat Exchanger,N,"24 HE LPG,28 HE A System,24 HE Megaflo System IE,System 24 HE,Combi 33 HE A,Gold Combi ErP 33,Platinum 33 Combi ErP,Gold System,24HE A,28 HE A,24 HE A System,33 HE A,28 HE System,24 HE System,Combi 33 HE,33 HE LPG,32 HE Megaflo System IE",,,,,
5,P795385,Potterton 636575 gas valve,Potterton,803.11,"This gas valve is for use in Potterton Paramount Five, Paramount Four, Eurocondense, Paramount Three and Paramount Two boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton 636575 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/85/795385_wm.jpg,N,"Paramount Five - 115 kW, Paramount Five - 95 kW, Paramount Four - 95 kW, Eurocondense 2 - 90-250, Paramount Three - 60 kW, Paramount Two - 40 kW, Paramount Two - 60 kW, Paramount Two - 80 kW, Paramount Two - 30 kW, Paramount Three - 115 kW, Paramount Thr",Gas Assembly,"Paramount Five, Paramount Four, Eurocondense, Paramount Three, Paramount Two",,636575,Gas Valve,N,"Paramount 3,Paramount 2,Eurocondense Two 90-250",,,,,
6,P797458,Potterton hydraulic inlet assembly,Potterton,126.75,"A Potterton branded spare part, this inlet assembly is suitable for use in the diverter valve of Duo-tec, Platinum, Main Eco, Gold, Promax, Titanium and Titanium ErP boilers.  A directional water device in combi boilers, the diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton hydraulic inlet assembly,,Inlet Assembly,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/58/797458_wm.jpg,N,"24 HE, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, Combi 24 HE, Combi 28 HE, Combi 28 HE A, Combi 33 HE, Combi 33 HE A, Combi 40 HE, Main Combi Eco 25, Main Combi Eco 30, 24 HE, 28 HE, 28 HE A, 33 HE, 33 HE A, Combi 24 HE Plus, Combi 28 HE Plus",Diverter Valve,"Duo-tec, Platinum, Main Eco, Gold, Promax, Titanium, Titanium ErP",H29095,5114710,Inlet Assembly,N,"24 HE,Combi 28 HE Plus,28 HE LPG,Potterton Titanium 33,Combi 33 HE A,Combi 40 HE,Combi,Potterton Titanium 28,28 HE,Combi 24 HE Plus,Combi 28 HE,28 HE A,33 HE A,Combi 33 HE Plus A,33 HE,Titanium 28 Combi ErP,Combi 33 HE Plus,33 HE LPG",,,,,
7,P424146,Potterton electronic control kit,Potterton,367.02,"This printed circuit board kit is designed for Potterton Suprima boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton electronic control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/46/424146_wm.jpg,N,"60, 50L, 40L, 80, 80L, 70L, 30, 30L, 70, 100, 50, 100L, 40, 60L",Control Panel,SuprimaSuprima L,796917,5111603,PCB Kit,N,,,,,,
8,P451654,Potterton fan assembly 30 60 soft mount,Potterton,381.99,"A fan assembly for the Potterton Suprima boiler range.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton fan assembly 30 60 soft mount,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/54/451654_wm.jpg,N,"40, 50, 30, 60",Fan Combustion Chamber,Suprima,E02036,40958801,Fan Assembly,N,,,,,,
9,P451546,Potterton Netaheat Profile/Prima printed circuit board,Potterton,311.09,"This printed circuit board is for use with Potterton's British Gas, Celsia, FF, Netaheat Profile, Prima F, Profile, Profile Prima and Superior boilers. Present in all domestic and commercial boilers, the printed circuit board (PCB) handles all functionality and is pre-programmed with routines to operate the particular boiler it was designed for. Every action that occurs within a boiler is initiated, controlled and carefully monitored by this PCB. Sensors connected by wires transmit the data that makes it possible for the PCB to access live readings and react accordingly. Vitally, the PCB can restrict operation instantly if a safety concern is detected. Some large or complex systems can require two or more PCBs for normal operation. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts",Parts and Spares/Domestic Boiler Parts/Potterton Boiler Parts/Potterton Boiler Parts.csv -> Potterton Netaheat Profile/Prima printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/46/451546_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Profile_40eL_80eL_Installation.pdf,,,,
