,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Hazardous,Design Type,Material,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Type,Pack Quantity,Feature 5,Feature 6
0,PB61632,Nabis Lamone back-to-wall horizontal outlet pan,Nabis,78.76,"Part of a water-saving bathroom range, the Nabis Lamone back to wall toilet pan with horizontal outlet has a D-shaped design for a smooth, elegant look. Built in white vitreous china, the Lamone offers space saving simplicity.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Nabis Lamone back-to-wall horizontal outlet pan,,Toilet panToilet basin fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/_a/B61632_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Phase_II_Ceramic_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Toilet-20Seats_Matrix_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,,,,,,,,,,,
1,PB47418,Twyford Alcona Flushwise back to wall toilet pan White,Twyford,127.71,"Suitable for a wide range of locations, from schools to hotels to homes, the Twyford Alcona Flushwise back to wall toilet pan with horizontal outlet has an eco-friendly water saving 4/2.6L dual flush and the option to add a soft close seat for quieter use.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Twyford Alcona Flushwise back to wall toilet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/18/NW-B47418_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Alcona_BTW_WC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DoP10_WCs_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Alcona_BTW_Drawing.pdf,,,,,,,,,,,,,,,,,,
2,PC21946,Ideal Standard Concept back to wall horizontal outlet pan White,Ideal Standard,302.48,"Equally suitable for installation in commercial and domestic bathrooms, the robust Ideal Standard Concept back-to-wall WC pan is built in a high-gloss white vitreous china. Fitted with a horizontal outlet, this toilet pan has an elegantly curved design to complement the majority of suites.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept back to wall horizontal outlet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/46/NW-C21946_wm.jpg,,,,White/Gloss,Concept,Lifetime,N,Back to Wall,Vitreous China,Curved,No,E798501,N,Back-to-wall design,Suitable for domestic or commercial use,With horizontal outlet,Soft close seat option available,,,,
3,PT02631,Ideal Standard Tesi back to wall WC bowl with aquablade technology,Ideal Standard,211.48,"The geometric lines of the Ideal Standard Tesi back to wall toilet pan with horizontal outlet make it an ideal addition to a contemporary bathroom design. Part of an extensive range of bathroom furnishings, the Tesi toilet incorporates Ideal Standard's Aquablade flushing technology for improved hygiene, performance and water saving.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Tesi back to wall WC bowl with aquablade technology,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/31/NW-T02631_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T353501_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
4,PC21350,Ideal Standard Concept close coupled back to wall horizontal outlet pan skirted White,Ideal Standard,261.25,"The Ideal Standard Concept close coupled, back-to-wall toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Concept close coupled back to wall horizontal outlet pan skirted White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/50/NW-C21350_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E794101_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
5,PD00637,Roca Laura back to wall WC pan White,Roca,221.66,"A traditional and functional design ideal for public bathrooms, the Roca Laura back to wall round toilet pan with double outlet includes a washdown flush and is supplied with floor fixings. Part of a wider range combining usability and elegance, the Laura is a versatile, tried-and-tested choice.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca Laura back to wall WC pan White,,WC pan;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/37/NW-D00637_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A347396000_Technical.pdf,,,,,,,,,,,,,,,,,,,,
6,PD58886,Roca Debba close coupled fully back to wall pan,Roca,159.61,"A simple, crowd-pleasing design, the square Roca Debba close coupled back to wall toilet pan with dual outlet is part of a range suited to any bathroom design.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca Debba close coupled fully back to wall pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/86/NW-D58886_wm.jpg,,,,White,Debba,5 Years,N,Close Coupled,Vitreous China,Square,No,A34299B00U,N,Moulded back-to-wall close coupled pan,Dual outlet,Compatible with soft close and standard seats,5 year warranty,Back to Wall Pan,,,
7,PT74813,RAK-RESORT COMFORT HEIGHT 42.5CM BTW PAN,RAK Ceramics,183.99,"Practical and elegantly designed, the RAK Ceramics Resort comfort height back-to-wall toilet pan has a compact footprint to help make the most of your bathroom space.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> RAK-RESORT COMFORT HEIGHT 42.5CM BTW PAN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/13/T74813_wm.jpg,,,,White,Resort,25 Years,N,D Shape,Vitreous China,D-Shape,N/A,RST425BTWPAN,N,Space saving design,Part of a complete suite,Back-to-wall installation,Vitreous china construction,,1,White finish,25 year warranty
8,PT02627,Ideal Standard Tesi close coupled horizontal outlet back to wall WC bowl with aquablade technology,Ideal Standard,177.21,"The geometric lines of the Ideal Standard Tesi back to wall close coupled toilet pan with horizontal outlet make it an ideal addition to a contemporary bathroom design. Part of an extensive range of bathroom furnishings, the Tesi toilet incorporates Ideal Standard's Aquablade flushing technology for improved hygiene, performance and water saving.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Ideal Standard Tesi close coupled horizontal outlet back to wall WC bowl with aquablade technology,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/27/NW-T02627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T355701_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,
9,PD58898,Roca The Gap back to wall rimless WC pan,Roca,256.6,"Designed by Antonio Bullo, Roca's The Gap back to wall square toilet pan with dual outlet delivers on style and functionality. This compact, rimless toilet design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Back To Wall Toilet Pans/Back To Wall Toilet Pans.csv -> Roca The Gap back to wall rimless WC pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/98/NW-D58898_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A347737000_Technical.pdf,,,,,,,,,,,,,,,,,,,,
