,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Type,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection B size,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,PP16573,VULC L164 ENF LINE COUPLER           102,Durapipe,57.03,"This Durapipe Vulcathene L164 102 x 102mm coupler is made of virgin-grade polypropylene. Designed to fit the Enfusion chemical waste drainage system, this coupler incorporates an internal stop, forming a smooth through-bore and ensuring that the correct pipe depth is inserted into the fitting.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L164 ENF LINE COUPLER           102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/73/NW-P16571_P16573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P519807,"Pegler Kuterlite male coupling 22mm x 3/4""",Pegler,8.84,"This Kuterlite K611 22mm x 3/4"" coupling with copper x BSP male taper thread ends is a non-manipulative (Type A) duplex brass compression fitting. It is suitable for use on closed circuit central heating systems, in above ground hot and cold water services, on compressed air lines, in oil and other fluids and in LPG and low pressure gas services. This fitting is made up of a one piece body and includes symmetrical compression rings made of dezincification-resistant alloy and hexagonal duplex brass nuts.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> Pegler Kuterlite male coupling 22mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/08/NW-519806_519808_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_Pro_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bl/es/Pegler_Pressure_Loss_Tables.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_WRAS_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/ve/Pegler_KuterlitPrsrDropChartChkValve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kuterlite_600_900_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_CompressionFitting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_900_Pro_KIWA_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P519811,KUT K611 MALE COUPLING              22X1,Pegler,12.75,"This Kuterlite K611 22mm x 1"" coupling with copper x BSP male taper thread ends is a non-manipulative (Type A) duplex brass compression fitting. It is suitable for use on closed circuit central heating systems, in above ground hot and cold water services, on compressed air lines, in oil and other fluids and in LPG and low pressure gas services. This fitting is made up of a one piece body and includes symmetrical compression rings made of dezincification-resistant alloy and hexagonal duplex brass nuts.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> KUT K611 MALE COUPLING              22X1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/12/NW-519810_519812_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_Pro_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bl/es/Pegler_Pressure_Loss_Tables.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_WRAS_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/ve/Pegler_KuterlitPrsrDropChartChkValve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_CompressionFitting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kuterlite_600_900_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_900_Pro_KIWA_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP64516,GFP 180MM COUPLER EF SDR11,Georg Fischer,39.27,"This Georg Fischer ELGEF Plus SDR11 180 x 180mm coupler is made of polyethylene with suitability for use in transport lines, distribution lines, gas/water, 10 bar gas/16 bar water and industrial pressure applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> GFP 180MM COUPLER EF SDR11",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/16/NW-P64516_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_ELGEF_Plus_16bar_Couplr_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_ELGEF_Plus_Piping_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/GF_ELGEF_Plus_D400mm_Coupler_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_ELGEF_Plus_Sun_Protection_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GF_ELGEF_Plus_Electro_Coupler_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PP16580,VULC L3912 ENF REDUCING COUPLER    51X38,Durapipe,35.09,"Enabling the changing of one pipe size to another, the Durapipe Vulcathene L3912 51 x 38mm reducing coupler is made of virgin-grade polypropylene with an Enfusion socket on one end and a spigot on the other, fused into a larger Enfusion socket.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L3912 ENF REDUCING COUPLER    51X38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/NW-P16580_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP16585,VULC L3924 ENF REDUCING COUPLER   102X51,Durapipe,69.05,"Enabling the changing of one pipe size to another, the Durapipe Vulcathene L3924 102 x 51mm reducing coupler is made of virgin-grade polypropylene with an Enfusion socket on one end and a spigot on the other, fused into a larger Enfusion socket.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L3924 ENF REDUCING COUPLER   102X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/85/NW-P16584_P16585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP16584,VULC L3923 ENF REDUCING COUPLER    76X51,Durapipe,50.5,"Enabling the changing of one pipe size to another, the Durapipe Vulcathene L3923 76 x 51mm reducing coupler is made of virgin-grade polypropylene with an Enfusion socket on one end and a spigot on the other, fused into a larger Enfusion socket.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L3923 ENF REDUCING COUPLER    76X51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/85/NW-P16584_P16585_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PP16571,VULC L162 ENF LINE COUPLER            51,Durapipe,34.98,"This Durapipe Vulcathene L162 51 x 51mm coupler is made of virgin-grade polypropylene. Designed to fit the Enfusion chemical waste drainage system, this coupler incorporates an internal stop, forming a smooth through-bore and ensuring that the correct pipe depth is inserted into the fitting.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L162 ENF LINE COUPLER            51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/73/NW-P16571_P16573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP16607,VULC L152 ENF FI TO PIPE COUPLER      51,Durapipe,26.39,"Made of polypropylene, this 51mm Durapipe Vulcathene L152 FI to pipe coupler fitting is equipped with an enfusion socket on one end and a female thread on the other end. Chemical-resistant, this coupler is part of a purpose-designed plumbing system is suitable for labs in schools, universities, hospitals and research facilities.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> VULC L152 ENF FI TO PIPE COUPLER      51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/07/NW-P16607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vulcathene_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PP65449,Philmac 3G universal transition couplings 32 x 39-4mm,Philmac,39.81,"This Philmac 3G coupler with 39 to 43 x 32mm/1"" UTC x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Couplings/Couplings.csv -> Philmac 3G universal transition couplings 32 x 39-4mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/NW-P65449_P65450_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
