,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Pack Quantity,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Colour,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 6,Seasonal Space Heating Energy Efficiency Class,Attachment 7,Flue Type,Flue Diameter,Flue Length,Flue Size,Part Gas Council number,By Model Number,Dry Weight (kg)
0,P128807,Ideal Heating Logic 228385 logic heat 2 H12 (1),Ideal Heating,744.28,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H12 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 12kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228385 logic heat 2 H12 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,Natural Gas,1,Logic,2 years,25.1 kg,A,N,A,12 kW,310,No,89.4,Wall Mounted,228385,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P128808,Ideal Heating Logic 228386 logic heat 2 H15 (1),Ideal Heating,783.96,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H15 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 15kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228386 logic heat 2 H15 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,Natural Gas,1,Logic,2 years,25.1 kg,A,N,A,15 kW,310,No,89.4,Wall Mounted,228386,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P333762,Vaillant ecoTEC plus 418 heat only boiler,Vaillant,1027.0,"The Vaillant ecoTEC plus 418 high efficiency boiler is an ideal choice for those homes where low water pressure problems demand an open vent system with hot water storage. Compact and lighter in weight than your average boiler, this 18kW output unit is hassle-free to fit, even inside a kitchen cupboard, and features a range of premium components to reduce the need for ongoing maintenance. Compatible with a wide range of add-ons, including solar panels and smart controls, the ErP A-rated ecoTEC plus can help homeowners to create a more eco-friendly home.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Vaillant ecoTEC plus 418 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/on/ly/Ecotec_Plus_Heat_Only_wm.jpg,Natural Gas,,ecoTEC plus,5 Years,23 kg,A,N,A,18 kW,320,333762,94,Wall Hung,333762 PK,Regular Heat Only Boiler,N,High performance build,White/Gloss,10,A,Compact cupboard fit,Lightweight,For use in an open vent system with storage cylinder,Ideal for use where water pressure is low,Compatible with a full range of heating control options including simple analogue timers and vSMART smartphone app,Can be used with solar water heating or heat pump systems for a lower carbon footprint,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P334020,Ideal Logic Max Heat H18 heat only boiler pack,Ideal,1080.0,"The Ideal Logic Max Heat H18 heat only boiler is compact and lightweight for easy installation in almost any location. ErP A-rated, this highly efficient heat only boiler can be used alongside a hot water cylinder for the supply of reliable domestic hot water and is compatible with a range of Ideal controls for additional flexibility and cost savings. The hardwearing Max Heat is straightforward to use, simple to service and requires minimal maintenance.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Logic Max Heat H18 heat only boiler pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/he/at/Ideal Logic Max Heat_wm.jpg,Natural Gas,,Logic Max Heat,,,,N,,,,334020,,,334020 PK,Heat Only Boiler,N,Compact cupboard fit,,,,Low lift weight,"Easy installation, commissioning and service",Hardwearing and scratch-resistant,Fan-assisted combustion,Full sequence automatic spark ignition,Large digital display,Easy to reach pressure gauge on front panel,Service timer with telephone number display/service display,Compatible with Ideal controls,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,
4,P333796,Baxi 400 Heat 415 heat only boiler,Baxi,760.0,"Part of the lightest boiler range currently available on the UK market, the Baxi 415 Heat heat only boiler is compact, neat and contemporary in design with rear flueing options, no need for additional wires or a pump overrun and parts accessible from both the front and side of the unit to make servicing and maintenance simple. This 15kW boiler is highly energy efficient, with an ErP A rating, and offers Boiler Plus compliancy alongside quiet operation and compatibility with the Megaflo Eco cylinder for full heating-and-hot-water service.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Baxi 400 Heat 415 heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/98/333796_333798_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_400_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_400_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_400_Heat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Baxi_400_Heat_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,
5,P128809,Ideal Heating Logic 228387 logic heat 2 H18 (1),Ideal Heating,821.69,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H18 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 18kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228387 logic heat 2 H18 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,Natural Gas,1,Logic,2 years,25.1 kg,A,N,A,18 kW,310,No,89.4,Wall Mounted,228387,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P333842,Worcester Bosch Greenstar Ri ERP+ 18Ri NG heat only boiler,Worcester Bosch,950.0,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 18Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 18Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hr/_n/GS_Ri_face-HR_N_wm.jpg,Natural Gas,,Greenstar Ri ERP+,7 Years,226 Kg,A,N,,18 kW,270,333842,92,Wall Hung,333842 PK,Condensing Regular Boiler,N,Compact footprint,White/Gloss,,A,Standard kitchen cupboard fit,Replacement installation is often straightforward keeping costs and disruption to a minimum,Simple boiler control knob,Suitable for homes with a hot water storage cylinder,Frost protection inbuilt,Over 90% efficient,Compatible with high efficiency Greenstore cylinders,Suitable for use with Greenskies solar panels,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,
7,P333844,Worcester Bosch Greenstar Ri ERP+ 24Ri NG heat only boiler,Worcester Bosch,1000.0,"An ideal selection for small and medium sized homes, including those with low water pressure, the Worcester Bosch Greenstar 24Ri ErP+ NG regular boiler is compact and simple to install, even as a replacement for an existing unit. ErP A-rated, this compact and efficient frost-protected boiler is compatible with Greenskies solar panels as well as Greenstore cylinders for a full Worcester Bosch system with built-in cost savings and eco-credentials.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar Ri ERP+ 24Ri NG heat only boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hr/_n/GS_Ri_face-HR_N_wm.jpg,Natural Gas,,Greenstar Ri ERP+,7 Years,226 Kg,A,N,,24 kW,270,333844,92,Wall Hung,333844 PK,Condensing Regular Boiler,N,Compact footprint,White/Gloss,,A,Standard kitchen cupboard fit,Replacement installation is often straightforward keeping costs and disruption to a minimum,Simple boiler control knob,Suitable for homes with a hot water storage cylinder,Frost protection inbuilt,Over 90% efficient,Compatible with high efficiency Greenstore cylinders,Suitable for use with Greenskies solar panels,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,
8,P334000,Worcester Bosch Greenstar 8000 Life GR8300iW 40 R NG regular boiler pack 40kW White,Worcester Bosch,1840.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 40 R NG condensing regular boiler is an ideal replacement for the award-winning Greenstar CDi Classic, providing the same high levels of reliability but with a contemporary new design that brings it in line with modern living. A whole host of features, including a digital control system and inbuilt diagnostics make operation and maintenance of this 40kW boiler easy while best ever A-rated efficiency and effectiveness is gained through a modulating fan, temperature sensors and direct burner ignition electrodes.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 40 R NG regular boiler pack 40kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,Natural Gas,,Greenstar 8000 Life,8 years,46 kg,A,N,A,,365,334000,94,Wall Hung,334000 PK,Condensing Regular Boiler,N,Pre-wired and pre-plumbed,,,,Galvanised steel inner frame,Digital control system,Automatic ignition,Direct burner ignition electrodes,Built-in diagnostics for easy fault-finding,Automatic gas valve,Modulating combustion air fan with speed regulator,CH temperature sensor and control,Flue gas temperature sensor,Condensate siphonic trap,8 year warranty,,,,,,,,,,,,,,,,,,,,,,
9,P128811,Ideal Heating Logic 228389 logic heat 2 H30 (1),Ideal Heating,982.43,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Heat2 H30 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 30kW system boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Heat2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Heat Only Boilers/Gas Heat Only Boilers.csv -> Ideal Heating Logic 228389 logic heat 2 H30 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/11/128807_128811_wm.jpg,Natural Gas,1,Logic,2 years,25.1 kg,A,N,A,30 kW,310,No,89.6,Wall Mounted,228389,Boiler,N,"For wall mounted installation<multisep/>Compact design to fit kitchen cupboards<multisep/>Built in the UK<multisep/>Concealed connections under boiler<multisep/>Compatible with easy-fit Halo controls<multisep/>With large, high resolution colour screen<multisep/>ErP A rated for efficiency<multisep/>2 year warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
