,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Pack Quantity,Attachment 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Colour,Feature 16,Weight
0,P581046,Center Cleaning 1102 3 plyable perforated wipes,Center,4.05,"Supplied in an easy-tear roll, these Center CB perforated wipes are made of a good quality three-ply tissue, ideal to keep in the van or workshop for quick wiping down and mopping up spillages.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Center Cleaning 1102 3 plyable perforated wipes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/581046_wm.jpg,Cleaning,N,1,Roll,470 x 377 x 512,1102,Perforated Wipes,N,Blue colour,Strong 3-ply,Multi-purpose use,Excellent cleaning ability,Offer value for money,,,,,,,,,,,,,,,,,,,
1,P688748,Pump House Pro-Universal universal coil cleaner 5ltr,Pump House,102.84,"Suitable for condensers, evaporators and air filters, Pump House DiversiTech Pro-Universal coil cleaner is a NSF food safe registered universal indoor and outdoor solution for effective cleaning with no detrimental effect on coils. Pro-Universal's inhibitor prevents the cleaner from attacking delicate fins, concentrating its power on actively breaking down soil and dirt. Non-foaming, this self rinsing product is safer for the user and the environment compared to traditional foaming coil cleaners.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Pump House Pro-Universal universal coil cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/48/NW-688748_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Univr_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_ProUniv_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,
2,P613235,Diversitech Swoosh CO2 swoosh cartridges,Diversitech,45.52,This pack of Diversitech Swoosh drain gun CO2 cartridges delivers 800psi of oil-free air for condensate drain clearing. Each cartridge is environmentally safe and can be recycled.,Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Diversitech Swoosh CO2 swoosh cartridges,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/35/NW-613235_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Diversitech_SWOOSH_Drain_Gun_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Diversitech_SWOOSH_Drain_Gun_Tech.pdf,,,,,,,,,,,,,,,,,
3,P651277,Center CB spray duster 300ml,Center CB,16.04,"Center CB spray duster provides a simple solution to the problem of dust & debris in a wide range of technical equipment. Producing a high-pressure, non-flammable dry stream this spray duster is perfect for use on all types of technical and delicate equipment such as burner jets and heat exchangers to remove cobwebs, dust & debris. It is also versatile, being safe to use on access panels, appliance casings, computer equipment, keyboards, and other electrical equipment. Supplied with straw for access to hard to reach places.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Center CB spray duster 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/77/NW-651277_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_651277_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_651277_Technical.pdf,,,,,,,,,,,,,,,,,
4,P514526,Big Wipes Heavy Duty Surface Wipes – Red Top,Big Wipes,13.99,"Big, thick and tough, these Big Wipes Red Top heavy-duty hand cleaner wipes are tough on grime yet kind to your hands. A high-performance, mobile multi-cleaner, water-based Red Tops will tackle any dirt or stain, removing paint, adhesives, sealants, silicone, PU foam and general dirt and grime while protecting skin with their blend of skin conditioners.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Big Wipes Heavy Duty Surface Wipes – Red Top,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/26/NW_514526_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Big-Wipes_Multi-Purpose_SDS.pdf,,,,,,,,,,,,,,,,,,
5,P292341,Melpass Unblock-A-Block unlock a block drain clearer 1ltr,Melpass,9.43,"Unlock-A-Block is a highly concentrated blend of sodium and potassium hydroxides specifically designed to attack various materials that create blockages commonly caused by hair, grease, fat, oils, etc. This unique formulation is heavier than water and is designed to bind the active chemical ingredients together, allowing them to sink through other liquids to the source of the problem with minimum loss of activity, even deep within drainage systems. Unlock-A-Block is supplied as a full strength, heavy duty, industrial formulation, which makes it suitable for both the treatment of problem drains or for regular dosing as a preventative maintenance procedure. Unlock-A-Block is 100% water soluble and mixes with hard or soft water without issue. Unlock-A-Block can be used in all types of drains and grease traps to reduce foul odours and to kill a wide range of bacteria and fungi. Dosing regularly can ensure a free-flowing system all year round.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Melpass Unblock-A-Block unlock a block drain clearer 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/41/292341_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Melpass_Unlock-A-Block_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Liquid Science_292341_TDS.pdf,,,,,,,,,,,,,,,,,
6,PN57006,Floorprotec TacBac clear carpet protection 0.6m x 100m,Floorprotec,26.85,"Used to protect carpeted areas and staircases, this Floorprotec TacBac clear self-adhesive carpet protection film can be laid freehand in single strips or across a whole carpet area to create a waterproof barrier protecting from dirt, spills and foot traffic. Providing optimal health and safety adherence, TacBac won't travel like loose protection methods such as dust sheets.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Floorprotec TacBac clear carpet protection 0.6m x 100m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/06/NW-N57006_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Floorprotec_TacBac_Technical.pdf,,,,,,,,,,,,,,,,,,
7,P689023,Advanced Engineering RTU EC (ready-mixed) evaporator cleaner 1ltr,Advanced Engineering,22.42,"Ideal for use as part of your routine maintenance, Advanced Engineering RTU EC evaporator cleaner effectively removes all common types of dirt and debris. This cleaner has a safe, biodegradable formula that is quick and easy to use.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering RTU EC (ready-mixed) evaporator cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/23/NW-689023_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_RTU_EC_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_ECD_EC_LT_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_EC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,
8,P689225,Advanced Engineering EasyClean aerosol 600ml,Advanced Engineering,16.72,"An effective, safe to use solution, Advanced Engineering EasyClean universal coil cleaner is suitable for use on both air cooled evaporator and condenser coils, providing powerful cleaning as part of regular maintenance.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Advanced Engineering EasyClean aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/25/NW-689225_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_Easy_Clean_600mL_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,
9,P695497,Pump House DiversiTech spray 1ltr,Pump House,46.63,"A fast-acting odour eliminator, Pump House DiversiTech liquid G2G-SmellBuster spray encapsulates and neutralises odours, leaving a fresh scent with no need for heavy perfumes or oils. SmellBuster is biodegradable, non-toxic, non-staining and has been approved for use in commercial and residential air conditioning systems.",Trade Essentials/Van and Site Essentials/Cleaning Supplies/Cleaning Supplies.csv -> Pump House DiversiTech spray 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/97/NW-695497_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2GSmell_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_G2G_Smell_SDS.pdf,,,,,,,,,,,,,,,,
