,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Diameter,Pack Quantity,Range,Shank Type,Feature 5,Dimensions (L x W x D),Attachment 2,Cut Type / Speed,Teeth Per Inch,Feature 6
0,PT02755,Rothenberger self cooling diamond drill bit 6 x 67mm,Rothenberger,14.45,"Filled with a lubricating wax that melts during operation, the Rothenberger 6 x 67mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger self cooling diamond drill bit 6 x 67mm,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/55/T02755_wm.jpg,N,Steel,6 x 67 mm,89096,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant",,,,,,,,,,,
1,PT02757,Rothenberger self cooling diamond drill bit 10 x 80mm,Rothenberger,14.45,"Filled with a lubricating wax that melts during operation, the Rothenberger 10 x 80mm vacuum brazed diamond tile drill bit is self-cooling, meaning there's no need for a separate coolant such as water to be used.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger self cooling diamond drill bit 10 x 80mm,,1x Tile Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/57/T02757_wm.jpg,N,Steel,10 x 80 mm,89098,Self Cooling Diamond Drill Bit,N,Corded and cordless drills,Steel construction,Compatible with corded and cordless drills,Drills at speeds between 800 and 200 RPM,"Filled with lubricating wax, eliminating need for coolant",,,,,,,,,,,
2,PN53790,Rothenberger Plumbers 9Pce Holesaw Kit (9),Rothenberger,41.8,"Designed for use on metal, wood and plastic, this Rothenberger plumbers hole saw kit contains hole saws in 19, 22, 29, 38, 44 and 57mm sizes. Ideal for making cable runs through studs, plasterboard or other surfaces, using these saws ensures a smart, professional finish. In addition to plumbing and electrical work, these hole saws also provide excellent results anywhere that a hole made by a standard drill 3 jaw chuck is required.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Plumbers 9Pce Holesaw Kit (9),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/90/NW-N53790_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,
3,PT86112,Rothenberger Sawing & Drilling 89020 dry diamond core drill kit 12 piece (1),Rothenberger,219.04,"Giving you everything you need for core into limestone and concrete as well as a variety of soft and hard natural stone types, this Rothenberger Diamond 12-piece dry core drill set includes a full range of the most commonly required plumbing and building drill bit sizes.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Sawing & Drilling 89020 dry diamond core drill kit 12 piece (1),,42-52-65-117-127mm core drill;3 jaw chuck adaptor;3 jaw 250mm extension;SDS chuck adaptor;SDS 250mm extension;Taper guide rod;Drift key;Lockable aluminium tool case,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/12/NW-T86112_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Prod_Brochure_Jan2021.pdf,,,,,,,,,,
4,PT81721,Rothenberger Sawing & Drilling 88830M Flat wood bit 25MM (1),Rothenberger,4.59,"Suitable for use with high speed electric drills, this Rothenberger 25mm steel flat wood bit offers quick and clean cutting.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger Sawing & Drilling 88830M Flat wood bit 25MM (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/21/T81721_wm.jpg,N,Steel,,88830M,Wood Bit,N,For use with high speed electric drills,Ranges from 10mm to 25mm,"Fast, clean cutting high speed flat wood bits",Suitable for use with high speed electric drills,,,25 mm,1,Sawing & Drilling,N/A,,,,,,
5,PT02731,Rothenberger SDS cross tip drill bit 5.5 x 160mm,Rothenberger,3.1,"The Rothenberger 5.5 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 5.5 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/31/T02731_wm.jpg,N,Steel,,1500004805,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,5.5 mm,,,,Fully tempered and hardened,,,,,
6,PR02759,Smart Trade H8MAK 8 piece multi too blade set (8),Smart,21.68,"A handy collection of eight useful blades, this Smart Trade multitool blade set makes finding the right blade for the job simple. Designed with standard OIS quick-release shanks to fit the majority of multitools from major manufacturers, this set includes blades that can be used for cutting wood with nails, cutting fibreglass, plastic and non-ferrous metals and for cutting plasterboard.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Smart Trade H8MAK 8 piece multi too blade set (8),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/02/NW_R02759_02_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Smart_H8MAK_Technical.pdf,,,,,,,,,,
7,PT02732,Rothenberger SDS cross tip drill bit 6.5 x 160mm,Rothenberger,3.3,"The Rothenberger 6.5 x 160mm SDS cross tip drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger SDS cross tip drill bit 6.5 x 160mm,,1x SDS Drill Bit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/32/T02732_wm.jpg,N,Steel,,1500004806,SDS Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,6.5 mm,,,,Fully tempered and hardened,,,,,
8,PT02729,Rothenberger standard masonry drill bit 5.5 x 150mm,Rothenberger,3.4,"The Rothenberger 5.5 x 150mm standard masonry drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger standard masonry drill bit 5.5 x 150mm,,1x Masonry Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/29/T02729_wm.jpg,N,Steel,,88847,Masonry Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,5.5 mm,,,6,Fully tempered and hardened,,,,,
9,PT02730,Rothenberger standard masonry drill bit 7 x 150mm,Rothenberger,4.08,"The Rothenberger 7 x 150mm standard masonry drill bit features a hardened long life carbide tip. Working efficiently, this drill bit is compatible with high speed electric drills for effective drilling in concrete, brickwork and natural stone.",Trade Essentials/Power Tool Accessories/Power Tool Accessories.csv -> Rothenberger standard masonry drill bit 7 x 150mm,,1x Masonry Drill,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/30/T02730_wm.jpg,N,Steel,,173206UK,Masonry Drill Bit,N,"High efficiency drill bit for heavy-duty drilling in concrete, natural stone and brickwork. For use with high speed electric drills",For use with high speed electric drills,For heavy-duty drilling tasks,High efficiency,Long life carbide tip,,10 mm,,,,Fully tempered and hardened,,,,,
