,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Range
0,P690615,Javac 4-valve manifold kit (R410A),Javac,263.72,"Built to EN 973 T3, this Javac four valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A, R-407C, R-410A and R-32 refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac 4-valve manifold kit (R410A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/15/NW-690615_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_R32-Manifold_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,
1,P688878,Javac EL84372 2-valve manifold kit,Javac,244.12,"Built to EN 973 T3, this Javac two valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A and R-407C refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac EL84372 2-valve manifold kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/78/NW-688878_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Manifold-X5_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
2,P419957,"Testo 557s smart set with wireless temperature probes, wireless vacuum probe",Testo,760.52,"This Testo 557s smart vacuum kit includes a smart digital manifold with four-way valve block as well as wireless vacuum and clamp temperature probes. Making carrying out measurements on refrigeration, air conditioning systems and heat pumps simple and quick, this kit has a large graphical display along with stored programs to guide the user and enable automatic determination of vital parameters, including superheat, pressure drop test and evacuation. Easily connected, Bluetooth probes for temperature, pressure and humidity provide additional flexibility of use while compatibility with the Testo app allows the engineer to take care of digital documentation on-site. Highly durable, this kit works reliably in even tough conditions.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Testo 557s smart set with wireless temperature probes, wireless vacuum probe",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/57/NW-419957_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_115i_Clamp_Thermometer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_552i_Vacuum_Probe_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_557s_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_557s_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_552i_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s_557s_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_f/aq/Testo_Smart_Probes_FAQ.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Testo_A2L_Compatible_Products_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_SmartProbes_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_115i_UK_Declrtn_of_Conformity.pdf,,,,,,,,,,,,
3,P690614,Javac 4-valve manifold kit,Javac,252.71,"Built to EN 973 T3, this Javac four valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A and R-407C refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac 4-valve manifold kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/14/NW-690614_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Manifold-X5_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
4,P688879,Javac EL86372 2-valve manifold kit R410/R32,Javac,260.99,"Built to EN 973 T3, this Javac two valve manifold with continental hoses is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-32 and R-410A refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac EL86372 2-valve manifold kit R410/R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/79/NW-688879_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_R32-Manifold_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
5,P690080,Javac multiple 4 valve manifold,Javac,168.11,"Built to EN 973 T3, this Javac four valve manifold is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A and R-407C refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac multiple 4 valve manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/NW-690080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Manifold-X5_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
6,P419955,Testo 550s smart set with wireless temperature probes,Testo,678.74,"Containing a smart digital manifold with two-way valve block and wireless clamp temperature probes, the Testo 550s smart kit makes carrying out measurements on refrigeration and air conditioning systems, as well as heat pumps, fast and easy. A large graphical display makes evaluation effortless, while stored programs guide users through the measuring process with the automatic determination of vital parameters, including superheat, pressure drop test and evacuation. Easily connected, Bluetooth probes for temperature, pressure and humidity provide additional flexibility of use. Highly durable, this kit works reliably in even tough conditions.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Testo 550s smart set with wireless temperature probes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/55/NW-419955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_550s_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_115i_Clamp_Thermometer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s_557s_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_552i_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_550s_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Testo_A2L_Compatible_Products_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_f/aq/Testo_Smart_Probes_FAQ.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_SmartProbes_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_115i_UK_Declrtn_of_Conformity.pdf,,,,,,,,,,,,,
7,P419958,"Testo 557s smart set with wireless temperature probes, wireless vacuum probe + 4 hoses",Testo,850.47,"This Testo 557s smart vacuum kit includes a smart digital manifold with four-way valve block as well as wireless vacuum and clamp temperature probes. Making carrying out measurements on refrigeration, air conditioning systems and heat pumps simple and quick, this kit has a large graphical display along with stored programs to guide the user and enable automatic determination of vital parameters, including superheat, pressure drop test and evacuation. Easily connected, Bluetooth probes for temperature, pressure and humidity provide additional flexibility of use while compatibility with the Testo app allows the engineer to take care of digital documentation on-site. Highly durable, this kit works reliably in even tough conditions.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Testo 557s smart set with wireless temperature probes, wireless vacuum probe + 4 hoses",,557s digital 4-way manifold;4x AA batteries;Calibration protocol;552i wireless Bluetooth vacuum probe;2x 115i wireless Bluetooth clamp thermometers;Hose filling set with 4 hoses;Transport case;Testo Smart App (free download);Instruction manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/58/NW-419958_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_115i_Clamp_Thermometer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_552i_Vacuum_Probe_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Testo_557s_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_557s_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_552i_UK_Declrtn_of_Conformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s_557s_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_f/aq/Testo_Smart_Probes_FAQ.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Testo_A2L_Compatible_Products_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_SmartProbes_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Testo_115i_UK_Declrtn_of_Conformity.pdf,,,,,,,,,,,,
8,P690612,Javac 4-valve manifold (R410A),Javac,177.05,"Built to EN 973 T3, this Javac four valve manifold is hardwearing and easy to use with 80mm gauge heads and all manifolds either dual seal piston valves or quarter-turn mechanical valves. Manufactured with long life Teflon seals and a larger capacity bore, this manifold withstands maximum levels of flow and works with R-22, R-134A, R-404A, R-407C, R-410A and R-32 refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac 4-valve manifold (R410A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/12/NW-690612_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_R32-Manifold_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_4-Valve_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
9,P693144,Javac PVR pressure and vacuum manifold,Javac,389.62,"Manufactured to the highest standards, this Javac PVR pressure and vacuum test manifold is for use in the HVAC/R industry. The PVR is suitable for use with oxygen free nitrogen (OFN) only.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Manifolds/Manifolds.csv -> Javac PVR pressure and vacuum manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/44/NW-693144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_PVR_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_PVR_Technical.pdf,,,,,,,,,,,,,,,,,,,
